,SCA,Tipologie di SCA,GCA,Tipologie di GCA,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite,2007-2008,2007-2008,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,17 stagioni,,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite,Sevilla (8 stagioni),Roma (5 stagioni),Salernitana (3 stagioni),Tottenham (2 stagioni),Sevilla B (1 stagione),,Serie A (8 stagioni),La Liga (8 stagioni),Premier League (2 stagioni),Segunda División (1 stagione)
,SCA,Tipologie di SCA,GCA,Tipologie di GCA,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite
2007-2008,20,Sevilla B,es ESP,2. Segunda División,9°,4.9,,,,,,,,,,,,,,,,,Partite
2007-2008,20,Sevilla,es ESP,1. La Liga,5°,18.2,,,,,,,,,,,,,,,,,Partite
2008-2009,21,Sevilla,es ESP,1. La Liga,3°,8.1,,,,,,,,,,,,,,,,,Partite
2009-2010,22,Sevilla,es ESP,1. La Liga,4°,9.1,,,,,,,,,,,,,,,,,Partite
2010-2011,23,Sevilla,es ESP,1. La Liga,5°,16.7,,,,,,,,,,,,,,,,,Partite
2011-2012,24,Sevilla,es ESP,1. La Liga,9°,25.0,,,,,,,,,,,,,,,,,Partite
2012-2013,25,Sevilla,es ESP,1. La Liga,9°,23.5,,,,,,,,,,,,,,,,,Partite
2013-2014,26,Sevilla,es ESP,1. La Liga,5°,26.5,,,,,,,,,,,,,,,,,Partite
2014-2015,27,Tottenham,eng ENG,1. Premier League,5°,19.7,,,,,,,,,,,,,,,,,Partite
2015-2016,28,Sevilla,es ESP,1. La Liga,7°,3.3,,,,,,,,,,,,,,,,,Partite
2016-2017,29,Roma,it ITA,1. Serie A,2°,34.6,,,,,,,,,,,,,,,,,Partite
2017-2018,30,Roma,it ITA,1. Serie A,3°,32.5,23,"0,71",18,0,0,2,0,3,3,"0,09",3,0,0,0,0,0,Partite
2018-2019,31,Roma,it ITA,1. Serie A,6°,31.2,21,"0,67",17,0,1,1,0,2,2,"0,06",2,0,0,0,0,0,Partite
2019-2020,32,Roma,it ITA,1. Serie A,5°,13.5,8,"0,59",7,1,0,0,0,0,3,"0,22",2,1,0,0,0,0,Partite
2020-2021,33,Roma,it ITA,1. Serie A,7°,4.5,3,"0,67",1,0,0,2,0,0,0,"0,00",0,0,0,0,0,0,Partite
2021-2022,34,Salernitana,it ITA,1. Serie A,17°,15.9,17,"1,07",13,0,2,2,0,0,2,"0,13",1,0,0,1,0,0,Partite
2022-2023,35,Salernitana,it ITA,1. Serie A,15°,11.9,12,"1,00",7,1,0,4,0,0,0,"0,00",0,0,0,0,0,0,Partite
2023-2024,36,Salernitana,it ITA,1. Serie A,20°,9.3,7,"0,76",6,0,0,1,0,0,1,"0,11",1,0,0,0,0,0,Partite
17 stagioni,5 club,,4 campionati,,308.4,91,"0,77",69,2,3,12,0,5,11,"0,09",9,1,0,1,0,0,
,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite
Sevilla (8 stagioni),,1 campionato,,130.4,,,,,,,,,,,,,,,,,
Roma (5 stagioni),,1 campionato,,116.3,55,"0,67",43,1,1,5,0,5,8,"0,10",7,1,0,0,0,0,
Salernitana (3 stagioni),,1 campionato,,37.1,36,"0,97",26,1,2,7,0,0,3,"0,08",2,0,0,1,0,0,
Tottenham (2 stagioni),,1 campionato,,19.7,,,,,,,,,,,,,,,,,
Sevilla B (1 stagione),,1 campionato,,4.9,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Serie A (8 stagioni),,,,153.4,91,"0,77",69,2,3,12,0,5,11,"0,09",9,1,0,1,0,0,
La Liga (8 stagioni),,,,130.4,,,,,,,,,,,,,,,,,
Premier League (2 stagioni),,,,19.7,,,,,,,,,,,,,,,,,
Segunda División (1 stagione),,,,4.9,,,,,,,,,,,,,,,,,
