,Tipologie di passaggi,Calci d'angolo,Risultati,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,2007-2008,2007-2008,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,17 stagioni,,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,Sevilla (8 stagioni),Roma (5 stagioni),Salernitana (3 stagioni),Tottenham (2 stagioni),Sevilla B (1 stagione),,Serie A (8 stagioni),La Liga (8 stagioni),Premier League (2 stagioni),Segunda División (1 stagione)
,Tipologie di passaggi,Calci d'angolo,Risultati,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
2007-2008,20,Sevilla B,es ESP,2. Segunda División,9°,4.9,,,,,,,,,,,,,,,,Partite
2007-2008,20,Sevilla,es ESP,1. La Liga,5°,18.2,,,,,,,,,,,,,,,,Partite
2008-2009,21,Sevilla,es ESP,1. La Liga,3°,8.1,,,,,,,,,,,,,,,,Partite
2009-2010,22,Sevilla,es ESP,1. La Liga,4°,9.1,,,,,,,,,,,,,,,,Partite
2010-2011,23,Sevilla,es ESP,1. La Liga,5°,16.7,,,,,,,,,,,,,,,,Partite
2011-2012,24,Sevilla,es ESP,1. La Liga,9°,25.0,,,,,,,,,,,,,,,,Partite
2012-2013,25,Sevilla,es ESP,1. La Liga,9°,23.5,,,,,,,,,,,,,,,,Partite
2013-2014,26,Sevilla,es ESP,1. La Liga,5°,26.5,,,,,,,,,,,,,,,,Partite
2014-2015,27,Tottenham,eng ENG,1. Premier League,5°,19.7,,,,,,,,,,,,,,,,Partite
2015-2016,28,Sevilla,es ESP,1. La Liga,7°,3.3,,,,,,,0,,,,,,,,,Partite
2016-2017,29,Roma,it ITA,1. Serie A,2°,34.6,,,,,,,3,,,,,,,,,Partite
2017-2018,30,Roma,it ITA,1. Serie A,3°,32.5,1996,1920,73,70,1,17,5,3,0,0,0,0,1680,3,12,Partite
2018-2019,31,Roma,it ITA,1. Serie A,6°,31.2,1425,1362,60,51,2,14,5,9,0,0,0,0,1208,3,9,Partite
2019-2020,32,Roma,it ITA,1. Serie A,5°,13.5,675,640,34,29,0,4,2,5,0,0,0,0,587,1,4,Partite
2020-2021,33,Roma,it ITA,1. Serie A,7°,4.5,317,307,10,9,1,3,4,1,0,0,0,0,272,0,3,Partite
2021-2022,34,Salernitana,it ITA,1. Serie A,17°,15.9,634,581,51,34,1,4,6,17,0,0,0,0,512,2,6,Partite
2022-2023,35,Salernitana,it ITA,1. Serie A,15°,11.9,536,503,33,18,0,8,4,15,0,0,0,0,410,0,6,Partite
2023-2024,36,Salernitana,it ITA,1. Serie A,20°,9.3,346,317,28,19,0,0,0,7,0,0,0,0,262,1,5,Partite
17 stagioni,5 club,,4 campionati,,308.4,5929,5630,289,230,5,50,29,57,0,0,0,0,4931,10,45,
,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
Sevilla (8 stagioni),,1 campionato,,130.4,,,,,,,0,,,,,,,,,
Roma (5 stagioni),,1 campionato,,116.3,4413,4229,177,159,4,38,19,18,0,0,0,0,3747,7,28,
Salernitana (3 stagioni),,1 campionato,,37.1,1516,1401,112,71,1,12,10,39,0,0,0,0,1184,3,17,
Tottenham (2 stagioni),,1 campionato,,19.7,,,,,,,,,,,,,,,,
Sevilla B (1 stagione),,1 campionato,,4.9,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Serie A (8 stagioni),,,,153.4,5929,5630,289,230,5,50,29,57,0,0,0,0,4931,10,45,
La Liga (8 stagioni),,,,130.4,,,,,,,0,,,,,,,,,
Premier League (2 stagioni),,,,19.7,,,,,,,,,,,,,,,,
Segunda División (1 stagione),,,,4.9,,,,,,,,,,,,,,,,
