,Contrasti,Sfide,Blocchi,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,2010-2011,2011-2012,,2013-2014,,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,10 stagioni,,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,Napoli (5 stagioni),Reggina (3 stagioni),Empoli (2 stagioni),,Serie A (6 stagioni),Serie B (4 stagioni)
,Contrasti,Sfide,Blocchi,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
2010-2011,16,Reggina,it ITA,2. Serie B,6°,1.0,,,,,,,,,,,,,,,,,
2011-2012,17,Reggina,it ITA,2. Serie B,10°,0.5,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
2013-2014,19,Reggina,it ITA,2. Serie B,21°,17.3,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,23,Empoli,it ITA,2. Serie B,1°,34.2,,0,,,,,,,,,,,0,,,,Partite
2018-2019,24,Empoli,it ITA,1. Serie A,18°,37.0,66,43,38,23,5,24,44,"54,5",20,34,13,21,36,102,93,3,Partite
2019-2020,25,Napoli,it ITA,1. Serie A,7°,33.0,59,35,27,19,13,32,61,"52,5",29,27,11,16,28,87,54,0,Partite
2020-2021,26,Napoli,it ITA,1. Serie A,5°,36.0,79,50,54,21,4,43,75,"57,3",32,37,13,24,35,114,64,1,Partite
2021-2022,27,Napoli,it ITA,1. Serie A,3°,31.9,58,36,30,20,8,33,58,"56,9",25,28,10,18,38,96,46,1,Partite
2022-2023,28,Napoli,it ITA,1. Serie A,1°,36.2,60,29,33,19,8,25,49,"51,0",24,30,9,21,30,90,60,0,Partite
2023-2024,29,Napoli,it ITA,1. Serie A,9°,25.0,39,25,21,14,4,23,49,"46,9",26,27,9,18,15,54,34,0,Partite
10 stagioni,3 club,,2 campionati,,252.0,361,218,203,116,42,180,336,"53,6",156,183,65,118,182,543,351,5,
,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
Napoli (5 stagioni),,1 campionato,,162.1,295,175,165,93,37,156,292,"53,4",136,149,52,97,146,441,258,2,
Reggina (3 stagioni),,1 campionato,,18.8,,,,,,,,,,,,,,0,,,
Empoli (2 stagioni),,2 campionati,,71.2,66,43,38,23,5,24,44,"54,5",20,34,13,21,36,102,93,3,
,,,,,,,,,,,,,,,,,,,,,
Serie A (6 stagioni),,,,199.1,361,218,203,116,42,180,336,"53,6",156,183,65,118,182,543,351,5,
Serie B (4 stagioni),,,,52.9,,0,,,,,,,,,,,0,0,,,
