,Totali,Brevi,Medi,Lunghi,,Prestazione prevista,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite,2010-2011,2011-2012,,2013-2014,,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,10 stagioni,,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite,Napoli (5 stagioni),Reggina (3 stagioni),Empoli (2 stagioni),,Serie A (6 stagioni),Serie B (4 stagioni)
,Totali,Brevi,Medi,Lunghi,,Prestazione prevista,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite
2010-2011,16,Reggina,it ITA,2. Serie B,6°,1.0,,,,,,,,,,,,,,,0,,,,,,,,,
2011-2012,17,Reggina,it ITA,2. Serie B,10°,0.5,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013-2014,19,Reggina,it ITA,2. Serie B,21°,17.3,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017-2018,23,Empoli,it ITA,2. Serie B,1°,34.2,,,,,,,,,,,,,,,5,,,,,,,,,Partite
2018-2019,24,Empoli,it ITA,1. Serie A,18°,37.0,1681,2186,"76,9",25450,10834,941,1055,"89,2",574,748,"76,7",106,218,"48,6",3,5.3,5.9,-2.3,39,151,71,14,241,Partite
2019-2020,25,Napoli,it ITA,1. Serie A,7°,33.0,1979,2280,"86,8",29184,10277,1135,1211,"93,7",656,755,"86,9",113,165,"68,5",3,2.2,3.0,+0.8,30,128,39,9,204,Partite
2020-2021,26,Napoli,it ITA,1. Serie A,5°,36.0,2228,2586,"86,2",34895,12760,1197,1283,"93,3",829,932,"88,9",142,215,"66,0",6,5.7,4.1,+0.3,48,227,61,13,259,Partite
2021-2022,27,Napoli,it ITA,1. Serie A,3°,31.9,2008,2290,"87,7",30064,10413,1175,1260,"93,3",670,749,"89,5",108,156,"69,2",4,2.8,3.0,+1.2,34,163,41,5,196,Partite
2022-2023,28,Napoli,it ITA,1. Serie A,1°,36.2,2272,2687,"84,6",36646,12660,1208,1303,"92,7",847,971,"87,2",165,259,"63,7",4,4.7,4.4,-0.7,47,177,61,9,256,Partite
2023-2024,29,Napoli,it ITA,1. Serie A,9°,25.0,1596,1882,"84,8",25541,9523,867,937,"92,5",572,682,"83,9",123,175,"70,3",5,4.1,3.6,+0.9,36,157,63,12,205,Partite
10 stagioni,3 club,,2 campionati,,252.0,11764,13911,"84,6",181780,66467,6523,7049,"92,5",4148,4837,"85,8",757,1188,"63,7",30,24.8,24.0,+5.2,234,1003,336,62,1361,
,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite
Napoli (5 stagioni),,1 campionato,,162.1,10083,11725,"86,0",156330,55633,5582,5994,"93,1",3574,4089,"87,4",651,970,"67,1",22,19.5,18.1,+2.5,195,852,265,48,1120,
Reggina (3 stagioni),,1 campionato,,18.8,,,,,,,,,,,,,,,0,,,,,,,,,
Empoli (2 stagioni),,2 campionati,,71.2,1681,2186,"76,9",25450,10834,941,1055,"89,2",574,748,"76,7",106,218,"48,6",8,5.3,5.9,+2.7,39,151,71,14,241,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serie A (6 stagioni),,,,199.1,11764,13911,"84,6",181780,66467,6523,7049,"92,5",4148,4837,"85,8",757,1188,"63,7",25,24.8,24.0,+0.2,234,1003,336,62,1361,
Serie B (4 stagioni),,,,52.9,,,,,,,,,,,,,,,5,,,,,,,,,
