,Tipologie di passaggi,Calci d'angolo,Risultati,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,2010-2011,2011-2012,,2013-2014,,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,10 stagioni,,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,Napoli (5 stagioni),Reggina (3 stagioni),Empoli (2 stagioni),,Serie A (6 stagioni),Serie B (4 stagioni)
,Tipologie di passaggi,Calci d'angolo,Risultati,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
2010-2011,16,Reggina,it ITA,2. Serie B,6°,1.0,,,,,,,,,,,,,,,,
2011-2012,17,Reggina,it ITA,2. Serie B,10°,0.5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
2013-2014,19,Reggina,it ITA,2. Serie B,21°,17.3,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
2017-2018,23,Empoli,it ITA,2. Serie B,1°,34.2,,,,,,,0,,,,,,,,,Partite
2018-2019,24,Empoli,it ITA,1. Serie A,18°,37.0,2186,1862,316,38,4,6,124,278,0,0,0,0,1681,8,69,Partite
2019-2020,25,Napoli,it ITA,1. Serie A,7°,33.0,2280,1987,291,70,0,14,60,221,0,0,0,0,1979,2,41,Partite
2020-2021,26,Napoli,it ITA,1. Serie A,5°,36.0,2586,2187,395,74,2,10,72,321,0,0,0,0,2228,4,54,Partite
2021-2022,27,Napoli,it ITA,1. Serie A,3°,31.9,2290,1949,338,54,3,20,49,283,1,0,0,0,2008,3,41,Partite
2022-2023,28,Napoli,it ITA,1. Serie A,1°,36.2,2687,2311,366,58,5,25,88,304,2,0,0,0,2272,10,61,Partite
2023-2024,29,Napoli,it ITA,1. Serie A,9°,25.0,1882,1613,263,29,4,19,92,234,0,0,0,0,1596,6,32,Partite
10 stagioni,3 club,,2 campionati,,252.0,13911,11909,1969,323,18,94,485,1641,3,0,0,0,11764,33,298,
,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
Napoli (5 stagioni),,1 campionato,,162.1,11725,10047,1653,285,14,88,361,1363,3,0,0,0,10083,25,229,
Reggina (3 stagioni),,1 campionato,,18.8,,,,,,,,,,,,,,,,
Empoli (2 stagioni),,2 campionati,,71.2,2186,1862,316,38,4,6,124,278,0,0,0,0,1681,8,69,
,,,,,,,,,,,,,,,,,,,,
Serie A (6 stagioni),,,,199.1,13911,11909,1969,323,18,94,485,1641,3,0,0,0,11764,33,298,
Serie B (4 stagioni),,,,52.9,,,,,,,0,,,,,,,,,
