,Contrasti,Sfide,Blocchi,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,2018-2019,2019-2020,2019-2020,2020-2021,2021-2022,2022-2023,2022-2023,2023-2024,9 stagioni,,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,Asteras Tripoli (5 stagioni),Sassuolo (4 stagioni),Monza (1 stagione),Bologna (1 stagione),,Serie A (5 stagioni),Super League (5 stagioni)
,Contrasti,Sfide,Blocchi,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
2018-2019,22,Asteras Tripoli,gr GRE,1. Super League,11°,21.1,,,,,,,,,,,,,,,,,Partite
2019-2020,23,Asteras Tripoli,gr GRE,1. Super League,7°,2.0,,,,,,,,,,,,,,,,,Partite
2019-2020,23,Sassuolo,it ITA,1. Serie A,8°,18.3,35,18,22,7,6,18,32,"56,3",14,19,6,13,18,53,41,0,Partite
2020-2021,24,Sassuolo,it ITA,1. Serie A,8°,16.2,35,18,17,12,6,8,28,"28,6",20,16,5,11,15,50,42,0,Partite
2021-2022,25,Sassuolo,it ITA,1. Serie A,11°,21.9,30,14,19,7,4,19,38,"50,0",19,32,9,23,11,41,52,0,Partite
2022-2023,26,Sassuolo,it ITA,1. Serie A,13°,8.5,21,8,7,9,5,10,14,"71,4",4,7,1,6,11,32,12,1,Partite
2022-2023,26,Bologna,it ITA,1. Serie A,9°,7.8,13,6,4,5,4,10,23,"43,5",13,14,2,12,4,17,10,0,Partite
2023-2024,27,Monza,it ITA,1. Serie A,11°,14.9,15,9,12,3,0,7,17,"41,2",10,10,0,10,11,26,19,0,Partite
9 stagioni,4 club,,2 campionati,,110.7,149,73,81,43,25,72,152,"47,4",80,98,23,75,70,219,176,1,
,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
Asteras Tripoli (5 stagioni),,1 campionato,,23.1,,,,,,,,,,,,,,0,,,
Sassuolo (4 stagioni),,1 campionato,,64.9,121,58,65,35,21,55,112,"49,1",57,74,21,53,55,176,147,1,
Monza (1 stagione),,1 campionato,,14.9,15,9,12,3,0,7,17,"41,2",10,10,0,10,11,26,19,0,
Bologna (1 stagione),,1 campionato,,7.8,13,6,4,5,4,10,23,"43,5",13,14,2,12,4,17,10,0,
,,,,,,,,,,,,,,,,,,,,,
Serie A (5 stagioni),,,,87.6,149,73,81,43,25,72,152,"47,4",80,98,23,75,70,219,176,1,
Super League (5 stagioni),,,,23.1,,,,,,,,,,,,,,0,,,
