,Tipologie di passaggi,Calci d'angolo,Risultati,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,9 stagioni,,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,Roma (5 stagioni),Atalanta (2 stagioni),Perugia (2 stagioni),,Serie A (7 stagioni),Serie B (2 stagioni)
,Tipologie di passaggi,Calci d'angolo,Risultati,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
2015-2016,19,Perugia,it ITA,2. Serie B,10°,10.2,,,,,,,,,,,,,,,,Partite
2016-2017,20,Perugia,it ITA,2. Serie B,4°,11.3,,,,,,,,,,,,,,,,Partite
2017-2018,21,Atalanta,it ITA,1. Serie A,7°,7.6,348,326,21,10,0,7,3,11,0,0,0,0,281,1,0,Partite
2018-2019,22,Atalanta,it ITA,1. Serie A,3°,25.0,1400,1289,104,32,0,11,3,72,0,0,0,0,1152,7,13,Partite
2019-2020,23,Roma,it ITA,1. Serie A,5°,30.4,1678,1619,57,46,3,5,2,11,0,0,0,0,1479,2,11,Partite
2020-2021,24,Roma,it ITA,1. Serie A,7°,31.7,1967,1890,76,59,0,12,14,17,0,0,0,0,1731,1,16,Partite
2021-2022,25,Roma,it ITA,1. Serie A,6°,32.0,1817,1758,56,42,3,8,15,8,0,0,0,0,1533,3,13,Partite
2022-2023,26,Roma,it ITA,1. Serie A,6°,31.8,1621,1536,76,69,3,17,28,5,0,0,0,0,1306,9,14,Partite
2023-2024,27,Roma,it ITA,1. Serie A,5°,24.2,1502,1429,70,53,2,5,21,1,0,0,0,0,1293,3,5,Partite
9 stagioni,3 club,,2 campionati,,204.1,10333,9847,460,311,11,65,86,125,0,0,0,0,8775,26,72,
,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
Roma (5 stagioni),,1 campionato,,150.1,8585,8232,335,269,11,47,80,42,0,0,0,0,7342,18,59,
Atalanta (2 stagioni),,1 campionato,,32.6,1748,1615,125,42,0,18,6,83,0,0,0,0,1433,8,13,
Perugia (2 stagioni),,1 campionato,,21.5,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Serie A (7 stagioni),,,,182.6,10333,9847,460,311,11,65,86,125,0,0,0,0,8775,26,72,
Serie B (2 stagioni),,,,21.5,,,,,,,,,,,,,,,,
