,Contrasti,Sfide,Blocchi,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,5 stagioni,,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,Cagliari (4 stagioni),Pescara (1 stagione),,Serie A (3 stagioni),Serie B (2 stagioni)
,Contrasti,Sfide,Blocchi,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
2019-2020,19,Pescara,it ITA,2. Serie B,17°,22.2,36,23,22,10,4,14,32,"43,8",18,38,8,30,22,58,58,0,Partite
2020-2021,20,Cagliari,it ITA,1. Serie A,16°,26.6,34,17,16,15,3,22,49,"44,9",27,36,4,32,24,58,50,0,Partite
2021-2022,21,Cagliari,it ITA,1. Serie A,18°,12.7,21,9,12,6,3,6,24,"25,0",18,15,5,10,14,35,28,0,Partite
2022-2023,22,Cagliari,it ITA,2. Serie B,5°,26.1,51,37,23,24,4,31,57,"54,4",26,23,8,15,33,84,57,0,Partite
2023-2024,23,Cagliari,it ITA,1. Serie A,19°,20.4,34,21,18,11,5,22,32,"68,8",10,17,2,15,17,51,54,1,Partite
5 stagioni,2 club,,2 campionati,,108.0,176,107,91,66,19,95,194,"49,0",99,129,27,102,110,286,247,1,
,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
Cagliari (4 stagioni),,2 campionati,,85.8,140,84,69,56,15,81,162,"50,0",81,91,19,72,88,228,189,1,
Pescara (1 stagione),,1 campionato,,22.2,36,23,22,10,4,14,32,"43,8",18,38,8,30,22,58,58,0,
,,,,,,,,,,,,,,,,,,,,,
Serie A (3 stagioni),,,,59.7,89,47,46,32,11,50,105,"47,6",55,68,11,57,55,144,132,1,
Serie B (2 stagioni),,,,48.3,87,60,45,34,8,45,89,"50,6",44,61,16,45,55,142,115,0,
