,SCA,Tipologie di SCA,GCA,Tipologie di GCA,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,5 stagioni,,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite,Cagliari (4 stagioni),Pescara (1 stagione),,Serie A (3 stagioni),Serie B (2 stagioni)
,SCA,Tipologie di SCA,GCA,Tipologie di GCA,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite
2019-2020,19,Pescara,it ITA,2. Serie B,17°,22.2,54,"2,44",41,3,7,1,0,2,4,"0,18",1,0,2,0,0,1,Partite
2020-2021,20,Cagliari,it ITA,1. Serie A,16°,26.6,64,"2,40",52,4,5,3,0,0,8,"0,30",6,1,1,0,0,0,Partite
2021-2022,21,Cagliari,it ITA,1. Serie A,18°,12.7,19,"1,49",17,1,0,1,0,0,0,"0,00",0,0,0,0,0,0,Partite
2022-2023,22,Cagliari,it ITA,2. Serie B,5°,26.1,69,"2,65",56,7,2,0,2,2,3,"0,12",1,1,0,0,0,1,Partite
2023-2024,23,Cagliari,it ITA,1. Serie A,19°,20.4,48,"2,35",37,2,0,5,2,2,4,"0,20",1,1,0,1,1,0,Partite
5 stagioni,2 club,,2 campionati,,108.0,254,"2,35",203,17,14,10,4,6,19,"0,18",9,3,3,1,1,2,
,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite
Cagliari (4 stagioni),,2 campionati,,85.8,200,"2,33",162,14,7,9,4,4,15,"0,17",8,3,1,1,1,1,
Pescara (1 stagione),,1 campionato,,22.2,54,"2,44",41,3,7,1,0,2,4,"0,18",1,0,2,0,0,1,
,,,,,,,,,,,,,,,,,,,,,
Serie A (3 stagioni),,,,59.7,131,"2,19",106,7,5,9,2,2,12,"0,20",7,2,1,1,1,0,
Serie B (2 stagioni),,,,48.3,123,"2,55",97,10,9,1,2,4,7,"0,15",2,1,2,0,0,2,
