,Tipologie di passaggi,Calci d'angolo,Risultati,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,5 stagioni,,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,Cagliari (4 stagioni),Pescara (1 stagione),,Serie A (3 stagioni),Serie B (2 stagioni)
,Tipologie di passaggi,Calci d'angolo,Risultati,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
2019-2020,19,Pescara,it ITA,2. Serie B,17°,22.2,1251,1026,220,5,0,5,76,213,2,0,0,0,912,5,54,Partite
2020-2021,20,Cagliari,it ITA,1. Serie A,16°,26.6,1313,1059,252,20,0,1,69,232,0,0,0,0,1003,2,34,Partite
2021-2022,21,Cagliari,it ITA,1. Serie A,18°,12.7,609,512,95,11,0,2,25,84,0,0,0,0,454,2,25,Partite
2022-2023,22,Cagliari,it ITA,2. Serie B,5°,26.1,1626,1328,293,35,2,8,96,258,0,0,0,0,1264,5,49,Partite
2023-2024,23,Cagliari,it ITA,1. Serie A,19°,20.4,1022,838,181,26,0,5,50,155,0,0,0,0,753,3,28,Partite
5 stagioni,2 club,,2 campionati,,108.0,5821,4763,1041,97,2,21,316,942,2,0,0,0,4386,17,190,
,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
Cagliari (4 stagioni),,2 campionati,,85.8,4570,3737,821,92,2,16,240,729,0,0,0,0,3474,12,136,
Pescara (1 stagione),,1 campionato,,22.2,1251,1026,220,5,0,5,76,213,2,0,0,0,912,5,54,
,,,,,,,,,,,,,,,,,,,,
Serie A (3 stagioni),,,,59.7,2944,2409,528,57,0,8,144,471,0,0,0,0,2210,7,87,
Serie B (2 stagioni),,,,48.3,2877,2354,513,40,2,13,172,471,2,0,0,0,2176,10,103,
