,Contrasti,Sfide,Blocchi,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,2013-2014,2014-2015,2015-2016,2016-2017,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,11 stagioni,,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,Atalanta (8 stagioni),Groningen (4 stagioni),,Serie A (8 stagioni),Eredivisie (4 stagioni)
,Contrasti,Sfide,Blocchi,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
2013-2014,19,Groningen,nl NED,1. Eredivisie,7°,13.3,,,,,,,,,,,,,,,,,Partite
2014-2015,20,Groningen,nl NED,1. Eredivisie,8°,18.9,,,,,,,,,,,,,,,,,Partite
2015-2016,21,Groningen,nl NED,1. Eredivisie,7°,31.0,,,,,,,,,,,,,,,,,Partite
2016-2017,22,Groningen,nl NED,1. Eredivisie,8°,19.0,,0,,,,,,,,,,,0,,,,Partite
2016-2017,22,Atalanta,it ITA,1. Serie A,4°,3.2,,3,,,,,,,,,,,5,,,,Partite
2017-2018,23,Atalanta,it ITA,1. Serie A,7°,26.6,31,25,13,13,5,15,26,"57,7",11,32,5,27,30,61,46,1,Partite
2018-2019,24,Atalanta,it ITA,1. Serie A,3°,33.0,43,31,19,19,5,17,34,"50,0",17,29,5,24,23,66,47,1,Partite
2019-2020,25,Atalanta,it ITA,1. Serie A,3°,26.2,36,23,20,9,7,18,38,"47,4",20,22,7,15,10,46,32,1,Partite
2020-2021,26,Atalanta,it ITA,1. Serie A,3°,19.6,28,17,12,14,2,13,23,"56,5",10,8,1,7,17,45,9,0,Partite
2021-2022,27,Atalanta,it ITA,1. Serie A,8°,15.4,22,14,10,8,4,11,26,"42,3",15,11,1,10,7,29,20,0,Partite
2022-2023,28,Atalanta,it ITA,1. Serie A,5°,15.5,21,13,11,8,2,11,27,"40,7",16,23,4,19,12,33,25,0,Partite
2023-2024,29,Atalanta,it ITA,1. Serie A,6°,6.3,6,3,4,1,1,2,5,"40,0",3,11,2,9,2,8,11,0,Partite
11 stagioni,2 club,,2 campionati,,228.1,187,129,89,72,26,87,179,"48,6",92,136,25,111,106,288,190,3,
,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
Atalanta (8 stagioni),,1 campionato,,145.9,187,129,89,72,26,87,179,"48,6",92,136,25,111,106,288,190,3,
Groningen (4 stagioni),,1 campionato,,82.2,,0,,,,,,,,,,,0,0,,,
,,,,,,,,,,,,,,,,,,,,,
Serie A (8 stagioni),,,,145.9,187,129,89,72,26,87,179,"48,6",92,136,25,111,106,288,190,3,
Eredivisie (4 stagioni),,,,82.2,,0,,,,,,,,,,,0,0,,,
