,Totali,Brevi,Medi,Lunghi,,Prestazione prevista,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite,2013-2014,2014-2015,2015-2016,2016-2017,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,11 stagioni,,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite,Atalanta (8 stagioni),Groningen (4 stagioni),,Serie A (8 stagioni),Eredivisie (4 stagioni)
,Totali,Brevi,Medi,Lunghi,,Prestazione prevista,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite
2013-2014,19,Groningen,nl NED,1. Eredivisie,7°,13.3,,,,,,,,,,,,,,,2,,,,,,,,,Partite
2014-2015,20,Groningen,nl NED,1. Eredivisie,8°,18.9,,,,,,,,,,,,,,,2,,,,,,,,,Partite
2015-2016,21,Groningen,nl NED,1. Eredivisie,7°,31.0,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2016-2017,22,Groningen,nl NED,1. Eredivisie,8°,19.0,,,,,,,,,,,,,,,3,,,,,,,,,Partite
2016-2017,22,Atalanta,it ITA,1. Serie A,4°,3.2,,,,,,,,,,,,,,,1,,,,,,,,,Partite
2017-2018,23,Atalanta,it ITA,1. Serie A,7°,26.6,1098,1394,"78,8",16127,5408,637,748,"85,2",366,452,"81,0",58,97,"59,8",1,1.3,1.8,-0.3,17,70,32,12,113,Partite
2018-2019,24,Atalanta,it ITA,1. Serie A,3°,33.0,1518,1838,"82,6",20360,6494,1010,1122,"90,0",393,485,"81,0",56,92,"60,9",5,5.0,3.9,0.0,48,78,39,17,136,Partite
2019-2020,25,Atalanta,it ITA,1. Serie A,3°,26.2,1195,1438,"83,1",15396,4652,761,827,"92,0",310,393,"78,9",43,68,"63,2",4,4.5,3.4,-0.5,44,45,27,21,70,Partite
2020-2021,26,Atalanta,it ITA,1. Serie A,3°,19.6,857,992,"86,4",12183,4072,523,569,"91,9",268,314,"85,4",38,53,"71,7",1,1.8,1.7,-0.8,20,51,19,11,78,Partite
2021-2022,27,Atalanta,it ITA,1. Serie A,8°,15.4,703,850,"82,7",9952,3276,448,482,"92,9",207,253,"81,8",29,59,"49,2",0,0.8,1.9,-0.8,13,43,17,8,73,Partite
2022-2023,28,Atalanta,it ITA,1. Serie A,5°,15.5,560,702,"79,8",8088,2850,339,376,"90,2",173,223,"77,6",31,60,"51,7",1,1.5,1.4,-0.5,13,28,16,7,55,Partite
2023-2024,29,Atalanta,it ITA,1. Serie A,6°,6.3,253,311,"81,4",4156,1334,135,148,"91,2",90,112,"80,4",21,30,"70,0",1,1.2,0.7,-0.2,14,13,11,9,24,Partite
11 stagioni,2 club,,2 campionati,,228.1,6184,7525,"82,2",86262,28086,3853,4272,"90,2",1807,2232,"81,0",276,459,"60,1",21,16.1,14.9,+4.9,169,328,161,85,549,
,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite
Atalanta (8 stagioni),,1 campionato,,145.9,6184,7525,"82,2",86262,28086,3853,4272,"90,2",1807,2232,"81,0",276,459,"60,1",14,16.1,14.9,-2.1,169,328,161,85,549,
Groningen (4 stagioni),,1 campionato,,82.2,,,,,,,,,,,,,,,7,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serie A (8 stagioni),,,,145.9,6184,7525,"82,2",86262,28086,3853,4272,"90,2",1807,2232,"81,0",276,459,"60,1",14,16.1,14.9,-2.1,169,328,161,85,549,
Eredivisie (4 stagioni),,,,82.2,,,,,,,,,,,,,,,7,,,,,,,,,
