,Tipologie di passaggi,Calci d'angolo,Risultati,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,2013-2014,2014-2015,2015-2016,2016-2017,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,11 stagioni,,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,Atalanta (8 stagioni),Groningen (4 stagioni),,Serie A (8 stagioni),Eredivisie (4 stagioni)
,Tipologie di passaggi,Calci d'angolo,Risultati,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
2013-2014,19,Groningen,nl NED,1. Eredivisie,7°,13.3,,,,,,,,,,,,,,,,Partite
2014-2015,20,Groningen,nl NED,1. Eredivisie,8°,18.9,,,,,,,,,,,,,,,,Partite
2015-2016,21,Groningen,nl NED,1. Eredivisie,7°,31.0,,,,,,,,,,,,,,,,Partite
2016-2017,22,Groningen,nl NED,1. Eredivisie,8°,19.0,,,,,,,0,,,,,,,,,Partite
2016-2017,22,Atalanta,it ITA,1. Serie A,4°,3.2,,,,,,,5,,,,,,,,,Partite
2017-2018,23,Atalanta,it ITA,1. Serie A,7°,26.6,1394,1193,198,14,0,8,53,184,0,0,0,0,1098,3,39,Partite
2018-2019,24,Atalanta,it ITA,1. Serie A,3°,33.0,1838,1636,200,15,0,8,75,184,1,0,1,0,1518,2,52,Partite
2019-2020,25,Atalanta,it ITA,1. Serie A,3°,26.2,1438,1223,213,16,0,5,76,196,1,1,0,0,1195,2,43,Partite
2020-2021,26,Atalanta,it ITA,1. Serie A,3°,19.6,992,866,125,10,0,6,24,115,0,0,0,0,857,1,18,Partite
2021-2022,27,Atalanta,it ITA,1. Serie A,8°,15.4,850,719,128,9,0,5,38,119,0,0,0,0,703,3,25,Partite
2022-2023,28,Atalanta,it ITA,1. Serie A,5°,15.5,702,571,129,3,2,1,23,126,0,0,0,0,560,2,13,Partite
2023-2024,29,Atalanta,it ITA,1. Serie A,6°,6.3,311,259,51,3,0,1,20,48,0,0,0,0,253,1,7,Partite
11 stagioni,2 club,,2 campionati,,228.1,7525,6467,1044,70,2,34,314,972,2,1,1,0,6184,14,197,
,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
Atalanta (8 stagioni),,1 campionato,,145.9,7525,6467,1044,70,2,34,314,972,2,1,1,0,6184,14,197,
Groningen (4 stagioni),,1 campionato,,82.2,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Serie A (8 stagioni),,,,145.9,7525,6467,1044,70,2,34,314,972,2,1,1,0,6184,14,197,
Eredivisie (4 stagioni),,,,82.2,,,,,,,0,,,,,,,,,
