,Contrasti,Sfide,Blocchi,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,9 stagioni
,Contrasti,Sfide,Blocchi,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
2015-2016,18,Real Sociedad,es ESP,1. La Liga,9°,0.1,,1,,,,,,,,,,,0,,,,Partite
2016-2017,19,Real Sociedad,es ESP,1. La Liga,6°,2.8,,5,,,,,,,,,,,2,,,,Partite
2017-2018,20,Real Sociedad,es ESP,1. La Liga,12°,17.6,39,29,17,16,6,14,42,"33,3",28,20,5,15,32,71,31,0,Partite
2018-2019,21,Real Sociedad,es ESP,1. La Liga,9°,28.3,61,35,32,24,5,22,54,"40,7",32,30,6,24,45,106,60,0,Partite
2019-2020,22,Real Sociedad,es ESP,1. La Liga,6°,29.3,42,21,18,19,5,17,35,"48,6",18,38,21,17,26,68,82,2,Partite
2020-2021,23,Real Sociedad,es ESP,1. La Liga,5°,21.8,23,16,15,8,0,8,14,"57,1",6,20,13,7,12,35,46,0,Partite
2021-2022,24,Real Sociedad,es ESP,1. La Liga,6°,18.3,20,10,12,8,0,12,18,"66,7",6,16,6,10,27,47,53,0,Partite
2022-2023,25,Real Sociedad,es ESP,1. La Liga,4°,28.2,35,18,28,7,0,25,35,"71,4",10,23,17,6,21,56,93,0,Partite
2023-2024,26,Real Sociedad,es ESP,1. La Liga,7°,23.0,28,21,20,7,1,17,23,"73,9",6,24,16,8,27,55,87,2,Partite
9 stagioni,1 club,,1 campionato,,169.5,248,156,142,89,17,115,221,"52,0",106,171,84,87,192,438,452,4,
