,Tipologie di passaggi,Calci d'angolo,Risultati,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,9 stagioni
,Tipologie di passaggi,Calci d'angolo,Risultati,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
2015-2016,18,Real Sociedad,es ESP,1. La Liga,9°,0.1,,,,,,,0,,,,,,,,,Partite
2016-2017,19,Real Sociedad,es ESP,1. La Liga,6°,2.8,,,,,,,0,,,,,,,,,Partite
2017-2018,20,Real Sociedad,es ESP,1. La Liga,12°,17.6,944,935,7,6,2,18,2,1,0,0,0,0,810,2,11,Partite
2018-2019,21,Real Sociedad,es ESP,1. La Liga,9°,28.3,1207,1182,21,20,0,17,2,1,0,0,0,0,1031,4,18,Partite
2019-2020,22,Real Sociedad,es ESP,1. La Liga,6°,29.3,1705,1668,32,32,1,9,9,0,0,0,0,0,1479,5,20,Partite
2020-2021,23,Real Sociedad,es ESP,1. La Liga,5°,21.8,1223,1187,36,20,0,7,6,16,0,0,0,0,1060,0,11,Partite
2021-2022,24,Real Sociedad,es ESP,1. La Liga,6°,18.3,1045,1009,35,28,2,3,4,7,0,0,0,0,908,1,6,Partite
2022-2023,25,Real Sociedad,es ESP,1. La Liga,4°,28.2,1557,1490,62,44,1,12,3,18,0,0,0,0,1329,5,12,Partite
2023-2024,26,Real Sociedad,es ESP,1. La Liga,7°,23.0,1425,1380,38,37,3,7,2,0,0,0,0,0,1195,7,6,Partite
9 stagioni,1 club,,1 campionato,,169.5,9106,8851,231,187,9,73,28,43,0,0,0,0,7812,24,84,
