,Totali,Brevi,Medi,Lunghi,,Prestazione prevista,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2014-2015,2015-2016,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,15 stagioni,,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite,Juventus (8 stagioni),Fiorentina (3 stagioni),Udinese (2 stagioni),Chelsea (2 stagioni),Lecce (1 stagione),Inter (1 stagione),,Serie A (15 stagioni),Premier League (2 stagioni)
,Totali,Brevi,Medi,Lunghi,,Prestazione prevista,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite
2009-2010,21,Udinese,it ITA,1. Serie A,15°,5.1,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2010-2011,22,Udinese,it ITA,1. Serie A,4°,3.8,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2011-2012,23,Lecce,it ITA,1. Serie A,18°,30.0,,,,,,,,,,,,,,,1,,,,,,,,,Partite
2012-2013,24,Fiorentina,it ITA,1. Serie A,4°,32.8,,,,,,,,,,,,,,,7,,,,,,,,,Partite
2013-2014,25,Fiorentina,it ITA,1. Serie A,4°,29.9,,,,,,,,,,,,,,,6,,,,,,,,,Partite
2014-2015,26,Fiorentina,it ITA,1. Serie A,4°,16.0,,,,,,,,,,,,,,,4,,,,,,,,,Partite
2014-2015,26,Chelsea,eng ENG,1. Premier League,1°,3.5,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2015-2016,27,Chelsea,eng ENG,1. Premier League,10°,0.3,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2015-2016,27,Juventus,it ITA,1. Serie A,1°,19.2,,,,,,,,,,,,,,,5,,,,,,,,,Partite
2016-2017,28,Juventus,it ITA,1. Serie A,1°,23.3,,,,,,,,,,,,,,,6,,,,,,,,,Partite
2017-2018,29,Juventus,it ITA,1. Serie A,1°,15.0,708,837,"84,6",13424,2888,315,343,"91,8",260,299,"87,0",110,145,"75,9",4,3.0,2.5,+1.0,38,48,36,20,60,Partite
2018-2019,30,Juventus,it ITA,1. Serie A,1°,13.6,687,820,"83,8",11993,2824,352,382,"92,1",240,282,"85,1",80,115,"69,6",2,2.0,2.1,0.0,31,46,32,12,86,Partite
2019-2020,31,Juventus,it ITA,1. Serie A,1°,29.5,2032,2318,"87,7",33507,11397,983,1050,"93,6",818,902,"90,7",164,254,"64,6",5,4.3,3.5,+0.7,44,188,49,19,174,Partite
2020-2021,32,Juventus,it ITA,1. Serie A,4°,24.2,1466,1788,"82,0",26948,7280,621,685,"90,7",661,743,"89,0",168,290,"57,9",10,8.2,5.8,+1.8,60,94,35,8,132,Partite
2021-2022,33,Juventus,it ITA,1. Serie A,4°,27.6,1585,1877,"84,4",29961,8619,683,741,"92,2",669,757,"88,4",216,324,"66,7",3,5.1,6.3,-2.1,59,115,50,13,169,Partite
2022-2023,34,Juventus,it ITA,1. Serie A,7°,23.1,1113,1323,"84,1",21481,5507,468,520,"90,0",460,526,"87,5",170,231,"73,6",3,2.7,2.3,+0.3,42,62,24,10,92,Partite
2023-2024,35,Inter,it ITA,1. Serie A,1°,1.7,89,107,"83,2",1622,381,42,44,"95,5",31,41,"75,6",12,17,"70,6",2,1.3,0.7,+0.7,6,5,4,2,6,Partite
15 stagioni,6 club,,2 campionati,,298.6,7680,9070,"84,7",138936,38896,3464,3765,"92,0",3139,3550,"88,4",920,1376,"66,9",58,26.5,23.2,+31.5,280,558,230,84,719,
,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite
Juventus (8 stagioni),,1 campionato,,175.4,7591,8963,"84,7",137314,38515,3422,3721,"92,0",3108,3509,"88,6",908,1359,"66,8",38,25.2,22.5,+12.8,274,553,226,82,713,
Fiorentina (3 stagioni),,1 campionato,,78.8,,,,,,,,,,,,,,,17,,,,,,,,,
Udinese (2 stagioni),,1 campionato,,8.9,,,,,,,,,,,,,,,0,,,,,,,,,
Chelsea (2 stagioni),,1 campionato,,3.8,,,,,,,,,,,,,,,0,,,,,,,,,
Lecce (1 stagione),,1 campionato,,30.0,,,,,,,,,,,,,,,1,,,,,,,,,
Inter (1 stagione),,1 campionato,,1.7,89,107,"83,2",1622,381,42,44,"95,5",31,41,"75,6",12,17,"70,6",2,1.3,0.7,+0.7,6,5,4,2,6,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serie A (15 stagioni),,,,294.8,7680,9070,"84,7",138936,38896,3464,3765,"92,0",3139,3550,"88,4",920,1376,"66,9",58,26.5,23.2,+31.5,280,558,230,84,719,
Premier League (2 stagioni),,,,3.8,,,,,,,,,,,,,,,0,,,,,,,,,
