,Contrasti,Sfide,Blocchi,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,2014-2015,2015-2016,2015-2016,2016-2017,2017-2018,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2021-2022,2022-2023,2022-2023,2022-2023,2023-2024,10 stagioni,,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,Oostende (2 stagioni),Club Brugge (2 stagioni),Celtic (2 stagioni),Partick Thistle (2 stagioni),Wigan Athletic (2 stagioni),Dundee (1 stagione),Al-Ettifaq (1 stagione),MK Dons (1 stagione),Shrewsbury (1 stagione),Cremonese (1 stagione),Melb City (1 stagione),Club NXT (1 stagione),,Premiership (4 stagioni),First Division A (3 stagioni),League One (2 stagioni),Pro League (1 stagione),Serie A (1 stagione),A-League (1 stagione),Pro League B (1 stagione),Championship (1 stagione)
,Contrasti,Sfide,Blocchi,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
2014-2015,19,Partick Thistle,sct SCO,1. Premiership,8°,1.0,,,,,,,,,,,,,,,,,Partite
2015-2016,20,Partick Thistle,sct SCO,1. Premiership,9°,2.2,,,,,,,,,,,,,,,,,Partite
2015-2016,20,Shrewsbury,eng ENG,3. League One,20°,4.5,,,,,,,,,,,,,,,,,Partite
2016-2017,21,MK Dons,eng ENG,3. League One,12°,6.2,,0,,,,,,,,,,,0,,,,Partite
2017-2018,22,Dundee,sct SCO,1. Premiership,9°,22.8,,,,,,,,,,,,,,,,,Partite
2017-2018,22,Celtic,sct SCO,1. Premiership,1°,7.7,,,,,,,,,,,,,,,,,Partite
2018-2019,23,Celtic,sct SCO,1. Premiership,1°,3.4,,,,,,,,,,,,,,,,,Partite
2019-2020,24,Melb City,au AUS,1. A-League,2°,2.0,,1,,,,,,,,,,,3,,,,Partite
2020-2021,25,Oostende,be BEL,1. First Division A,6°,26.0,28,20,21,6,1,8,11,"72,7",3,41,27,14,17,45,121,0,Partite
2021-2022,26,Oostende,be BEL,1. First Division A,13°,6.0,8,3,8,0,0,3,5,"60,0",2,12,8,4,7,15,25,0,Partite
2021-2022,26,Club Brugge,be BEL,1. First Division A,2°,16.8,19,12,10,9,0,4,7,"57,1",3,16,10,6,23,42,44,0,Partite
2022-2023,27,Club Brugge,be BEL,1. Pro League A,4°,4.3,6,3,4,2,0,4,6,"66,7",2,5,4,1,5,11,11,0,Partite
2022-2023,27,Cremonese,it ITA,1. Serie A,19°,2.4,0,0,0,0,0,0,1,"0,0",1,2,1,1,1,1,7,0,Partite
2022-2023,27,Club NXT,be BEL,2. Pro League B,3°,1.3,,,,,,,,,,,,,,,,,Partite
2023-2024,28,Al-Ettifaq,sa KSA,1. Pro League,6°,22.0,,6,,,,,,,,,,,16,,,,Partite
10 stagioni,12 club,,8 campionati,,128.6,61,45,43,17,1,19,30,"63,3",11,76,50,26,72,114,208,0,
,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
Oostende (2 stagioni),,1 campionato,,32.0,36,23,29,6,1,11,16,"68,8",5,53,35,18,24,60,146,0,
Club Brugge (2 stagioni),,1 campionato,,21.1,25,15,14,11,0,8,13,"61,5",5,21,14,7,28,53,55,0,
Celtic (2 stagioni),,1 campionato,,11.1,,,,,,,,,,,,,,0,,,
Partick Thistle (2 stagioni),,1 campionato,,3.2,,,,,,,,,,,,,,0,,,
Wigan Athletic (2 stagioni),,2 campionati,,,,,,,,,,,,,,,,0,,,
Dundee (1 stagione),,1 campionato,,22.8,,,,,,,,,,,,,,0,,,
Al-Ettifaq (1 stagione),,1 campionato,,22.0,,6,,,,,,,,,,,16,0,,,
MK Dons (1 stagione),,1 campionato,,6.2,,0,,,,,,,,,,,0,0,,,
Shrewsbury (1 stagione),,1 campionato,,4.5,,,,,,,,,,,,,,0,,,
Cremonese (1 stagione),,1 campionato,,2.4,0,0,0,0,0,0,1,"0,0",1,2,1,1,1,1,7,0,
Melb City (1 stagione),,1 campionato,,2.0,,1,,,,,,,,,,,3,0,,,
Club NXT (1 stagione),,1 campionato,,1.3,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,
Premiership (4 stagioni),,,,37.1,,,,,,,,,,,,,,0,,,
First Division A (3 stagioni),,,,53.0,61,38,43,17,1,19,29,"65,5",10,74,49,25,52,113,201,0,
League One (2 stagioni),,,,10.7,,0,,,,,,,,,,,0,0,,,
Pro League (1 stagione),,,,22.0,,6,,,,,,,,,,,16,0,,,
Serie A (1 stagione),,,,2.4,0,0,0,0,0,0,1,"0,0",1,2,1,1,1,1,7,0,
A-League (1 stagione),,,,2.0,,1,,,,,,,,,,,3,0,,,
Pro League B (1 stagione),,,,1.3,,,,,,,,,,,,,,0,,,
Championship (1 stagione),,,,,,,,,,,,,,,,,,0,,,
