,Totali,Brevi,Medi,Lunghi,,Prestazione prevista,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite,2014-2015,2015-2016,2015-2016,2016-2017,2017-2018,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2021-2022,2022-2023,2022-2023,2022-2023,2023-2024,10 stagioni,,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite,Oostende (2 stagioni),Club Brugge (2 stagioni),Celtic (2 stagioni),Partick Thistle (2 stagioni),Wigan Athletic (2 stagioni),Dundee (1 stagione),Al-Ettifaq (1 stagione),MK Dons (1 stagione),Shrewsbury (1 stagione),Cremonese (1 stagione),Melb City (1 stagione),Club NXT (1 stagione),,Premiership (4 stagioni),First Division A (3 stagioni),League One (2 stagioni),Pro League (1 stagione),Serie A (1 stagione),A-League (1 stagione),Pro League B (1 stagione),Championship (1 stagione)
,Totali,Brevi,Medi,Lunghi,,Prestazione prevista,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite
2014-2015,19,Partick Thistle,sct SCO,1. Premiership,8°,1.0,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2015-2016,20,Partick Thistle,sct SCO,1. Premiership,9°,2.2,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2015-2016,20,Shrewsbury,eng ENG,3. League One,20°,4.5,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2016-2017,21,MK Dons,eng ENG,3. League One,12°,6.2,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2017-2018,22,Dundee,sct SCO,1. Premiership,9°,22.8,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2017-2018,22,Celtic,sct SCO,1. Premiership,1°,7.7,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2018-2019,23,Celtic,sct SCO,1. Premiership,1°,3.4,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2019-2020,24,Melb City,au AUS,1. A-League,2°,2.0,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2020-2021,25,Oostende,be BEL,1. First Division A,6°,26.0,897,1054,"85,1",19562,7413,195,237,"82,3",537,593,"90,6",149,197,"75,6",1,0.2,0.4,+0.8,5,39,3,0,64,Partite
2021-2022,26,Oostende,be BEL,1. First Division A,13°,6.0,197,240,"82,1",4432,2059,41,49,"83,7",123,143,"86,0",32,45,"71,1",0,0.1,0.1,-0.1,1,15,0,0,24,Partite
2021-2022,26,Club Brugge,be BEL,1. First Division A,2°,16.8,897,1018,"88,1",17763,7149,268,300,"89,3",531,569,"93,3",92,137,"67,2",0,0.1,0.2,-0.1,3,53,0,0,66,Partite
2022-2023,27,Club Brugge,be BEL,1. Pro League A,4°,4.3,169,199,"84,9",3454,1338,49,54,"90,7",97,111,"87,4",20,28,"71,4",1,0.1,0.0,+0.9,1,7,0,0,9,Partite
2022-2023,27,Cremonese,it ITA,1. Serie A,19°,2.4,118,137,"86,1",2402,1087,40,44,"90,9",58,67,"86,6",17,22,"77,3",0,0.0,0.0,0.0,1,12,1,0,9,Partite
2022-2023,27,Club NXT,be BEL,2. Pro League B,3°,1.3,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2023-2024,28,Al-Ettifaq,sa KSA,1. Pro League,6°,22.0,,,,,,,,,,,,,,,0,,,,,,,,,Partite
10 stagioni,12 club,,8 campionati,,128.6,2278,2648,"86,0",47613,19046,593,684,"86,7",1346,1483,"90,8",310,429,"72,3",2,0.5,0.7,+1.5,11,126,4,0,172,
,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite
Oostende (2 stagioni),,1 campionato,,32.0,1094,1294,"84,5",23994,9472,236,286,"82,5",660,736,"89,7",181,242,"74,8",1,0.3,0.5,+0.7,6,54,3,0,88,
Club Brugge (2 stagioni),,1 campionato,,21.1,1066,1217,"87,6",21217,8487,317,354,"89,5",628,680,"92,4",112,165,"67,9",1,0.2,0.2,+0.8,4,60,0,0,75,
Celtic (2 stagioni),,1 campionato,,11.1,,,,,,,,,,,,,,,0,,,,,,,,,
Partick Thistle (2 stagioni),,1 campionato,,3.2,,,,,,,,,,,,,,,0,,,,,,,,,
Wigan Athletic (2 stagioni),,2 campionati,,,,,,,,,,,,,,,,,,,,,,,,,,
Dundee (1 stagione),,1 campionato,,22.8,,,,,,,,,,,,,,,0,,,,,,,,,
Al-Ettifaq (1 stagione),,1 campionato,,22.0,,,,,,,,,,,,,,,0,,,,,,,,,
MK Dons (1 stagione),,1 campionato,,6.2,,,,,,,,,,,,,,,0,,,,,,,,,
Shrewsbury (1 stagione),,1 campionato,,4.5,,,,,,,,,,,,,,,0,,,,,,,,,
Cremonese (1 stagione),,1 campionato,,2.4,118,137,"86,1",2402,1087,40,44,"90,9",58,67,"86,6",17,22,"77,3",0,0.0,0.0,0.0,1,12,1,0,9,
Melb City (1 stagione),,1 campionato,,2.0,,,,,,,,,,,,,,,0,,,,,,,,,
Club NXT (1 stagione),,1 campionato,,1.3,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Premiership (4 stagioni),,,,37.1,,,,,,,,,,,,,,,0,,,,,,,,,
First Division A (3 stagioni),,,,53.0,2160,2511,"86,0",45211,17959,553,640,"86,4",1288,1416,"91,0",293,407,"72,0",2,0.5,0.7,+1.5,10,114,3,0,163,
League One (2 stagioni),,,,10.7,,,,,,,,,,,,,,,0,,,,,,,,,
Pro League (1 stagione),,,,22.0,,,,,,,,,,,,,,,0,,,,,,,,,
Serie A (1 stagione),,,,2.4,118,137,"86,1",2402,1087,40,44,"90,9",58,67,"86,6",17,22,"77,3",0,0.0,0.0,0.0,1,12,1,0,9,
A-League (1 stagione),,,,2.0,,,,,,,,,,,,,,,0,,,,,,,,,
Pro League B (1 stagione),,,,1.3,,,,,,,,,,,,,,,0,,,,,,,,,
Championship (1 stagione),,,,,,,,,,,,,,,,,,,,,,,,,,,,
