,Contrasti,Sfide,Blocchi,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,13 stagioni,,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,Inter (5 stagioni),Roma (5 stagioni),Napoli (3 stagioni)
,Contrasti,Sfide,Blocchi,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
2011-2012,20,Inter,it ITA,1. Serie A,6°,0.0,,,,,,,,,,,,,,,,,Partite
2012-2013,21,Inter,it ITA,1. Serie A,9°,30.0,,,,,,,,,,,,,,,,,Partite
2013-2014,22,Inter,it ITA,1. Serie A,5°,26.1,,,,,,,,,,,,,,,,,Partite
2014-2015,23,Inter,it ITA,1. Serie A,8°,31.6,,,,,,,,,,,,,,,,,Partite
2015-2016,24,Inter,it ITA,1. Serie A,4°,15.7,,,,,,,,,,,,,,,,,Partite
2016-2017,25,Roma,it ITA,1. Serie A,2°,13.3,,25,,,,,,,,,,,30,,,,Partite
2017-2018,26,Roma,it ITA,1. Serie A,3°,18.4,42,30,25,15,2,18,34,"52,9",16,18,9,9,39,81,63,0,Partite
2018-2019,27,Roma,it ITA,1. Serie A,6°,15.6,37,29,30,5,2,17,30,"56,7",13,20,12,8,16,53,41,0,Partite
2019-2020,28,Roma,it ITA,1. Serie A,5°,1.5,2,1,2,0,0,0,3,"0,0",3,1,0,1,1,3,7,0,Partite
2020-2021,29,Roma,it ITA,1. Serie A,7°,1.7,3,1,2,1,0,2,4,"50,0",2,1,0,1,2,5,5,0,Partite
2021-2022,30,Napoli,it ITA,1. Serie A,3°,14.2,25,17,14,11,0,12,18,"66,7",6,21,16,5,9,34,34,0,Partite
2022-2023,31,Napoli,it ITA,1. Serie A,1°,10.4,16,11,9,6,1,9,12,"75,0",3,18,11,7,10,26,29,0,Partite
2023-2024,32,Napoli,it ITA,1. Serie A,9°,14.5,24,11,18,5,1,13,18,"72,2",5,13,6,7,10,34,49,0,Partite
13 stagioni,3 club,,1 campionato,,193.1,149,125,100,43,6,71,119,"59,7",48,92,54,38,117,236,228,0,
,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
Inter (5 stagioni),,1 campionato,,103.4,,,,,,,,,,,,,,0,,,
Roma (5 stagioni),,1 campionato,,50.6,84,86,59,21,4,37,71,"52,1",34,40,21,19,88,142,116,0,
Napoli (3 stagioni),,1 campionato,,39.1,65,39,41,22,2,34,48,"70,8",14,52,33,19,29,94,112,0,
