,Totali,Brevi,Medi,Lunghi,,Prestazione prevista,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,13 stagioni,,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite,Inter (5 stagioni),Roma (5 stagioni),Napoli (3 stagioni)
,Totali,Brevi,Medi,Lunghi,,Prestazione prevista,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite
2011-2012,20,Inter,it ITA,1. Serie A,6°,0.0,,,,,,,,,,,,,,,,,,,,,,,,Partite
2012-2013,21,Inter,it ITA,1. Serie A,9°,30.0,,,,,,,,,,,,,,,1,,,,,,,,,Partite
2013-2014,22,Inter,it ITA,1. Serie A,5°,26.1,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2014-2015,23,Inter,it ITA,1. Serie A,8°,31.6,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2015-2016,24,Inter,it ITA,1. Serie A,4°,15.7,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2016-2017,25,Roma,it ITA,1. Serie A,2°,13.3,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2017-2018,26,Roma,it ITA,1. Serie A,3°,18.4,1037,1196,"86,7",19349,7557,403,423,"95,3",501,547,"91,6",116,187,"62,0",0,0.2,0.3,-0.2,3,60,5,1,73,Partite
2018-2019,27,Roma,it ITA,1. Serie A,6°,15.6,770,842,"91,4",14654,5157,275,288,"95,5",392,407,"96,3",90,124,"72,6",0,0.0,0.2,0.0,1,30,2,1,44,Partite
2019-2020,28,Roma,it ITA,1. Serie A,5°,1.5,66,73,"90,4",1251,543,22,24,"91,7",35,38,"92,1",8,10,"80,0",0,0.0,0.0,0.0,0,0,0,0,3,Partite
2020-2021,29,Roma,it ITA,1. Serie A,7°,1.7,122,133,"91,7",2356,963,37,39,"94,9",72,75,"96,0",11,14,"78,6",0,0.0,0.0,0.0,0,3,0,0,5,Partite
2021-2022,30,Napoli,it ITA,1. Serie A,3°,14.2,740,838,"88,3",12013,4533,354,380,"93,2",319,345,"92,5",47,75,"62,7",0,0.3,0.1,-0.3,4,33,2,0,36,Partite
2022-2023,31,Napoli,it ITA,1. Serie A,1°,10.4,669,742,"90,2",12151,4256,252,265,"95,1",356,387,"92,0",50,67,"74,6",0,0.1,0.3,-0.1,2,45,1,0,55,Partite
2023-2024,32,Napoli,it ITA,1. Serie A,9°,14.5,999,1104,"90,5",18916,6052,326,351,"92,9",563,600,"93,8",96,130,"73,8",0,0.2,0.6,-0.2,3,47,0,0,47,Partite
13 stagioni,3 club,,1 campionato,,193.1,4403,4928,"89,3",80690,29061,1669,1770,"94,3",2238,2399,"93,3",418,607,"68,9",1,0.7,1.5,+0.3,13,218,10,2,263,
,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite
Inter (5 stagioni),,1 campionato,,103.4,,,,,,,,,,,,,,,1,,,,,,,,,
Roma (5 stagioni),,1 campionato,,50.6,1995,2244,"88,9",37610,14220,737,774,"95,2",1000,1067,"93,7",225,335,"67,2",0,0.2,0.5,-0.2,4,93,7,2,125,
Napoli (3 stagioni),,1 campionato,,39.1,2408,2684,"89,7",43080,14841,932,996,"93,6",1238,1332,"92,9",193,272,"71,0",0,0.5,1.0,-0.5,9,125,3,0,138,
