,SCA,Tipologie di SCA,GCA,Tipologie di GCA,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2021-2022,2022-2023,2023-2024,2023-2024,9 stagioni,,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite,Tondela (6 stagioni),Atlético (3 stagioni),Kasımpaşa (1 stagione),Atlas (1 stagione),,Primeira Liga (6 stagioni),Liga MX (3 stagioni),Süper Lig (1 stagione)
,SCA,Tipologie di SCA,GCA,Tipologie di GCA,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite
2015-2016,19,Tondela,pt POR,1. Primeira Liga,16°,15.0,,,,,,,,,,,,,,,,,Partite
2016-2017,20,Tondela,pt POR,1. Primeira Liga,16°,27.2,,,,,,,,,,,,,,,,,Partite
2017-2018,21,Kasımpaşa,tr TUR,1. Süper Lig,8°,16.3,,,,,,,,,,,,,,,,,Partite
2018-2019,22,Tondela,pt POR,1. Primeira Liga,15°,20.4,56,"2,74",41,0,6,2,6,1,8,"0,39",5,0,1,0,2,0,Partite
2019-2020,23,Tondela,pt POR,1. Primeira Liga,14°,25.5,48,"1,88",31,3,1,1,10,2,7,"0,27",0,1,1,1,2,2,Partite
2020-2021,24,Tondela,pt POR,1. Primeira Liga,12°,21.6,46,"2,13",33,0,4,4,5,0,6,"0,28",5,0,0,1,0,0,Partite
2021-2022,25,Tondela,pt POR,1. Primeira Liga,17°,11.9,22,"1,84",16,0,2,0,4,0,5,"0,42",3,0,0,0,2,0,Partite
2021-2022,25,Atlético,mx MEX,1. Liga MX,12°,12.2,28,"2,29",25,0,3,0,0,0,2,"0,16",2,0,0,0,0,0,Partite
2022-2023,26,Atlético,mx MEX,1. Liga MX,11°,25.6,47,"1,84",37,0,2,3,5,0,2,"0,08",2,0,0,0,0,0,Partite
2023-2024,27,Atlético,mx MEX,1. Liga MX,9°,14.6,45,"3,07",32,1,3,5,4,0,8,"0,55",4,0,0,0,4,0,Partite
2023-2024,27,Atlas,mx MEX,1. Liga MX,16°,5.2,20,"3,87",18,0,1,1,0,0,0,"0,00",0,0,0,0,0,0,Partite
9 stagioni,4 club,,3 campionati,,195.7,312,"2,27",233,4,22,16,34,3,38,"0,28",21,1,2,2,10,2,
,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite
Tondela (6 stagioni),,1 campionato,,121.7,172,"2,16",121,3,13,7,25,3,26,"0,33",13,1,2,2,6,2,
Atlético (3 stagioni),,1 campionato,,52.5,120,"2,29",94,1,8,8,9,0,12,"0,23",8,0,0,0,4,0,
Kasımpaşa (1 stagione),,1 campionato,,16.3,,,,,,,,,,,,,,,,,
Atlas (1 stagione),,1 campionato,,5.2,20,"3,87",18,0,1,1,0,0,0,"0,00",0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,
Primeira Liga (6 stagioni),,,,121.7,172,"2,16",121,3,13,7,25,3,26,"0,33",13,1,2,2,6,2,
Liga MX (3 stagioni),,,,57.7,140,"2,43",112,1,9,9,9,0,12,"0,21",8,0,0,0,4,0,
Süper Lig (1 stagione),,,,16.3,,,,,,,,,,,,,,,,,
