,Totali,Brevi,Medi,Lunghi,,Prestazione prevista,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,10 stagioni,,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite,Atalanta (7 stagioni),Metz (2 stagioni),Ludogorets (1 stagione),,Serie A (7 stagioni),Ligue 2 (1 stagione),First League (1 stagione),Ligue 1 (1 stagione)
,Totali,Brevi,Medi,Lunghi,,Prestazione prevista,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite
2014-2015,24,Metz,fr FRA,1. Ligue 1,19°,21.4,,,,,,,,,,,,,,,1,,,,,,,,,Partite
2015-2016,25,Metz,fr FRA,2. Ligue 2,3°,26.5,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2016-2017,26,Ludogorets,bg BUL,1. First League,1°,26.9,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2017-2018,27,Atalanta,it ITA,1. Serie A,7°,22.0,955,1150,"83,0",17935,6648,333,377,"88,3",517,587,"88,1",91,150,"60,7",0,0.4,0.4,-0.4,2,57,5,3,80,Partite
2018-2019,28,Atalanta,it ITA,1. Serie A,3°,25.1,1168,1331,"87,8",22022,6805,407,445,"91,5",612,680,"90,0",125,160,"78,1",1,0.5,0.5,+0.5,6,44,4,2,63,Partite
2019-2020,29,Atalanta,it ITA,1. Serie A,3°,27.6,1162,1384,"84,0",21602,7273,411,462,"89,0",594,652,"91,1",126,200,"63,0",1,1.4,1.2,-0.4,6,60,6,3,77,Partite
2020-2021,30,Atalanta,it ITA,1. Serie A,3°,27.0,1273,1554,"81,9",23856,8941,462,523,"88,3",655,739,"88,6",134,242,"55,4",2,0.8,0.6,+1.2,9,93,2,0,136,Partite
2021-2022,31,Atalanta,it ITA,1. Serie A,8°,29.7,1349,1663,"81,1",26093,9737,469,539,"87,0",700,802,"87,3",160,265,"60,4",0,0.4,0.6,-0.4,5,89,7,2,113,Partite
2022-2023,32,Atalanta,it ITA,1. Serie A,5°,8.4,428,518,"82,6",7998,2928,169,191,"88,5",214,242,"88,4",44,70,"62,9",0,0.3,0.3,-0.3,2,26,4,2,29,Partite
2023-2024,33,Atalanta,it ITA,1. Serie A,6°,0.3,25,32,"78,1",513,194,8,10,"80,0",12,14,"85,7",4,7,"57,1",0,0.0,0.0,0.0,0,2,0,0,2,Partite
10 stagioni,3 club,,4 campionati,,214.8,6360,7632,"83,3",120019,42526,2259,2547,"88,7",3304,3716,"88,9",684,1094,"62,5",5,3.7,3.6,+1.3,30,371,28,12,500,
,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite
Atalanta (7 stagioni),,1 campionato,,140.1,6360,7632,"83,3",120019,42526,2259,2547,"88,7",3304,3716,"88,9",684,1094,"62,5",4,3.7,3.6,+0.3,30,371,28,12,500,
Metz (2 stagioni),,2 campionati,,47.9,,,,,,,,,,,,,,,1,,,,,,,,,
Ludogorets (1 stagione),,1 campionato,,26.9,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serie A (7 stagioni),,,,140.1,6360,7632,"83,3",120019,42526,2259,2547,"88,7",3304,3716,"88,9",684,1094,"62,5",4,3.7,3.6,+0.3,30,371,28,12,500,
Ligue 2 (1 stagione),,,,26.5,,,,,,,,,,,,,,,0,,,,,,,,,
First League (1 stagione),,,,26.9,,,,,,,,,,,,,,,0,,,,,,,,,
Ligue 1 (1 stagione),,,,21.4,,,,,,,,,,,,,,,1,,,,,,,,,
