,Contrasti,Sfide,Blocchi,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,2014-2015,2015-2016,2016-2017,2017-2018,2017-2018,2018-2019,2019-2020,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,10 stagioni,,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,Puebla (3 stagioni),Cruz Azul (3 stagioni),FC Juárez (2 stagioni),Atlas (2 stagioni),Sinaloa (1 stagione),Tijuana (1 stagione)
,Contrasti,Sfide,Blocchi,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
2014-2015,20,Tijuana,mx MEX,1. Liga MX,12°,0.6,,,,,,,,,,,,,,,,,Partite
2015-2016,21,Sinaloa,mx MEX,1. Liga MX,18°,12.4,,,,,,,,,,,,,,,,,Partite
2016-2017,22,Atlas,mx MEX,1. Liga MX,10°,23.6,,0,,,,,,,,,,,0,,,,Partite
2017-2018,23,Atlas,mx MEX,1. Liga MX,11°,10.8,,0,,,,,,,,,,,0,,,,Partite
2017-2018,23,Cruz Azul,mx MEX,1. Liga MX,6°,7.2,,0,,,,,,,,,,,0,,,,Partite
2018-2019,24,Cruz Azul,mx MEX,1. Liga MX,2°,15.3,40,31,19,18,3,7,18,"38,9",11,9,3,6,24,64,11,1,Partite
2019-2020,25,Cruz Azul,mx MEX,1. Liga MX,5°,3.0,3,2,1,2,0,1,1,"100,0",0,3,2,1,1,4,4,0,Partite
2019-2020,25,Puebla,mx MEX,1. Liga MX,16°,9.0,12,8,4,8,0,2,8,"25,0",6,5,2,3,7,19,11,0,Partite
2020-2021,26,Puebla,mx MEX,1. Liga MX,9°,30.0,35,21,16,16,3,13,30,"43,3",17,24,10,14,26,61,23,0,Partite
2021-2022,27,Puebla,mx MEX,1. Liga MX,5°,25.9,34,19,10,24,0,10,28,"35,7",18,20,6,14,16,50,24,0,Partite
2022-2023,28,FC Juárez,mx MEX,1. Liga MX,13°,22.5,23,14,9,13,1,12,31,"38,7",19,16,8,8,16,39,28,0,Partite
2023-2024,29,FC Juárez,mx MEX,1. Liga MX,18°,19.0,28,18,13,14,1,14,28,"50,0",14,14,9,5,17,45,29,0,Partite
10 stagioni,6 club,,1 campionato,,179.5,175,113,72,95,8,59,144,"41,0",85,91,40,51,107,282,130,1,
,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
Puebla (3 stagioni),,1 campionato,,64.9,81,48,30,48,3,25,66,"37,9",41,49,18,31,49,130,58,0,
Cruz Azul (3 stagioni),,1 campionato,,25.6,43,33,20,20,3,8,19,"42,1",11,12,5,7,25,68,15,1,
FC Juárez (2 stagioni),,1 campionato,,41.6,51,32,22,27,2,26,59,"44,1",33,30,17,13,33,84,57,0,
Atlas (2 stagioni),,1 campionato,,34.4,,0,,,,,,,,,,,0,0,,,
Sinaloa (1 stagione),,1 campionato,,12.4,,,,,,,,,,,,,,0,,,
Tijuana (1 stagione),,1 campionato,,0.6,,,,,,,,,,,,,,0,,,
