,SCA,Tipologie di SCA,GCA,Tipologie di GCA,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite,2014-2015,2015-2016,2016-2017,2017-2018,2017-2018,2018-2019,2019-2020,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,10 stagioni,,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite,Puebla (3 stagioni),Cruz Azul (3 stagioni),FC Juárez (2 stagioni),Atlas (2 stagioni),Sinaloa (1 stagione),Tijuana (1 stagione)
,SCA,Tipologie di SCA,GCA,Tipologie di GCA,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite
2014-2015,20,Tijuana,mx MEX,1. Liga MX,12°,0.6,,,,,,,,,,,,,,,,,Partite
2015-2016,21,Sinaloa,mx MEX,1. Liga MX,18°,12.4,,,,,,,,,,,,,,,,,Partite
2016-2017,22,Atlas,mx MEX,1. Liga MX,10°,23.6,,,,,,,,,,,,,,,,,Partite
2017-2018,23,Atlas,mx MEX,1. Liga MX,11°,10.8,,,,,,,,,,,,,,,,,Partite
2017-2018,23,Cruz Azul,mx MEX,1. Liga MX,6°,7.2,,,,,,,,,,,,,,,,,Partite
2018-2019,24,Cruz Azul,mx MEX,1. Liga MX,2°,15.3,19,"1,24",13,0,3,1,0,2,2,"0,13",2,0,0,0,0,0,Partite
2019-2020,25,Cruz Azul,mx MEX,1. Liga MX,5°,3.0,3,"0,99",3,0,0,0,0,0,0,"0,00",0,0,0,0,0,0,Partite
2019-2020,25,Puebla,mx MEX,1. Liga MX,16°,9.0,6,"0,67",6,0,0,0,0,0,0,"0,00",0,0,0,0,0,0,Partite
2020-2021,26,Puebla,mx MEX,1. Liga MX,9°,30.0,42,"1,40",36,3,0,2,1,0,3,"0,10",2,0,0,0,1,0,Partite
2021-2022,27,Puebla,mx MEX,1. Liga MX,5°,25.9,37,"1,43",32,1,1,0,1,2,6,"0,23",4,0,0,0,1,1,Partite
2022-2023,28,FC Juárez,mx MEX,1. Liga MX,13°,22.5,29,"1,29",28,0,0,1,0,0,2,"0,09",2,0,0,0,0,0,Partite
2023-2024,29,FC Juárez,mx MEX,1. Liga MX,18°,19.0,22,"1,16",17,1,0,2,0,2,0,"0,00",0,0,0,0,0,0,Partite
10 stagioni,6 club,,1 campionato,,179.5,158,"1,27",135,5,4,6,2,6,13,"0,10",10,0,0,0,2,1,
,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite
Puebla (3 stagioni),,1 campionato,,64.9,85,"1,31",74,4,1,2,2,2,9,"0,14",6,0,0,0,2,1,
Cruz Azul (3 stagioni),,1 campionato,,25.6,22,"1,20",16,0,3,1,0,2,2,"0,11",2,0,0,0,0,0,
FC Juárez (2 stagioni),,1 campionato,,41.6,51,"1,23",45,1,0,3,0,2,2,"0,05",2,0,0,0,0,0,
Atlas (2 stagioni),,1 campionato,,34.4,,,,,,,,,,,,,,,,,
Sinaloa (1 stagione),,1 campionato,,12.4,,,,,,,,,,,,,,,,,
Tijuana (1 stagione),,1 campionato,,0.6,,,,,,,,,,,,,,,,,
