,Totali,Brevi,Medi,Lunghi,,Prestazione prevista,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite,2014-2015,2015-2016,2016-2017,2017-2018,2017-2018,2018-2019,2019-2020,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,10 stagioni,,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite,Puebla (3 stagioni),Cruz Azul (3 stagioni),FC Juárez (2 stagioni),Atlas (2 stagioni),Sinaloa (1 stagione),Tijuana (1 stagione)
,Totali,Brevi,Medi,Lunghi,,Prestazione prevista,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite
2014-2015,20,Tijuana,mx MEX,1. Liga MX,12°,0.6,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2015-2016,21,Sinaloa,mx MEX,1. Liga MX,18°,12.4,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2016-2017,22,Atlas,mx MEX,1. Liga MX,10°,23.6,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2017-2018,23,Atlas,mx MEX,1. Liga MX,11°,10.8,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2017-2018,23,Cruz Azul,mx MEX,1. Liga MX,6°,7.2,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2018-2019,24,Cruz Azul,mx MEX,1. Liga MX,2°,15.3,458,561,"81,6",8077,2351,214,244,"87,7",180,210,"85,7",55,87,"63,2",1,0.7,0.2,+0.3,8,50,1,0,58,Partite
2019-2020,25,Cruz Azul,mx MEX,1. Liga MX,5°,3.0,97,114,"85,1",1942,613,31,35,"88,6",50,56,"89,3",14,17,"82,4",0,0.1,0.1,-0.1,2,12,1,0,11,Partite
2019-2020,25,Puebla,mx MEX,1. Liga MX,16°,9.0,335,393,"85,2",6235,2133,139,158,"88,0",135,148,"91,2",50,67,"74,6",0,0.1,0.2,-0.1,2,28,5,1,35,Partite
2020-2021,26,Puebla,mx MEX,1. Liga MX,9°,30.0,1176,1348,"87,2",22574,5677,469,512,"91,6",509,556,"91,5",174,227,"76,7",2,0.7,1.0,+1.3,17,106,9,3,111,Partite
2021-2022,27,Puebla,mx MEX,1. Liga MX,5°,25.9,866,1024,"84,6",15672,4512,386,428,"90,2",371,411,"90,3",92,149,"61,7",1,1.2,1.3,-0.2,17,83,7,3,104,Partite
2022-2023,28,FC Juárez,mx MEX,1. Liga MX,13°,22.5,840,975,"86,2",15260,3782,339,377,"89,9",387,429,"90,2",93,130,"71,5",0,0.4,0.7,-0.4,11,64,6,2,71,Partite
2023-2024,29,FC Juárez,mx MEX,1. Liga MX,18°,19.0,704,800,"88,0",12288,3659,306,338,"90,5",339,366,"92,6",49,73,"67,1",0,0.3,0.4,-0.3,9,52,3,1,47,Partite
10 stagioni,6 club,,1 campionato,,179.5,4476,5215,"85,8",82048,22727,1884,2092,"90,1",1971,2176,"90,6",527,750,"70,3",4,3.5,3.8,+0.5,66,395,32,10,437,
,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite
Puebla (3 stagioni),,1 campionato,,64.9,2377,2765,"86,0",44481,12322,994,1098,"90,5",1015,1115,"91,0",316,443,"71,3",3,2.0,2.5,+1.0,36,217,21,7,250,
Cruz Azul (3 stagioni),,1 campionato,,25.6,555,675,"82,2",10019,2964,245,279,"87,8",230,266,"86,5",69,104,"66,3",1,0.7,0.3,+0.3,10,62,2,0,69,
FC Juárez (2 stagioni),,1 campionato,,41.6,1544,1775,"87,0",27548,7441,645,715,"90,2",726,795,"91,3",142,203,"70,0",0,0.7,1.0,-0.7,20,116,9,3,118,
Atlas (2 stagioni),,1 campionato,,34.4,,,,,,,,,,,,,,,0,,,,,,,,,
Sinaloa (1 stagione),,1 campionato,,12.4,,,,,,,,,,,,,,,0,,,,,,,,,
Tijuana (1 stagione),,1 campionato,,0.6,,,,,,,,,,,,,,,0,,,,,,,,,
