,Tipologie di passaggi,Calci d'angolo,Risultati,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,2014-2015,2015-2016,2016-2017,2017-2018,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,10 stagioni,,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,Montpellier (5 stagioni),Niort (4 stagioni),Salernitana (2 stagioni),,Ligue 1 (5 stagioni),Ligue 2 (4 stagioni),Serie A (2 stagioni)
,Tipologie di passaggi,Calci d'angolo,Risultati,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
2014-2015,17,Niort,fr FRA,2. Ligue 2,11°,1.0,,,,,,,,,,,,,,,,Partite
2015-2016,18,Niort,fr FRA,2. Ligue 2,16°,21.4,,,,,,,,,,,,,,,,Partite
2016-2017,19,Niort,fr FRA,2. Ligue 2,10°,36.1,,,,,,,0,,,,,,,,,Partite
2017-2018,20,Niort,fr FRA,2. Ligue 2,15°,2.9,119,87,31,11,0,2,12,15,4,0,3,1,84,1,1,Partite
2017-2018,20,Montpellier,fr FRA,1. Ligue 1,10°,17.1,811,697,109,28,2,4,98,27,54,17,33,0,629,5,16,Partite
2018-2019,21,Montpellier,fr FRA,1. Ligue 1,6°,10.3,415,347,65,15,0,8,58,15,35,15,16,1,304,3,14,Partite
2019-2020,22,Montpellier,fr FRA,1. Ligue 1,8°,6.5,250,205,44,2,1,1,25,41,1,0,0,0,194,1,1,Partite
2020-2021,23,Montpellier,fr FRA,1. Ligue 1,8°,27.2,1322,1067,254,10,1,15,92,237,6,2,4,0,1021,1,24,Partite
2021-2022,24,Montpellier,fr FRA,1. Ligue 1,13°,17.0,725,573,151,9,0,5,50,140,2,0,1,0,551,1,7,Partite
2022-2023,25,Salernitana,it ITA,1. Serie A,15°,7.7,396,311,85,6,0,1,33,71,8,3,4,0,312,0,7,Partite
2023-2024,26,Salernitana,it ITA,1. Serie A,20°,5.0,233,200,32,2,0,0,12,30,0,0,0,0,179,1,7,Partite
10 stagioni,3 club,,3 campionati,,152.3,4271,3487,771,83,4,36,380,576,110,37,61,2,3274,13,77,
,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
Montpellier (5 stagioni),,1 campionato,,78.2,3523,2889,623,64,4,33,323,460,98,34,54,1,2699,11,62,
Niort (4 stagioni),,1 campionato,,61.3,119,87,31,11,0,2,12,15,4,0,3,1,84,1,1,
Salernitana (2 stagioni),,1 campionato,,12.8,629,511,117,8,0,1,45,101,8,3,4,0,491,1,14,
,,,,,,,,,,,,,,,,,,,,
Ligue 1 (5 stagioni),,,,78.2,3523,2889,623,64,4,33,323,460,98,34,54,1,2699,11,62,
Ligue 2 (4 stagioni),,,,61.3,119,87,31,11,0,2,12,15,4,0,3,1,84,1,1,
Serie A (2 stagioni),,,,12.8,629,511,117,8,0,1,45,101,8,3,4,0,491,1,14,
