,Contrasti,Sfide,Blocchi,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,2018-2019,2019-2020,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,6 stagioni,,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,Genoa (2 stagioni),UNAM (2 stagioni),Monterrey (2 stagioni),Cremonese (1 stagione),,Serie A (3 stagioni),Liga MX (3 stagioni)
,Contrasti,Sfide,Blocchi,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
2018-2019,19,Monterrey,mx MEX,1. Liga MX,4°,7.2,18,13,12,6,0,10,16,"62,5",6,11,4,7,17,35,37,1,Partite
2019-2020,20,Monterrey,mx MEX,1. Liga MX,14°,1.1,1,1,1,0,0,1,2,"50,0",1,2,1,1,4,5,1,0,Partite
2019-2020,20,UNAM,mx MEX,1. Liga MX,11°,10.0,13,8,10,3,0,7,16,"43,8",9,7,5,2,24,37,42,0,Partite
2020-2021,21,UNAM,mx MEX,1. Liga MX,7°,31.7,59,44,41,16,2,43,70,"61,4",27,28,12,16,87,146,121,1,Partite
2021-2022,22,Genoa,it ITA,1. Serie A,19°,25.3,79,46,44,32,3,48,75,"64,0",27,32,10,22,42,121,85,0,Partite
2022-2023,23,Cremonese,it ITA,1. Serie A,19°,20.1,41,26,34,7,0,18,39,"46,2",21,27,20,7,45,86,93,1,Partite
2023-2024,24,Genoa,it ITA,1. Serie A,12°,20.9,41,27,30,9,2,30,41,"73,2",11,35,16,19,30,71,72,0,Partite
6 stagioni,4 club,,2 campionati,,116.3,252,165,172,73,7,157,259,"60,6",102,142,68,74,249,501,451,3,
,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
Genoa (2 stagioni),,1 campionato,,46.2,120,73,74,41,5,78,116,"67,2",38,67,26,41,72,192,157,0,
UNAM (2 stagioni),,1 campionato,,41.7,72,52,51,19,2,50,86,"58,1",36,35,17,18,111,183,163,1,
Monterrey (2 stagioni),,1 campionato,,8.3,19,14,13,6,0,11,18,"61,1",7,13,5,8,21,40,38,1,
Cremonese (1 stagione),,1 campionato,,20.1,41,26,34,7,0,18,39,"46,2",21,27,20,7,45,86,93,1,
,,,,,,,,,,,,,,,,,,,,,
Serie A (3 stagioni),,,,66.3,161,99,108,48,5,96,155,"61,9",59,94,46,48,117,278,250,1,
Liga MX (3 stagioni),,,,50.0,91,66,64,25,2,61,104,"58,7",43,48,22,26,132,223,201,2,
