,Contrasti,Sfide,Blocchi,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,2004-2005,2005-2006,2006-2007,2007-2008,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,20 stagioni,,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,Sporting CP (6 stagioni),Wolves (5 stagioni),Monaco (5 stagioni),Porto (3 stagioni),Braga (1 stagione),,Primeira Liga (10 stagioni),Premier League (5 stagioni),Ligue 1 (5 stagioni)
,Contrasti,Sfide,Blocchi,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
2004-2005,17,Sporting CP,pt POR,1. Primeira Liga,3°,11.6,,,,,,,,,,,,,,,,,Partite
2005-2006,18,Sporting CP,pt POR,1. Primeira Liga,2°,32.9,,,,,,,,,,,,,,,,,Partite
2006-2007,19,Sporting CP,pt POR,1. Primeira Liga,2°,28.4,,,,,,,,,,,,,,,,,Partite
2007-2008,20,Sporting CP,pt POR,1. Primeira Liga,2°,29.8,,,,,,,,,,,,,,,,,Partite
2008-2009,21,Sporting CP,pt POR,1. Primeira Liga,2°,27.0,,,,,,,,,,,,,,,,,Partite
2009-2010,22,Sporting CP,pt POR,1. Primeira Liga,4°,28.0,,,,,,,,,,,,,,,,,Partite
2010-2011,23,Porto,pt POR,1. Primeira Liga,1°,24.2,,,,,,,,,,,,,,,,,Partite
2011-2012,24,Porto,pt POR,1. Primeira Liga,1°,26.2,,,,,,,,,,,,,,,,,Partite
2012-2013,25,Porto,pt POR,1. Primeira Liga,1°,26.4,,,,,,,,,,,,,,,,,Partite
2013-2014,26,Monaco,fr FRA,1. Ligue 1,2°,28.4,,,,,,,,,,,,,,,,,Partite
2014-2015,27,Monaco,fr FRA,1. Ligue 1,3°,35.2,,,,,,,,,,,,,,,,,Partite
2015-2016,28,Monaco,fr FRA,1. Ligue 1,3°,23.6,,,,,,,,,,,,,,,,,Partite
2016-2017,29,Monaco,fr FRA,1. Ligue 1,1°,19.8,,40,,,,,,,,,,,42,,,,Partite
2017-2018,30,Monaco,fr FRA,1. Ligue 1,2°,31.1,65,41,19,37,9,27,80,"33,8",53,52,12,40,36,101,54,0,Partite
2018-2019,31,Wolves,eng ENG,1. Premier League,7°,33.7,113,58,50,56,7,44,126,"34,9",82,56,11,45,40,153,50,0,Partite
2019-2020,32,Wolves,eng ENG,1. Premier League,7°,34.5,93,50,43,41,9,46,139,"33,1",93,43,13,30,50,143,18,1,Partite
2020-2021,33,Wolves,eng ENG,1. Premier League,13°,28.1,75,40,34,35,6,35,91,"38,5",56,18,3,15,47,122,28,0,Partite
2021-2022,34,Wolves,eng ENG,1. Premier League,10°,33.0,74,39,34,27,13,30,106,"28,3",76,48,8,40,34,108,36,2,Partite
2022-2023,35,Wolves,eng ENG,1. Premier League,13°,19.8,51,30,24,21,6,19,46,"41,3",27,22,6,16,18,69,20,0,Partite
2023-2024,36,Braga,pt POR,1. Primeira Liga,4°,13.6,32,16,9,22,1,16,36,"44,4",20,18,4,14,22,54,12,1,Partite
20 stagioni,5 club,,3 campionati,,535.2,503,314,213,239,51,217,624,"34,8",407,257,57,200,289,750,218,4,
,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
Sporting CP (6 stagioni),,1 campionato,,157.7,,,,,,,,,,,,,,0,,,
Wolves (5 stagioni),,1 campionato,,149.1,406,217,185,180,41,174,508,"34,3",334,187,41,146,189,595,152,3,
Monaco (5 stagioni),,1 campionato,,138.1,65,81,19,37,9,27,80,"33,8",53,52,12,40,78,101,54,0,
Porto (3 stagioni),,1 campionato,,76.8,,,,,,,,,,,,,,0,,,
Braga (1 stagione),,1 campionato,,13.6,32,16,9,22,1,16,36,"44,4",20,18,4,14,22,54,12,1,
,,,,,,,,,,,,,,,,,,,,,
Primeira Liga (10 stagioni),,,,248.1,32,16,9,22,1,16,36,"44,4",20,18,4,14,22,54,12,1,
Premier League (5 stagioni),,,,149.1,406,217,185,180,41,174,508,"34,3",334,187,41,146,189,595,152,3,
Ligue 1 (5 stagioni),,,,138.1,65,81,19,37,9,27,80,"33,8",53,52,12,40,78,101,54,0,
