,SCA,Tipologie di SCA,GCA,Tipologie di GCA,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite,2004-2005,2005-2006,2006-2007,2007-2008,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,20 stagioni,,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite,Sporting CP (6 stagioni),Wolves (5 stagioni),Monaco (5 stagioni),Porto (3 stagioni),Braga (1 stagione),,Primeira Liga (10 stagioni),Premier League (5 stagioni),Ligue 1 (5 stagioni)
,SCA,Tipologie di SCA,GCA,Tipologie di GCA,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite
2004-2005,17,Sporting CP,pt POR,1. Primeira Liga,3°,11.6,,,,,,,,,,,,,,,,,Partite
2005-2006,18,Sporting CP,pt POR,1. Primeira Liga,2°,32.9,,,,,,,,,,,,,,,,,Partite
2006-2007,19,Sporting CP,pt POR,1. Primeira Liga,2°,28.4,,,,,,,,,,,,,,,,,Partite
2007-2008,20,Sporting CP,pt POR,1. Primeira Liga,2°,29.8,,,,,,,,,,,,,,,,,Partite
2008-2009,21,Sporting CP,pt POR,1. Primeira Liga,2°,27.0,,,,,,,,,,,,,,,,,Partite
2009-2010,22,Sporting CP,pt POR,1. Primeira Liga,4°,28.0,,,,,,,,,,,,,,,,,Partite
2010-2011,23,Porto,pt POR,1. Primeira Liga,1°,24.2,,,,,,,,,,,,,,,,,Partite
2011-2012,24,Porto,pt POR,1. Primeira Liga,1°,26.2,,,,,,,,,,,,,,,,,Partite
2012-2013,25,Porto,pt POR,1. Primeira Liga,1°,26.4,,,,,,,,,,,,,,,,,Partite
2013-2014,26,Monaco,fr FRA,1. Ligue 1,2°,28.4,,,,,,,,,,,,,,,,,Partite
2014-2015,27,Monaco,fr FRA,1. Ligue 1,3°,35.2,,,,,,,,,,,,,,,,,Partite
2015-2016,28,Monaco,fr FRA,1. Ligue 1,3°,23.6,,,,,,,,,,,,,,,,,Partite
2016-2017,29,Monaco,fr FRA,1. Ligue 1,1°,19.8,,,,,,,,,,,,,,,,,Partite
2017-2018,30,Monaco,fr FRA,1. Ligue 1,2°,31.1,101,"3,24",68,29,1,1,2,0,13,"0,42",7,6,0,0,0,0,Partite
2018-2019,31,Wolves,eng ENG,1. Premier League,7°,33.7,141,"4,18",90,46,0,1,1,3,15,"0,45",9,6,0,0,0,0,Partite
2019-2020,32,Wolves,eng ENG,1. Premier League,7°,34.5,125,"3,62",68,56,0,1,0,0,10,"0,29",7,3,0,0,0,0,Partite
2020-2021,33,Wolves,eng ENG,1. Premier League,13°,28.1,96,"3,42",62,27,0,2,2,3,6,"0,21",3,2,0,0,1,0,Partite
2021-2022,34,Wolves,eng ENG,1. Premier League,10°,33.0,82,"2,48",53,22,1,4,0,2,4,"0,12",3,1,0,0,0,0,Partite
2022-2023,35,Wolves,eng ENG,1. Premier League,13°,19.8,66,"3,34",49,14,0,2,1,0,3,"0,15",3,0,0,0,0,0,Partite
2023-2024,36,Braga,pt POR,1. Primeira Liga,4°,13.6,55,"4,05",41,11,0,0,3,0,3,"0,22",3,0,0,0,0,0,Partite
20 stagioni,5 club,,3 campionati,,535.2,666,"3,44",431,205,2,11,9,8,54,"0,28",35,18,0,0,1,0,
,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite
Sporting CP (6 stagioni),,1 campionato,,157.7,,,,,,,,,,,,,,,,,
Wolves (5 stagioni),,1 campionato,,149.1,510,"3,42",322,165,1,10,4,8,38,"0,25",25,12,0,0,1,0,
Monaco (5 stagioni),,1 campionato,,138.1,101,"3,24",68,29,1,1,2,0,13,"0,42",7,6,0,0,0,0,
Porto (3 stagioni),,1 campionato,,76.8,,,,,,,,,,,,,,,,,
Braga (1 stagione),,1 campionato,,13.6,55,"4,05",41,11,0,0,3,0,3,"0,22",3,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,
Primeira Liga (10 stagioni),,,,248.1,55,"4,05",41,11,0,0,3,0,3,"0,22",3,0,0,0,0,0,
Premier League (5 stagioni),,,,149.1,510,"3,42",322,165,1,10,4,8,38,"0,25",25,12,0,0,1,0,
Ligue 1 (5 stagioni),,,,138.1,101,"3,24",68,29,1,1,2,0,13,"0,42",7,6,0,0,0,0,
