,Totali,Brevi,Medi,Lunghi,,Prestazione prevista,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite,2004-2005,2005-2006,2006-2007,2007-2008,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,20 stagioni,,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite,Sporting CP (6 stagioni),Wolves (5 stagioni),Monaco (5 stagioni),Porto (3 stagioni),Braga (1 stagione),,Primeira Liga (10 stagioni),Premier League (5 stagioni),Ligue 1 (5 stagioni)
,Totali,Brevi,Medi,Lunghi,,Prestazione prevista,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite
2004-2005,17,Sporting CP,pt POR,1. Primeira Liga,3°,11.6,,,,,,,,,,,,,,,1,,,,,,,,,Partite
2005-2006,18,Sporting CP,pt POR,1. Primeira Liga,2°,32.9,,,,,,,,,,,,,,,2,,,,,,,,,Partite
2006-2007,19,Sporting CP,pt POR,1. Primeira Liga,2°,28.4,,,,,,,,,,,,,,,4,,,,,,,,,Partite
2007-2008,20,Sporting CP,pt POR,1. Primeira Liga,2°,29.8,,,,,,,,,,,,,,,3,,,,,,,,,Partite
2008-2009,21,Sporting CP,pt POR,1. Primeira Liga,2°,27.0,,,,,,,,,,,,,,,6,,,,,,,,,Partite
2009-2010,22,Sporting CP,pt POR,1. Primeira Liga,4°,28.0,,,,,,,,,,,,,,,3,,,,,,,,,Partite
2010-2011,23,Porto,pt POR,1. Primeira Liga,1°,24.2,,,,,,,,,,,,,,,5,,,,,,,,,Partite
2011-2012,24,Porto,pt POR,1. Primeira Liga,1°,26.2,,,,,,,,,,,,,,,6,,,,,,,,,Partite
2012-2013,25,Porto,pt POR,1. Primeira Liga,1°,26.4,,,,,,,,,,,,,,,12,,,,,,,,,Partite
2013-2014,26,Monaco,fr FRA,1. Ligue 1,2°,28.4,,,,,,,,,,,,,,,8,,,,,,,,,Partite
2014-2015,27,Monaco,fr FRA,1. Ligue 1,3°,35.2,,,,,,,,,,,,,,,6,,,,,,,,,Partite
2015-2016,28,Monaco,fr FRA,1. Ligue 1,3°,23.6,,,,,,,,,,,,,,,2,,,,,,,,,Partite
2016-2017,29,Monaco,fr FRA,1. Ligue 1,1°,19.8,,,,,,,,,,,,,,,4,,,,,,,,,Partite
2017-2018,30,Monaco,fr FRA,1. Ligue 1,2°,31.1,1670,2024,"82,5",30731,9537,712,782,"91,0",706,827,"85,4",214,327,"65,4",6,5.8,5.5,+0.2,55,222,30,6,310,Partite
2018-2019,31,Wolves,eng ENG,1. Premier League,7°,33.7,1649,2072,"79,6",30933,9045,648,724,"89,5",710,825,"86,1",234,413,"56,7",8,6.5,6.0,+1.5,84,161,41,15,220,Partite
2019-2020,32,Wolves,eng ENG,1. Premier League,7°,34.5,1647,2071,"79,5",32707,8779,584,665,"87,8",729,850,"85,8",274,436,"62,8",6,7.9,6.0,-1.9,77,155,29,11,216,Partite
2020-2021,33,Wolves,eng ENG,1. Premier League,13°,28.1,1553,1846,"84,1",27362,7149,647,705,"91,8",708,786,"90,1",155,263,"58,9",1,2.4,2.8,-1.4,46,131,19,7,169,Partite
2021-2022,34,Wolves,eng ENG,1. Premier League,10°,33.0,1700,2039,"83,4",31501,7578,700,779,"89,9",734,825,"89,0",221,331,"66,8",1,2.7,2.3,-1.7,39,170,18,4,196,Partite
2022-2023,35,Wolves,eng ENG,1. Premier League,13°,19.8,850,1057,"80,4",15648,4124,323,362,"89,2",412,480,"85,8",91,147,"61,9",2,2.6,1.9,-0.6,36,105,23,4,132,Partite
2023-2024,36,Braga,pt POR,1. Primeira Liga,4°,13.6,979,1128,"86,8",17508,5414,420,452,"92,9",432,478,"90,4",104,142,"73,2",0,1.2,1.5,-1.2,23,122,13,1,123,Partite
20 stagioni,5 club,,3 campionati,,535.2,10048,12237,"82,1",186390,51626,4034,4469,"90,3",4431,5071,"87,4",1293,2059,"62,8",86,29.0,26.0,+57.0,360,1066,173,48,1366,
,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite
Sporting CP (6 stagioni),,1 campionato,,157.7,,,,,,,,,,,,,,,19,,,,,,,,,
Wolves (5 stagioni),,1 campionato,,149.1,7399,9085,"81,4",138151,36675,2902,3235,"89,7",3293,3766,"87,4",975,1590,"61,3",18,22.1,19.0,-4.1,282,722,130,41,933,
Monaco (5 stagioni),,1 campionato,,138.1,1670,2024,"82,5",30731,9537,712,782,"91,0",706,827,"85,4",214,327,"65,4",26,5.8,5.5,+20.2,55,222,30,6,310,
Porto (3 stagioni),,1 campionato,,76.8,,,,,,,,,,,,,,,23,,,,,,,,,
Braga (1 stagione),,1 campionato,,13.6,979,1128,"86,8",17508,5414,420,452,"92,9",432,478,"90,4",104,142,"73,2",0,1.2,1.5,-1.2,23,122,13,1,123,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primeira Liga (10 stagioni),,,,248.1,979,1128,"86,8",17508,5414,420,452,"92,9",432,478,"90,4",104,142,"73,2",42,1.2,1.5,+40.8,23,122,13,1,123,
Premier League (5 stagioni),,,,149.1,7399,9085,"81,4",138151,36675,2902,3235,"89,7",3293,3766,"87,4",975,1590,"61,3",18,22.1,19.0,-4.1,282,722,130,41,933,
Ligue 1 (5 stagioni),,,,138.1,1670,2024,"82,5",30731,9537,712,782,"91,0",706,827,"85,4",214,327,"65,4",26,5.8,5.5,+20.2,55,222,30,6,310,
