,Tipologie di passaggi,Calci d'angolo,Risultati,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,2004-2005,2005-2006,2006-2007,2007-2008,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,20 stagioni,,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,Sporting CP (6 stagioni),Wolves (5 stagioni),Monaco (5 stagioni),Porto (3 stagioni),Braga (1 stagione),,Primeira Liga (10 stagioni),Premier League (5 stagioni),Ligue 1 (5 stagioni)
,Tipologie di passaggi,Calci d'angolo,Risultati,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
2004-2005,17,Sporting CP,pt POR,1. Primeira Liga,3°,11.6,,,,,,,,,,,,,,,,Partite
2005-2006,18,Sporting CP,pt POR,1. Primeira Liga,2°,32.9,,,,,,,,,,,,,,,,Partite
2006-2007,19,Sporting CP,pt POR,1. Primeira Liga,2°,28.4,,,,,,,,,,,,,,,,Partite
2007-2008,20,Sporting CP,pt POR,1. Primeira Liga,2°,29.8,,,,,,,,,,,,,,,,Partite
2008-2009,21,Sporting CP,pt POR,1. Primeira Liga,2°,27.0,,,,,,,,,,,,,,,,Partite
2009-2010,22,Sporting CP,pt POR,1. Primeira Liga,4°,28.0,,,,,,,,,,,,,,,,Partite
2010-2011,23,Porto,pt POR,1. Primeira Liga,1°,24.2,,,,,,,,,,,,,,,,Partite
2011-2012,24,Porto,pt POR,1. Primeira Liga,1°,26.2,,,,,,,,,,,,,,,,Partite
2012-2013,25,Porto,pt POR,1. Primeira Liga,1°,26.4,,,,,,,,,,,,,,,,Partite
2013-2014,26,Monaco,fr FRA,1. Ligue 1,2°,28.4,,,,,,,,,,,,,,,,Partite
2014-2015,27,Monaco,fr FRA,1. Ligue 1,3°,35.2,,,,,,,,,,,,,,,,Partite
2015-2016,28,Monaco,fr FRA,1. Ligue 1,3°,23.6,,,,,,,,,,,,,,,,Partite
2016-2017,29,Monaco,fr FRA,1. Ligue 1,1°,19.8,,,,,,,59,,,,,,,,,Partite
2017-2018,30,Monaco,fr FRA,1. Ligue 1,2°,31.1,2024,1800,212,129,13,20,110,9,73,29,30,1,1670,12,23,Partite
2018-2019,31,Wolves,eng ENG,1. Premier League,7°,33.7,2072,1796,269,102,4,28,196,6,159,45,74,2,1649,7,26,Partite
2019-2020,32,Wolves,eng ENG,1. Premier League,7°,34.5,2071,1731,335,158,5,35,221,6,169,49,72,0,1647,5,19,Partite
2020-2021,33,Wolves,eng ENG,1. Premier League,13°,28.1,1846,1641,200,93,5,15,116,4,101,29,32,2,1553,5,19,Partite
2021-2022,34,Wolves,eng ENG,1. Premier League,10°,33.0,2039,1851,184,96,5,25,108,7,77,16,40,3,1700,4,35,Partite
2022-2023,35,Wolves,eng ENG,1. Premier League,13°,19.8,1057,936,116,55,7,6,59,3,34,10,15,0,850,5,20,Partite
2023-2024,36,Braga,pt POR,1. Primeira Liga,4°,13.6,1128,1059,63,45,7,2,30,1,16,8,5,0,979,6,17,Partite
20 stagioni,5 club,,3 campionati,,535.2,12237,10814,1379,678,46,131,899,36,629,186,268,8,10048,44,159,
,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
Sporting CP (6 stagioni),,1 campionato,,157.7,,,,,,,,,,,,,,,,
Wolves (5 stagioni),,1 campionato,,149.1,9085,7955,1104,504,26,109,700,26,540,149,233,7,7399,26,119,
Monaco (5 stagioni),,1 campionato,,138.1,2024,1800,212,129,13,20,169,9,73,29,30,1,1670,12,23,
Porto (3 stagioni),,1 campionato,,76.8,,,,,,,,,,,,,,,,
Braga (1 stagione),,1 campionato,,13.6,1128,1059,63,45,7,2,30,1,16,8,5,0,979,6,17,
,,,,,,,,,,,,,,,,,,,,
Primeira Liga (10 stagioni),,,,248.1,1128,1059,63,45,7,2,30,1,16,8,5,0,979,6,17,
Premier League (5 stagioni),,,,149.1,9085,7955,1104,504,26,109,700,26,540,149,233,7,7399,26,119,
Ligue 1 (5 stagioni),,,,138.1,2024,1800,212,129,13,20,169,9,73,29,30,1,1670,12,23,
