,Contrasti,Sfide,Blocchi,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,2023-2024,9 stagioni,,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,Toulouse (6 stagioni),Spezia (3 stagioni),Nantes (1 stagione),,Ligue 1 (6 stagioni),Serie A (2 stagioni),Ligue 2 (1 stagione),Serie B (1 stagione)
,Contrasti,Sfide,Blocchi,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
2016-2017,18,Toulouse,fr FRA,1. Ligue 1,13°,19.7,,36,,,,,,,,,,,26,,,,Partite
2017-2018,19,Toulouse,fr FRA,1. Ligue 1,18°,35.0,59,43,45,10,4,22,31,"71,0",9,25,7,18,45,104,127,1,Partite
2018-2019,20,Toulouse,fr FRA,1. Ligue 1,16°,32.0,68,45,54,12,2,20,30,"66,7",10,36,13,23,36,104,113,1,Partite
2019-2020,21,Toulouse,fr FRA,1. Ligue 1,20°,18.1,27,21,21,5,1,14,25,"56,0",11,14,7,7,18,45,56,0,Partite
2020-2021,22,Toulouse,fr FRA,2. Ligue 2,3°,33.0,43,27,28,12,3,14,20,"70,0",6,40,18,22,42,85,97,1,Partite
2021-2022,23,Spezia,it ITA,1. Serie A,16°,29.4,66,42,43,18,5,30,41,"73,2",11,39,21,18,32,98,75,0,Partite
2022-2023,24,Spezia,it ITA,1. Serie A,17°,26.4,54,32,33,12,9,24,31,"77,4",7,34,12,22,22,76,87,1,Partite
2023-2024,25,Spezia,it ITA,2. Serie B,18°,19.0,42,30,32,9,1,16,21,"76,2",5,26,15,11,23,65,52,1,Partite
2023-2024,25,Nantes,fr FRA,1. Ligue 1,12°,1.1,2,2,1,1,0,1,3,"33,3",2,0,0,0,0,2,1,0,Partite
9 stagioni,3 club,,4 campionati,,213.8,361,278,257,79,25,141,202,"69,8",61,214,93,121,244,579,608,5,
,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
Toulouse (6 stagioni),,2 campionati,,137.9,197,172,148,39,10,70,106,"66,0",36,115,45,70,167,338,393,3,
Spezia (3 stagioni),,2 campionati,,74.8,162,104,108,39,15,70,93,"75,3",23,99,48,51,77,239,214,2,
Nantes (1 stagione),,1 campionato,,1.1,2,2,1,1,0,1,3,"33,3",2,0,0,0,0,2,1,0,
,,,,,,,,,,,,,,,,,,,,,
Ligue 1 (6 stagioni),,,,106.0,156,147,121,28,7,57,89,"64,0",32,75,27,48,125,255,297,2,
Serie A (2 stagioni),,,,55.8,120,74,76,30,14,54,72,"75,0",18,73,33,40,54,174,162,1,
Ligue 2 (1 stagione),,,,33.0,43,27,28,12,3,14,20,"70,0",6,40,18,22,42,85,97,1,
Serie B (1 stagione),,,,19.0,42,30,32,9,1,16,21,"76,2",5,26,15,11,23,65,52,1,
