,SCA,Tipologie di SCA,GCA,Tipologie di GCA,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,2023-2024,9 stagioni,,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite,Toulouse (6 stagioni),Spezia (3 stagioni),Nantes (1 stagione),,Ligue 1 (6 stagioni),Serie A (2 stagioni),Ligue 2 (1 stagione),Serie B (1 stagione)
,SCA,Tipologie di SCA,GCA,Tipologie di GCA,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite
2016-2017,18,Toulouse,fr FRA,1. Ligue 1,13°,19.7,,,,,,,,,,,,,,,,,Partite
2017-2018,19,Toulouse,fr FRA,1. Ligue 1,18°,35.0,33,"0,94",19,7,6,0,1,0,4,"0,11",2,0,2,0,0,0,Partite
2018-2019,20,Toulouse,fr FRA,1. Ligue 1,16°,32.0,38,"1,19",26,5,5,2,0,0,2,"0,06",2,0,0,0,0,0,Partite
2019-2020,21,Toulouse,fr FRA,1. Ligue 1,20°,18.1,14,"0,77",11,1,0,1,0,1,2,"0,11",2,0,0,0,0,0,Partite
2020-2021,22,Toulouse,fr FRA,2. Ligue 2,3°,33.0,39,"1,18",29,0,3,7,0,0,7,"0,21",4,0,1,2,0,0,Partite
2021-2022,23,Spezia,it ITA,1. Serie A,16°,29.4,33,"1,12",22,3,3,3,2,0,1,"0,03",1,0,0,0,0,0,Partite
2022-2023,24,Spezia,it ITA,1. Serie A,17°,26.4,45,"1,71",34,3,2,4,0,2,3,"0,11",1,0,0,2,0,0,Partite
2023-2024,25,Spezia,it ITA,2. Serie B,18°,19.0,20,"1,05",14,1,0,4,0,1,2,"0,11",1,0,0,1,0,0,Partite
2023-2024,25,Nantes,fr FRA,1. Ligue 1,12°,1.1,1,"0,89",1,0,0,0,0,0,0,"0,00",0,0,0,0,0,0,Partite
9 stagioni,3 club,,4 campionati,,213.8,223,"1,15",156,20,19,21,3,4,21,"0,11",13,0,3,5,0,0,
,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite
Toulouse (6 stagioni),,2 campionati,,137.9,124,"1,05",85,13,14,10,1,1,15,"0,13",10,0,3,2,0,0,
Spezia (3 stagioni),,2 campionati,,74.8,98,"1,31",70,7,5,11,2,3,6,"0,08",3,0,0,3,0,0,
Nantes (1 stagione),,1 campionato,,1.1,1,"0,89",1,0,0,0,0,0,0,"0,00",0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,
Ligue 1 (6 stagioni),,,,106.0,86,"1,00",57,13,11,3,1,1,8,"0,09",6,0,2,0,0,0,
Serie A (2 stagioni),,,,55.8,78,"1,40",56,6,5,7,2,2,4,"0,07",2,0,0,2,0,0,
Ligue 2 (1 stagione),,,,33.0,39,"1,18",29,0,3,7,0,0,7,"0,21",4,0,1,2,0,0,
Serie B (1 stagione),,,,19.0,20,"1,05",14,1,0,4,0,1,2,"0,11",1,0,0,1,0,0,
