,Tipologie di passaggi,Calci d'angolo,Risultati,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,2023-2024,9 stagioni,,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,Toulouse (6 stagioni),Spezia (3 stagioni),Nantes (1 stagione),,Ligue 1 (6 stagioni),Serie A (2 stagioni),Ligue 2 (1 stagione),Serie B (1 stagione)
,Tipologie di passaggi,Calci d'angolo,Risultati,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
2016-2017,18,Toulouse,fr FRA,1. Ligue 1,13°,19.7,,,,,,,45,,,,,,,,,Partite
2017-2018,19,Toulouse,fr FRA,1. Ligue 1,18°,35.0,1303,977,321,40,1,8,43,281,0,0,0,0,1013,5,34,Partite
2018-2019,20,Toulouse,fr FRA,1. Ligue 1,16°,32.0,1208,956,248,34,0,3,21,214,0,0,0,0,942,4,23,Partite
2019-2020,21,Toulouse,fr FRA,1. Ligue 1,20°,18.1,676,533,141,21,1,2,12,120,0,0,0,0,546,2,12,Partite
2020-2021,22,Toulouse,fr FRA,2. Ligue 2,3°,33.0,1517,1395,117,59,1,5,19,58,0,0,0,0,1253,5,32,Partite
2021-2022,23,Spezia,it ITA,1. Serie A,16°,29.4,1133,862,267,18,1,1,24,249,0,0,0,0,887,4,35,Partite
2022-2023,24,Spezia,it ITA,1. Serie A,17°,26.4,1110,869,238,14,1,2,39,222,2,0,1,0,830,3,31,Partite
2023-2024,25,Spezia,it ITA,2. Serie B,18°,19.0,961,815,143,34,1,1,17,109,0,0,0,0,770,3,18,Partite
2023-2024,25,Nantes,fr FRA,1. Ligue 1,12°,1.1,38,34,4,1,1,0,4,3,0,0,0,0,27,0,1,Partite
9 stagioni,3 club,,4 campionati,,213.8,7946,6441,1479,221,7,22,224,1256,2,0,1,0,6268,26,186,
,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
Toulouse (6 stagioni),,2 campionati,,137.9,4704,3861,827,154,3,18,140,673,0,0,0,0,3754,16,101,
Spezia (3 stagioni),,2 campionati,,74.8,3204,2546,648,66,3,4,80,580,2,0,1,0,2487,10,84,
Nantes (1 stagione),,1 campionato,,1.1,38,34,4,1,1,0,4,3,0,0,0,0,27,0,1,
,,,,,,,,,,,,,,,,,,,,
Ligue 1 (6 stagioni),,,,106.0,3225,2500,714,96,3,13,125,618,0,0,0,0,2528,11,70,
Serie A (2 stagioni),,,,55.8,2243,1731,505,32,2,3,63,471,2,0,1,0,1717,7,66,
Ligue 2 (1 stagione),,,,33.0,1517,1395,117,59,1,5,19,58,0,0,0,0,1253,5,32,
Serie B (1 stagione),,,,19.0,961,815,143,34,1,1,17,109,0,0,0,0,770,3,18,
