,Contrasti,Sfide,Blocchi,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,,2016-2017,2017-2018,2018-2019,2019-2020,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,2023-2024,9 stagioni,,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,SPAL (3 stagioni),Bologna (3 stagioni),Torino (3 stagioni),Udinese (1 stagione),Frosinone (1 stagione),,Serie A (8 stagioni),Serie B (1 stagione)
,Contrasti,Sfide,Blocchi,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
,,,,,,,,,,,,,,,,,,,,,,,
2016-2017,20,SPAL,it ITA,2. Serie B,1°,18.4,,,,,,,,,,,,,,,,,Partite
2017-2018,21,Torino,it ITA,1. Serie A,9°,4.5,11,7,6,5,0,4,6,"66,7",2,7,5,2,13,24,15,0,Partite
2018-2019,22,SPAL,it ITA,1. Serie A,13°,25.6,40,24,31,8,1,15,33,"45,5",18,38,21,17,36,76,79,0,Partite
2019-2020,23,SPAL,it ITA,1. Serie A,20°,13.2,16,9,15,1,0,9,18,"50,0",9,20,12,8,35,51,50,2,Partite
2019-2020,23,Torino,it ITA,1. Serie A,16°,2.7,9,8,6,3,0,5,6,"83,3",1,3,2,1,5,14,10,0,Partite
2020-2021,24,Udinese,it ITA,1. Serie A,14°,27.4,32,21,24,6,2,8,23,"34,8",15,33,20,13,50,82,85,1,Partite
2021-2022,25,Bologna,it ITA,1. Serie A,13°,13.4,25,16,16,7,2,13,14,"92,9",1,22,7,15,16,41,35,0,Partite
2022-2023,26,Bologna,it ITA,1. Serie A,9°,10.0,13,8,7,6,0,6,12,"50,0",6,11,8,3,12,25,39,0,Partite
2023-2024,27,Bologna,it ITA,1. Serie A,4°,1.0,4,0,0,4,0,1,2,"50,0",1,0,0,0,0,4,7,1,Partite
2023-2024,27,Frosinone,it ITA,1. Serie A,16°,1.0,3,2,0,3,0,0,1,"0,0",1,1,0,1,1,4,6,0,Partite
9 stagioni,5 club,,2 campionati,,117.4,153,95,105,43,5,61,115,"53,0",54,135,75,60,168,321,326,4,
,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
SPAL (3 stagioni),,2 campionati,,57.2,56,33,46,9,1,24,51,"47,1",27,58,33,25,71,127,129,2,
Bologna (3 stagioni),,1 campionato,,24.5,42,24,23,17,2,20,28,"71,4",8,33,15,18,28,70,81,1,
Torino (3 stagioni),,1 campionato,,7.3,20,15,12,8,0,9,12,"75,0",3,10,7,3,18,38,25,0,
Udinese (1 stagione),,1 campionato,,27.4,32,21,24,6,2,8,23,"34,8",15,33,20,13,50,82,85,1,
Frosinone (1 stagione),,1 campionato,,1.0,3,2,0,3,0,0,1,"0,0",1,1,0,1,1,4,6,0,
,,,,,,,,,,,,,,,,,,,,,
Serie A (8 stagioni),,,,99.0,153,95,105,43,5,61,115,"53,0",54,135,75,60,168,321,326,4,
Serie B (1 stagione),,,,18.4,,,,,,,,,,,,,,0,,,
