,Tipologie di passaggi,Calci d'angolo,Risultati,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,12 stagioni,,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,Nantes (7 stagioni),Torino (5 stagioni),Crotone (1 stagione),,Serie A (6 stagioni),Ligue 1 (6 stagioni),Ligue 2 (1 stagione)
,Tipologie di passaggi,Calci d'angolo,Risultati,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
2012-2013,19,Nantes,fr FRA,2. Ligue 2,3°,2.6,,,,,,,,,,,,,,,,
2013-2014,20,Nantes,fr FRA,1. Ligue 1,13°,8.5,,,,,,,,,,,,,,,,Partite
2014-2015,21,Nantes,fr FRA,1. Ligue 1,14°,4.0,,,,,,,,,,,,,,,,Partite
2015-2016,22,Nantes,fr FRA,1. Ligue 1,14°,19.9,,,,,,,,,,,,,,,,Partite
2016-2017,23,Nantes,fr FRA,1. Ligue 1,7°,27.7,,,,,,,2,,,,,,,,,Partite
2017-2018,24,Nantes,fr FRA,1. Ligue 1,9°,26.8,1004,811,192,25,0,8,21,167,0,0,0,0,744,1,14,Partite
2018-2019,25,Nantes,fr FRA,1. Ligue 1,12°,1.0,54,50,4,4,0,1,0,0,0,0,0,0,45,0,0,Partite
2018-2019,25,Torino,it ITA,1. Serie A,7°,15.4,600,573,24,20,0,7,3,3,0,0,0,0,493,3,2,Partite
2019-2020,26,Torino,it ITA,1. Serie A,16°,9.5,394,377,15,11,0,3,0,4,0,0,0,0,338,2,0,Partite
2020-2021,27,Crotone,it ITA,1. Serie A,19°,16.9,757,679,76,22,0,4,5,54,0,0,0,0,606,2,11,Partite
2021-2022,28,Torino,it ITA,1. Serie A,10°,19.3,836,783,51,36,0,4,17,15,0,0,0,0,690,2,6,Partite
2022-2023,29,Torino,it ITA,1. Serie A,10°,26.9,1441,1408,30,15,1,10,13,14,0,0,0,0,1249,3,20,Partite
2023-2024,30,Torino,it ITA,1. Serie A,10°,7.6,409,389,17,8,0,0,2,9,0,0,0,0,349,3,3,Partite
12 stagioni,3 club,,3 campionati,,186.2,5495,5070,409,141,1,37,63,266,0,0,0,0,4514,16,56,
,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
Nantes (7 stagioni),,2 campionati,,90.6,1058,861,196,29,0,9,23,167,0,0,0,0,789,1,14,
Torino (5 stagioni),,1 campionato,,78.7,3680,3530,137,90,1,24,35,45,0,0,0,0,3119,13,31,
Crotone (1 stagione),,1 campionato,,16.9,757,679,76,22,0,4,5,54,0,0,0,0,606,2,11,
,,,,,,,,,,,,,,,,,,,,
Serie A (6 stagioni),,,,95.6,4437,4209,213,112,1,28,40,99,0,0,0,0,3725,15,42,
Ligue 1 (6 stagioni),,,,88.0,1058,861,196,29,0,9,23,167,0,0,0,0,789,1,14,
Ligue 2 (1 stagione),,,,2.6,,,,,,,,,,,,,,,,
