,Contrasti,Sfide,Blocchi,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2021-2022,2022-2023,2023-2024,16 stagioni,,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,Roma (5 stagioni),Olympiacos (4 stagioni),Napoli (3 stagioni),AEK Athens (3 stagioni),Thrasyvoulos (1 stagione),Salernitana (1 stagione),,Serie A (9 stagioni),Super League (8 stagioni)
,Contrasti,Sfide,Blocchi,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
2008-2009,17,Thrasyvoulos,gr GRE,1. Super League,16°,4.0,,,,,,,,,,,,,,,,,
2009-2010,18,AEK Athens,gr GRE,1. Super League,4°,5.0,,,,,,,,,,,,,,,,,
2010-2011,19,AEK Athens,gr GRE,1. Super League,3°,19.4,,,,,,,,,,,,,,,,,Partite
2011-2012,20,AEK Athens,gr GRE,1. Super League,5°,22.0,,,,,,,,,,,,,,,,,Partite
2012-2013,21,Olympiacos,gr GRE,1. Super League,1°,23.9,,,,,,,,,,,,,,,,,Partite
2013-2014,22,Olympiacos,gr GRE,1. Super League,1°,23.8,,,,,,,,,,,,,,,,,Partite
2014-2015,23,Roma,it ITA,1. Serie A,2°,29.0,,,,,,,,,,,,,,,,,Partite
2015-2016,24,Roma,it ITA,1. Serie A,3°,34.7,,,,,,,,,,,,,,,,,Partite
2016-2017,25,Roma,it ITA,1. Serie A,2°,30.8,,31,,,,,,,,,,,68,,,,Partite
2017-2018,26,Roma,it ITA,1. Serie A,3°,26.0,23,20,14,7,2,9,15,"60,0",6,31,24,7,46,69,133,2,Partite
2018-2019,27,Roma,it ITA,1. Serie A,6°,25.8,32,24,23,8,1,17,26,"65,4",9,34,25,9,50,82,117,2,Partite
2019-2020,28,Napoli,it ITA,1. Serie A,7°,24.2,23,15,13,10,0,10,17,"58,8",7,19,14,5,25,48,76,1,Partite
2020-2021,29,Napoli,it ITA,1. Serie A,5°,25.5,31,18,24,7,0,17,24,"70,8",7,22,13,9,23,54,82,2,Partite
2021-2022,30,Napoli,it ITA,1. Serie A,3°,3.5,2,2,1,1,0,2,3,"66,7",1,2,1,1,4,6,10,1,Partite
2021-2022,30,Olympiacos,gr GRE,1. Super League,1°,8.4,,,,,,,,,,,,,,,,,Partite
2022-2023,31,Olympiacos,gr GRE,1. Super League,3°,2.9,,,,,,,,,,,,,,,,,Partite
2023-2024,32,Salernitana,it ITA,1. Serie A,20°,1.5,1,1,0,1,0,1,1,"100,0",0,2,2,0,0,1,4,0,Partite
16 stagioni,6 club,,2 campionati,,310.2,112,111,75,34,3,56,86,"65,1",30,110,79,31,216,260,422,8,
,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
Roma (5 stagioni),,1 campionato,,146.3,55,75,37,15,3,26,41,"63,4",15,65,49,16,164,151,250,4,
Olympiacos (4 stagioni),,1 campionato,,58.9,,,,,,,,,,,,,,0,,,
Napoli (3 stagioni),,1 campionato,,53.2,56,35,38,18,0,29,44,"65,9",15,43,28,15,52,108,168,4,
AEK Athens (3 stagioni),,1 campionato,,46.4,,,,,,,,,,,,,,0,,,
Thrasyvoulos (1 stagione),,1 campionato,,4.0,,,,,,,,,,,,,,0,,,
Salernitana (1 stagione),,1 campionato,,1.5,1,1,0,1,0,1,1,"100,0",0,2,2,0,0,1,4,0,
,,,,,,,,,,,,,,,,,,,,,
Serie A (9 stagioni),,,,200.9,112,111,75,34,3,56,86,"65,1",30,110,79,31,216,260,422,8,
Super League (8 stagioni),,,,109.3,,,,,,,,,,,,,,0,,,
