,Totali,Brevi,Medi,Lunghi,,Prestazione prevista,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2021-2022,2022-2023,2023-2024,16 stagioni,,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite,Roma (5 stagioni),Olympiacos (4 stagioni),Napoli (3 stagioni),AEK Athens (3 stagioni),Thrasyvoulos (1 stagione),Salernitana (1 stagione),,Serie A (9 stagioni),Super League (8 stagioni)
,Totali,Brevi,Medi,Lunghi,,Prestazione prevista,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite
2008-2009,17,Thrasyvoulos,gr GRE,1. Super League,16°,4.0,,,,,,,,,,,,,,,0,,,,,,,,,
2009-2010,18,AEK Athens,gr GRE,1. Super League,4°,5.0,,,,,,,,,,,,,,,0,,,,,,,,,
2010-2011,19,AEK Athens,gr GRE,1. Super League,3°,19.4,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2011-2012,20,AEK Athens,gr GRE,1. Super League,5°,22.0,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2012-2013,21,Olympiacos,gr GRE,1. Super League,1°,23.9,,,,,,,,,,,,,,,1,,,,,,,,,Partite
2013-2014,22,Olympiacos,gr GRE,1. Super League,1°,23.8,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2014-2015,23,Roma,it ITA,1. Serie A,2°,29.0,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2015-2016,24,Roma,it ITA,1. Serie A,3°,34.7,,,,,,,,,,,,,,,2,,,,,,,,,Partite
2016-2017,25,Roma,it ITA,1. Serie A,2°,30.8,,,,,,,,,,,,,,,2,,,,,,,,,Partite
2017-2018,26,Roma,it ITA,1. Serie A,3°,26.0,1198,1373,"87,3",22785,8092,423,461,"91,8",630,689,"91,4",128,189,"67,7",0,0.1,0.3,-0.1,4,93,4,0,107,Partite
2018-2019,27,Roma,it ITA,1. Serie A,6°,25.8,913,1041,"87,7",17460,6789,317,348,"91,1",473,518,"91,3",104,146,"71,2",1,0.4,0.2,+0.6,3,35,3,0,55,Partite
2019-2020,28,Napoli,it ITA,1. Serie A,7°,24.2,1384,1510,"91,7",25740,8110,486,520,"93,5",772,816,"94,6",113,149,"75,8",0,0.1,0.2,-0.1,2,37,1,0,66,Partite
2020-2021,29,Napoli,it ITA,1. Serie A,5°,25.5,1442,1555,"92,7",28283,9379,470,505,"93,1",792,813,"97,4",167,211,"79,1",0,0.3,0.3,-0.3,5,47,5,0,73,Partite
2021-2022,30,Napoli,it ITA,1. Serie A,3°,3.5,223,234,"95,3",4147,1502,86,88,"97,7",114,119,"95,8",22,24,"91,7",0,0.0,0.0,0.0,0,14,0,0,13,Partite
2021-2022,30,Olympiacos,gr GRE,1. Super League,1°,8.4,,,,,,,,,,,,,,,0,,,,,,,,,Partite
