,Tipologie di passaggi,Calci d'angolo,Risultati,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2021-2022,2022-2023,2023-2024,16 stagioni,,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,Roma (5 stagioni),Olympiacos (4 stagioni),Napoli (3 stagioni),AEK Athens (3 stagioni),Thrasyvoulos (1 stagione),Salernitana (1 stagione),,Serie A (9 stagioni),Super League (8 stagioni)
,Tipologie di passaggi,Calci d'angolo,Risultati,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
2008-2009,17,Thrasyvoulos,gr GRE,1. Super League,16°,4.0,,,,,,,,,,,,,,,,
2009-2010,18,AEK Athens,gr GRE,1. Super League,4°,5.0,,,,,,,,,,,,,,,,
2010-2011,19,AEK Athens,gr GRE,1. Super League,3°,19.4,,,,,,,,,,,,,,,,Partite
2011-2012,20,AEK Athens,gr GRE,1. Super League,5°,22.0,,,,,,,,,,,,,,,,Partite
2012-2013,21,Olympiacos,gr GRE,1. Super League,1°,23.9,,,,,,,,,,,,,,,,Partite
2013-2014,22,Olympiacos,gr GRE,1. Super League,1°,23.8,,,,,,,,,,,,,,,,Partite
2014-2015,23,Roma,it ITA,1. Serie A,2°,29.0,,,,,,,,,,,,,,,,Partite
2015-2016,24,Roma,it ITA,1. Serie A,3°,34.7,,,,,,,,,,,,,,,,Partite
2016-2017,25,Roma,it ITA,1. Serie A,2°,30.8,,,,,,,5,,,,,,,,,Partite
2017-2018,26,Roma,it ITA,1. Serie A,3°,26.0,1373,1331,41,38,0,17,0,3,0,0,0,0,1198,1,9,Partite
2018-2019,27,Roma,it ITA,1. Serie A,6°,25.8,1041,983,57,56,0,19,1,1,0,0,0,0,913,1,1,Partite
2019-2020,28,Napoli,it ITA,1. Serie A,7°,24.2,1510,1455,52,48,0,5,0,4,0,0,0,0,1384,3,2,Partite
2020-2021,29,Napoli,it ITA,1. Serie A,5°,25.5,1555,1482,71,53,0,10,0,2,0,0,0,0,1442,2,4,Partite
2021-2022,30,Napoli,it ITA,1. Serie A,3°,3.5,234,228,5,3,0,1,0,0,0,0,0,0,223,1,1,Partite
2021-2022,30,Olympiacos,gr GRE,1. Super League,1°,8.4,,,,,,,,,,,,,,,,Partite
2022-2023,31,Olympiacos,gr GRE,1. Super League,3°,2.9,,,,,,,,,,,,,,,,Partite
2023-2024,32,Salernitana,it ITA,1. Serie A,20°,1.5,64,60,4,4,0,1,0,0,0,0,0,0,60,0,0,Partite
16 stagioni,6 club,,2 campionati,,310.2,5777,5539,230,202,0,53,6,10,0,0,0,0,5220,8,17,
,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
Roma (5 stagioni),,1 campionato,,146.3,2414,2314,98,94,0,36,6,4,0,0,0,0,2111,2,10,
Olympiacos (4 stagioni),,1 campionato,,58.9,,,,,,,,,,,,,,,,
Napoli (3 stagioni),,1 campionato,,53.2,3299,3165,128,104,0,16,0,6,0,0,0,0,3049,6,7,
AEK Athens (3 stagioni),,1 campionato,,46.4,,,,,,,,,,,,,,,,
Thrasyvoulos (1 stagione),,1 campionato,,4.0,,,,,,,,,,,,,,,,
Salernitana (1 stagione),,1 campionato,,1.5,64,60,4,4,0,1,0,0,0,0,0,0,60,0,0,
,,,,,,,,,,,,,,,,,,,,
Serie A (9 stagioni),,,,200.9,5777,5539,230,202,0,53,6,10,0,0,0,0,5220,8,17,
Super League (8 stagioni),,,,109.3,,,,,,,,,,,,,,,,
