,SCA,Tipologie di SCA,GCA,Tipologie di GCA,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite,2017,2018,2019,2020,2021,2021-2022,2022-2023,2023-2024,7 stagioni,,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite,Beijing Guoan (3 stagioni),Jeonbuk (2 stagioni),Napoli (1 stagione),Fenerbahçe (1 stagione),Bayern Munich (1 stagione),,Super League (3 stagioni),K League (2 stagioni),Serie A (1 stagione),Süper Lig (1 stagione),Bundesliga (1 stagione)
,SCA,Tipologie di SCA,GCA,Tipologie di GCA,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite
2017,20,Jeonbuk,kr KOR,1. K League,1°,27.9,,,,,,,,,,,,,,,,,Partite
2018,21,Jeonbuk,kr KOR,1. K League,1°,20.7,,,,,,,,,,,,,,,,,Partite
2019,22,Beijing Guoan,cn CHN,1. Super League,2°,24.0,,,,,,,,,,,,,,,,,Partite
2020,23,Beijing Guoan,cn CHN,1. Super League,3°,10.8,,,,,,,,,,,,,,,,,Partite
2021,24,Beijing Guoan,cn CHN,1. Super League,3°,1.9,,,,,,,,,,,,,,,,,Partite
2021-2022,24,Fenerbahçe,tr TUR,1. Süper Lig,2°,29.6,,,,,,,,,,,,,,,,,Partite
2022-2023,25,Napoli,it ITA,1. Serie A,1°,33.9,37,"1,09",34,0,0,1,0,2,3,"0,09",2,0,0,1,0,0,Partite
2023-2024,26,Bayern Munich,de GER,1. Bundesliga,2°,17.7,22,"1,24",20,1,0,0,0,1,3,"0,17",3,0,0,0,0,0,Partite
7 stagioni,5 club,,5 campionati,,166.5,59,"1,14",54,1,0,1,0,3,6,"0,12",5,0,0,1,0,0,
,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite
Beijing Guoan (3 stagioni),,1 campionato,,36.7,,,,,,,,,,,,,,,,,
Jeonbuk (2 stagioni),,1 campionato,,48.5,,,,,,,,,,,,,,,,,
Napoli (1 stagione),,1 campionato,,33.9,37,"1,09",34,0,0,1,0,2,3,"0,09",2,0,0,1,0,0,
Fenerbahçe (1 stagione),,1 campionato,,29.6,,,,,,,,,,,,,,,,,
Bayern Munich (1 stagione),,1 campionato,,17.7,22,"1,24",20,1,0,0,0,1,3,"0,17",3,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,
Super League (3 stagioni),,,,36.7,,,,,,,,,,,,,,,,,
K League (2 stagioni),,,,48.5,,,,,,,,,,,,,,,,,
Serie A (1 stagione),,,,33.9,37,"1,09",34,0,0,1,0,2,3,"0,09",2,0,0,1,0,0,
Süper Lig (1 stagione),,,,29.6,,,,,,,,,,,,,,,,,
Bundesliga (1 stagione),,,,17.7,22,"1,24",20,1,0,0,0,1,3,"0,17",3,0,0,0,0,0,
