,Tipologie di passaggi,Calci d'angolo,Risultati,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,2017,2018,2019,2020,2021,2021-2022,2022-2023,2023-2024,7 stagioni,,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,Beijing Guoan (3 stagioni),Jeonbuk (2 stagioni),Napoli (1 stagione),Fenerbahçe (1 stagione),Bayern Munich (1 stagione),,Super League (3 stagioni),K League (2 stagioni),Serie A (1 stagione),Süper Lig (1 stagione),Bundesliga (1 stagione)
,Tipologie di passaggi,Calci d'angolo,Risultati,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
2017,20,Jeonbuk,kr KOR,1. K League,1°,27.9,,,,,,,0,,,,,,,,,Partite
2018,21,Jeonbuk,kr KOR,1. K League,1°,20.7,,,,,,,0,,,,,,,,,Partite
2019,22,Beijing Guoan,cn CHN,1. Super League,2°,24.0,,,,,,,0,,,,,,,,,Partite
2020,23,Beijing Guoan,cn CHN,1. Super League,3°,10.8,,,,,,,0,,,,,,,,,Partite
2021,24,Beijing Guoan,cn CHN,1. Super League,3°,1.9,,,,,,,0,,,,,,,,,Partite
2021-2022,24,Fenerbahçe,tr TUR,1. Süper Lig,2°,29.6,,,,,,,2,,,,,,,,,Partite
2022-2023,25,Napoli,it ITA,1. Serie A,1°,33.9,2812,2755,53,49,2,30,6,3,0,0,0,0,2552,4,15,Partite
2023-2024,26,Bayern Munich,de GER,1. Bundesliga,2°,17.7,1763,1708,53,20,3,11,1,3,0,0,0,0,1635,2,8,Partite
7 stagioni,5 club,,5 campionati,,166.5,4575,4463,106,69,5,41,9,6,0,0,0,0,4187,6,23,
,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
Beijing Guoan (3 stagioni),,1 campionato,,36.7,,,,,,,0,,,,,,,,,
Jeonbuk (2 stagioni),,1 campionato,,48.5,,,,,,,0,,,,,,,,,
Napoli (1 stagione),,1 campionato,,33.9,2812,2755,53,49,2,30,6,3,0,0,0,0,2552,4,15,
Fenerbahçe (1 stagione),,1 campionato,,29.6,,,,,,,2,,,,,,,,,
Bayern Munich (1 stagione),,1 campionato,,17.7,1763,1708,53,20,3,11,1,3,0,0,0,0,1635,2,8,
,,,,,,,,,,,,,,,,,,,,
Super League (3 stagioni),,,,36.7,,,,,,,0,,,,,,,,,
K League (2 stagioni),,,,48.5,,,,,,,0,,,,,,,,,
Serie A (1 stagione),,,,33.9,2812,2755,53,49,2,30,6,3,0,0,0,0,2552,4,15,
Süper Lig (1 stagione),,,,29.6,,,,,,,2,,,,,,,,,
Bundesliga (1 stagione),,,,17.7,1763,1708,53,20,3,11,1,3,0,0,0,0,1635,2,8,
