,Contrasti,Sfide,Blocchi,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,2006-2007,2007-2008,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,18 stagioni,,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,Torino (4 stagioni),Sampdoria (4 stagioni),Bologna (4 stagioni),Fiorentina (3 stagioni),Lazio (3 stagioni)
,Contrasti,Sfide,Blocchi,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
2006-2007,18,Lazio,it ITA,1. Serie A,3°,1.1,,,,,,,,,,,,,,,,,Partite
2007-2008,19,Lazio,it ITA,1. Serie A,12°,17.4,,,,,,,,,,,,,,,,,Partite
2008-2009,20,Lazio,it ITA,1. Serie A,10°,11.9,,,,,,,,,,,,,,,,,Partite
2009-2010,21,Fiorentina,it ITA,1. Serie A,11°,19.6,,,,,,,,,,,,,,,,,Partite
2010-2011,22,Fiorentina,it ITA,1. Serie A,9°,22.7,,,,,,,,,,,,,,,,,Partite
2011-2012,23,Fiorentina,it ITA,1. Serie A,13°,16.0,,,,,,,,,,,,,,,,,Partite
2012-2013,24,Sampdoria,it ITA,1. Serie A,14°,20.4,,,,,,,,,,,,,,,,,Partite
2013-2014,25,Sampdoria,it ITA,1. Serie A,12°,34.2,,,,,,,,,,,,,,,,,Partite
2014-2015,26,Sampdoria,it ITA,1. Serie A,7°,32.5,,,,,,,,,,,,,,,,,Partite
2015-2016,27,Sampdoria,it ITA,1. Serie A,15°,15.5,,,,,,,,,,,,,,,,,Partite
2016-2017,28,Torino,it ITA,1. Serie A,9°,13.9,,10,,,,,,,,,,,18,,,,Partite
2017-2018,29,Torino,it ITA,1. Serie A,9°,32.8,39,25,19,13,7,16,26,"61,5",10,47,10,37,27,66,165,0,Partite
2018-2019,30,Torino,it ITA,1. Serie A,7°,26.8,15,11,8,5,2,7,24,"29,2",17,53,3,50,22,37,69,2,Partite
2019-2020,31,Torino,it ITA,1. Serie A,16°,24.9,15,8,4,7,4,11,27,"40,7",16,20,7,13,19,34,72,0,Partite
2020-2021,32,Bologna,it ITA,1. Serie A,12°,23.8,34,24,18,13,3,16,37,"43,2",21,37,10,27,30,64,62,3,Partite
2021-2022,33,Bologna,it ITA,1. Serie A,13°,25.5,23,14,13,8,2,9,31,"29,0",22,25,7,18,26,49,52,0,Partite
2022-2023,34,Bologna,it ITA,1. Serie A,9°,7.5,3,2,2,0,1,3,7,"42,9",4,6,5,1,3,6,20,0,Partite
2023-2024,35,Bologna,it ITA,1. Serie A,4°,6.3,6,4,3,2,1,3,5,"60,0",2,7,3,4,5,11,19,0,Partite
18 stagioni,5 club,,1 campionato,,353.1,135,98,67,48,20,65,157,"41,4",92,195,45,150,150,267,459,5,
,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
Torino (4 stagioni),,1 campionato,,98.5,69,54,31,25,13,34,77,"44,2",43,120,20,100,86,137,306,2,
Sampdoria (4 stagioni),,1 campionato,,102.7,,,,,,,,,,,,,,0,,,
Bologna (4 stagioni),,1 campionato,,63.1,66,44,36,23,7,31,80,"38,8",49,75,25,50,64,130,153,3,
Fiorentina (3 stagioni),,1 campionato,,58.3,,,,,,,,,,,,,,0,,,
Lazio (3 stagioni),,1 campionato,,30.5,,,,,,,,,,,,,,0,,,
