,SCA,Tipologie di SCA,GCA,Tipologie di GCA,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite,2006-2007,2007-2008,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,18 stagioni,,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite,Torino (4 stagioni),Sampdoria (4 stagioni),Bologna (4 stagioni),Fiorentina (3 stagioni),Lazio (3 stagioni)
,SCA,Tipologie di SCA,GCA,Tipologie di GCA,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite
2006-2007,18,Lazio,it ITA,1. Serie A,3°,1.1,,,,,,,,,,,,,,,,,Partite
2007-2008,19,Lazio,it ITA,1. Serie A,12°,17.4,,,,,,,,,,,,,,,,,Partite
2008-2009,20,Lazio,it ITA,1. Serie A,10°,11.9,,,,,,,,,,,,,,,,,Partite
2009-2010,21,Fiorentina,it ITA,1. Serie A,11°,19.6,,,,,,,,,,,,,,,,,Partite
2010-2011,22,Fiorentina,it ITA,1. Serie A,9°,22.7,,,,,,,,,,,,,,,,,Partite
2011-2012,23,Fiorentina,it ITA,1. Serie A,13°,16.0,,,,,,,,,,,,,,,,,Partite
2012-2013,24,Sampdoria,it ITA,1. Serie A,14°,20.4,,,,,,,,,,,,,,,,,Partite
2013-2014,25,Sampdoria,it ITA,1. Serie A,12°,34.2,,,,,,,,,,,,,,,,,Partite
2014-2015,26,Sampdoria,it ITA,1. Serie A,7°,32.5,,,,,,,,,,,,,,,,,Partite
2015-2016,27,Sampdoria,it ITA,1. Serie A,15°,15.5,,,,,,,,,,,,,,,,,Partite
2016-2017,28,Torino,it ITA,1. Serie A,9°,13.9,,,,,,,,,,,,,,,,,Partite
2017-2018,29,Torino,it ITA,1. Serie A,9°,32.8,50,"1,52",36,7,3,3,0,1,6,"0,18",5,0,0,1,0,0,Partite
2018-2019,30,Torino,it ITA,1. Serie A,7°,26.8,60,"2,24",52,5,0,3,0,0,8,"0,30",6,2,0,0,0,0,Partite
2019-2020,31,Torino,it ITA,1. Serie A,16°,24.9,35,"1,40",28,3,1,1,2,0,4,"0,16",3,0,0,1,0,0,Partite
2020-2021,32,Bologna,it ITA,1. Serie A,12°,23.8,26,"1,09",20,3,0,1,1,1,1,"0,04",0,0,0,0,1,0,Partite
2021-2022,33,Bologna,it ITA,1. Serie A,13°,25.5,46,"1,80",32,9,0,2,3,0,2,"0,08",2,0,0,0,0,0,Partite
2022-2023,34,Bologna,it ITA,1. Serie A,9°,7.5,11,"1,47",11,0,0,0,0,0,0,"0,00",0,0,0,0,0,0,Partite
2023-2024,35,Bologna,it ITA,1. Serie A,4°,6.3,4,"0,63",4,0,0,0,0,0,1,"0,16",1,0,0,0,0,0,Partite
18 stagioni,5 club,,1 campionato,,353.1,232,"1,57",183,27,4,10,6,2,22,"0,15",17,2,0,2,1,0,
,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite
Torino (4 stagioni),,1 campionato,,98.5,145,"1,71",116,15,4,7,2,1,18,"0,21",14,2,0,2,0,0,
Sampdoria (4 stagioni),,1 campionato,,102.7,,,,,,,,,,,,,,,,,
Bologna (4 stagioni),,1 campionato,,63.1,87,"1,38",67,12,0,3,4,1,4,"0,06",3,0,0,0,1,0,
Fiorentina (3 stagioni),,1 campionato,,58.3,,,,,,,,,,,,,,,,,
Lazio (3 stagioni),,1 campionato,,30.5,,,,,,,,,,,,,,,,,
