,Tipologie di passaggi,Calci d'angolo,Risultati,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,2006-2007,2007-2008,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,18 stagioni,,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,Torino (4 stagioni),Sampdoria (4 stagioni),Bologna (4 stagioni),Fiorentina (3 stagioni),Lazio (3 stagioni)
,Tipologie di passaggi,Calci d'angolo,Risultati,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
2006-2007,18,Lazio,it ITA,1. Serie A,3°,1.1,,,,,,,,,,,,,,,,Partite
2007-2008,19,Lazio,it ITA,1. Serie A,12°,17.4,,,,,,,,,,,,,,,,Partite
2008-2009,20,Lazio,it ITA,1. Serie A,10°,11.9,,,,,,,,,,,,,,,,Partite
2009-2010,21,Fiorentina,it ITA,1. Serie A,11°,19.6,,,,,,,,,,,,,,,,Partite
2010-2011,22,Fiorentina,it ITA,1. Serie A,9°,22.7,,,,,,,,,,,,,,,,Partite
2011-2012,23,Fiorentina,it ITA,1. Serie A,13°,16.0,,,,,,,,,,,,,,,,Partite
2012-2013,24,Sampdoria,it ITA,1. Serie A,14°,20.4,,,,,,,,,,,,,,,,Partite
2013-2014,25,Sampdoria,it ITA,1. Serie A,12°,34.2,,,,,,,,,,,,,,,,Partite
2014-2015,26,Sampdoria,it ITA,1. Serie A,7°,32.5,,,,,,,,,,,,,,,,Partite
2015-2016,27,Sampdoria,it ITA,1. Serie A,15°,15.5,,,,,,,,,,,,,,,,Partite
2016-2017,28,Torino,it ITA,1. Serie A,9°,13.9,,,,,,,29,,,,,,,,,Partite
2017-2018,29,Torino,it ITA,1. Serie A,9°,32.8,1758,1376,377,16,0,3,81,361,0,0,0,0,1255,5,58,Partite
2018-2019,30,Torino,it ITA,1. Serie A,7°,26.8,1217,964,251,6,0,2,113,245,0,0,0,0,782,2,49,Partite
2019-2020,31,Torino,it ITA,1. Serie A,16°,24.9,965,781,180,6,0,2,81,174,0,0,0,0,698,4,32,Partite
2020-2021,32,Bologna,it ITA,1. Serie A,12°,23.8,1283,1061,221,33,0,7,43,188,0,0,0,0,954,1,27,Partite
2021-2022,33,Bologna,it ITA,1. Serie A,13°,25.5,1353,1111,235,19,0,3,57,216,0,0,0,0,990,7,32,Partite
2022-2023,34,Bologna,it ITA,1. Serie A,9°,7.5,430,352,78,6,1,1,7,72,0,0,0,0,330,0,6,Partite
2023-2024,35,Bologna,it ITA,1. Serie A,4°,6.3,350,293,56,14,0,0,5,42,0,0,0,0,303,1,6,Partite
18 stagioni,5 club,,1 campionato,,353.1,7356,5938,1398,100,1,18,416,1298,0,0,0,0,5312,20,210,
,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
Torino (4 stagioni),,1 campionato,,98.5,3940,3121,808,28,0,7,304,780,0,0,0,0,2735,11,139,
Sampdoria (4 stagioni),,1 campionato,,102.7,,,,,,,,,,,,,,,,
Bologna (4 stagioni),,1 campionato,,63.1,3416,2817,590,72,1,11,112,518,0,0,0,0,2577,9,71,
Fiorentina (3 stagioni),,1 campionato,,58.3,,,,,,,,,,,,,,,,
Lazio (3 stagioni),,1 campionato,,30.5,,,,,,,,,,,,,,,,
