,SCA,Tipologie di SCA,GCA,Tipologie di GCA,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite,,2015,2016,2016-2017,2017-2018,2018-2019,2019-2020,,2021,,2023,2023-2024,7 stagioni,,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite,Vélez Sarsfield (7 stagioni),Udinese (1 stagione),,Primera Div (7 stagioni),Serie A (1 stagione)
,SCA,Tipologie di SCA,GCA,Tipologie di GCA,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite
,,,,,,,,,,,,,,,,,,,,,,,
2015,21,Vélez Sarsfield,ar ARG,1. Primera Div,27°,14.8,,,,,,,,,,,,,,,,,Partite
2016,22,Vélez Sarsfield,ar ARG,1. Primera Div,6°,13.5,,,,,,,,,,,,,,,,,Partite
2016-2017,22,Vélez Sarsfield,ar ARG,1. Primera Div,19°,16.4,8,"0,49",6,0,0,2,0,0,0,"0,00",0,0,0,0,0,0,Partite
2017-2018,23,Vélez Sarsfield,ar ARG,1. Primera Div,14°,4.1,2,"0,49",2,0,0,0,0,0,1,"0,24",1,0,0,0,0,0,Partite
2018-2019,24,Vélez Sarsfield,ar ARG,1. Primera Div,6°,11.0,5,"0,45",5,0,0,0,0,0,0,"0,00",0,0,0,0,0,0,Partite
2019-2020,25,Vélez Sarsfield,ar ARG,1. Primera Div,3°,21.0,19,"0,91",19,0,0,0,0,0,3,"0,14",3,0,0,0,0,0,Partite
,,,,,,,,,,,,,,,,,,,,,,,
2021,27,Vélez Sarsfield,ar ARG,1. Primera Div,5°,21.8,12,"0,55",11,0,0,1,0,0,0,"0,00",0,0,0,0,0,0,Partite
,,,,,,,,,,,,,,,,,,,,,,,
2023,29,Vélez Sarsfield,ar ARG,1. Primera Div,25°,19.0,8,"0,42",8,0,0,0,0,0,1,"0,05",1,0,0,0,0,0,Partite
2023-2024,29,Udinese,it ITA,1. Serie A,14°,5.0,2,"0,40",2,0,0,0,0,0,0,"0,00",0,0,0,0,0,0,Partite
7 stagioni,2 club,,2 campionati,,126.6,56,"0,57",53,0,0,3,0,0,5,"0,05",5,0,0,0,0,0,
,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite
Vélez Sarsfield (7 stagioni),,1 campionato,,121.6,54,"0,58",51,0,0,3,0,0,5,"0,05",5,0,0,0,0,0,
Udinese (1 stagione),,1 campionato,,5.0,2,"0,40",2,0,0,0,0,0,0,"0,00",0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,
Primera Div (7 stagioni),,,,121.6,54,"0,58",51,0,0,3,0,0,5,"0,05",5,0,0,0,0,0,
Serie A (1 stagione),,,,5.0,2,"0,40",2,0,0,0,0,0,0,"0,00",0,0,0,0,0,0,
