,Totali,Brevi,Medi,Lunghi,,Prestazione prevista,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite,,2015,2016,2016-2017,2017-2018,2018-2019,2019-2020,,2021,,2023,2023-2024,7 stagioni,,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite,Vélez Sarsfield (7 stagioni),Udinese (1 stagione),,Primera Div (7 stagioni),Serie A (1 stagione)
,Totali,Brevi,Medi,Lunghi,,Prestazione prevista,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,21,Vélez Sarsfield,ar ARG,1. Primera Div,27°,14.8,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2016,22,Vélez Sarsfield,ar ARG,1. Primera Div,6°,13.5,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2016-2017,22,Vélez Sarsfield,ar ARG,1. Primera Div,19°,16.4,403,556,"72,5",7841,3078,133,160,"83,1",204,271,"75,3",51,95,"53,7",0,0.0,0.0,0.0,0,17,1,0,33,Partite
2017-2018,23,Vélez Sarsfield,ar ARG,1. Primera Div,14°,4.1,100,134,"74,6",1824,733,31,38,"81,6",52,62,"83,9",10,19,"52,6",0,0.0,0.0,0.0,0,2,0,0,6,Partite
2018-2019,24,Vélez Sarsfield,ar ARG,1. Primera Div,6°,11.0,430,499,"86,2",7742,2216,155,169,"91,7",232,258,"89,9",34,57,"59,6",0,0.1,0.2,-0.1,1,19,0,0,23,Partite
2019-2020,25,Vélez Sarsfield,ar ARG,1. Primera Div,3°,21.0,1077,1274,"84,5",21377,7531,304,352,"86,4",671,742,"90,4",95,156,"60,9",1,0.3,0.2,+0.7,9,88,2,0,111,Partite
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,27,Vélez Sarsfield,ar ARG,1. Primera Div,5°,21.8,1168,1328,"88,0",22149,8869,379,422,"89,8",679,733,"92,6",91,143,"63,6",0,0.5,0.3,-0.5,3,43,0,0,84,Partite
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023,29,Vélez Sarsfield,ar ARG,1. Primera Div,25°,19.0,680,845,"80,5",13713,5252,212,258,"82,2",373,428,"87,1",91,142,"64,1",1,0.2,1.0,+0.8,3,22,1,0,45,Partite
2023-2024,29,Udinese,it ITA,1. Serie A,14°,5.0,204,224,"91,1",4274,1471,48,52,"92,3",125,134,"93,3",28,33,"84,8",0,0.1,0.1,-0.1,1,2,0,0,2,Partite
7 stagioni,2 club,,2 campionati,,126.6,4062,4860,"83,6",78920,29150,1262,1451,"87,0",2336,2628,"88,9",400,645,"62,0",2,1.1,1.9,+0.9,17,193,4,0,304,
,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite
Vélez Sarsfield (7 stagioni),,1 campionato,,121.6,3858,4636,"83,2",74646,27679,1214,1399,"86,8",2211,2494,"88,7",372,612,"60,8",2,1.1,1.8,+0.9,16,191,4,0,302,
Udinese (1 stagione),,1 campionato,,5.0,204,224,"91,1",4274,1471,48,52,"92,3",125,134,"93,3",28,33,"84,8",0,0.1,0.1,-0.1,1,2,0,0,2,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Primera Div (7 stagioni),,,,121.6,3858,4636,"83,2",74646,27679,1214,1399,"86,8",2211,2494,"88,7",372,612,"60,8",2,1.1,1.8,+0.9,16,191,4,0,302,
Serie A (1 stagione),,,,5.0,204,224,"91,1",4274,1471,48,52,"92,3",125,134,"93,3",28,33,"84,8",0,0.1,0.1,-0.1,1,2,0,0,2,
