,Tipologie di passaggi,Calci d'angolo,Risultati,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,,2015,2016,2016-2017,2017-2018,2018-2019,2019-2020,,2021,,2023,2023-2024,7 stagioni,,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,Vélez Sarsfield (7 stagioni),Udinese (1 stagione),,Primera Div (7 stagioni),Serie A (1 stagione)
,Tipologie di passaggi,Calci d'angolo,Risultati,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
,,,,,,,,,,,,,,,,,,,,,,
2015,21,Vélez Sarsfield,ar ARG,1. Primera Div,27°,14.8,,,,,,,,,,,,,,,,Partite
2016,22,Vélez Sarsfield,ar ARG,1. Primera Div,6°,13.5,,,,,,,0,,,,,,,,,Partite
2016-2017,22,Vélez Sarsfield,ar ARG,1. Primera Div,19°,16.4,556,543,11,11,0,5,0,0,0,0,0,0,403,2,7,Partite
2017-2018,23,Vélez Sarsfield,ar ARG,1. Primera Div,14°,4.1,134,132,1,1,0,0,0,0,0,0,0,0,100,1,6,Partite
2018-2019,24,Vélez Sarsfield,ar ARG,1. Primera Div,6°,11.0,499,467,30,27,0,2,0,3,0,0,0,0,430,2,2,Partite
2019-2020,25,Vélez Sarsfield,ar ARG,1. Primera Div,3°,21.0,1274,1209,65,48,0,1,0,17,0,0,0,0,1077,0,11,Partite
,,,,,,,,,,,,,,,,,,,,,,
2021,27,Vélez Sarsfield,ar ARG,1. Primera Div,5°,21.8,1328,1216,111,50,2,7,0,2,0,0,0,0,1168,1,5,Partite
,,,,,,,,,,,,,,,,,,,,,,
2023,29,Vélez Sarsfield,ar ARG,1. Primera Div,25°,19.0,845,803,41,40,1,7,0,0,0,0,0,0,680,1,3,Partite
2023-2024,29,Udinese,it ITA,1. Serie A,14°,5.0,224,220,4,4,0,0,0,0,0,0,0,0,204,0,1,Partite
7 stagioni,2 club,,2 campionati,,126.6,4860,4590,263,181,3,22,0,22,0,0,0,0,4062,7,35,
,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
Vélez Sarsfield (7 stagioni),,1 campionato,,121.6,4636,4370,259,177,3,22,0,22,0,0,0,0,3858,7,34,
Udinese (1 stagione),,1 campionato,,5.0,224,220,4,4,0,0,0,0,0,0,0,0,204,0,1,
,,,,,,,,,,,,,,,,,,,,
Primera Div (7 stagioni),,,,121.6,4636,4370,259,177,3,22,0,22,0,0,0,0,3858,7,34,
Serie A (1 stagione),,,,5.0,224,220,4,4,0,0,0,0,0,0,0,0,204,0,1,
