,Contrasti,Sfide,Blocchi,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,2017,2018-2019,2019-2020,2020-2021,2021-2022,2021-2022,2021-2022,2022-2023,2023-2024,7 stagioni,,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,Napoli (2 stagioni),Molde (2 stagioni),Coventry City (1 stagione),St. Pauli (1 stagione),Genoa (1 stagione),Stoke City (1 stagione),Brighton (1 stagione),Stoke City (1 stagione),,Serie A (3 stagioni),Championship (2 stagioni),Eliteserien (2 stagioni),2. Bundesliga (1 stagione),PL2 — Div. 1 (1 stagione),PL2 — Div. 2 (1 stagione)
,Contrasti,Sfide,Blocchi,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
2017,17,Molde,no NOR,1. Eliteserien,2°,0.1,,0,,,,,,,,,,,0,,,,Partite
2018-2019,18,Brighton,eng ENG,Jr. PL2 — Div. 1,3°,11.2,,,,,,,,,,,,,,,,,Partite
2019-2020,19,St. Pauli,de GER,2. 2. Bundesliga,14°,26.1,21,12,15,6,0,12,16,"75,0",4,43,34,9,33,54,141,3,Partite
2020-2021,20,Coventry City,eng ENG,2. Championship,16°,34.7,27,18,16,9,2,17,27,"63,0",10,26,19,7,40,67,166,3,Partite
2021-2022,21,Stoke City,eng ENG,2. Championship,14°,12.2,4,2,3,1,0,3,4,"75,0",1,12,7,5,20,24,43,1,Partite
2021-2022,21,Genoa,it ITA,1. Serie A,19°,13.0,16,9,8,7,1,9,11,"81,8",2,17,10,7,8,24,55,1,Partite
2021-2022,21,Stoke City,eng ENG,Jr. PL2 — Div. 2,3°,1.0,,,,,,,,,,,,,,,,,Partite
2022-2023,22,Napoli,it ITA,1. Serie A,1°,4.7,4,1,3,1,0,1,1,"100,0",0,3,3,0,6,10,18,1,Partite
2023-2024,23,Napoli,it ITA,1. Serie A,9°,11.7,19,10,11,7,1,4,7,"57,1",3,10,7,3,12,31,41,0,Partite
7 stagioni,6 club,,4 campionati,,102.5,91,52,56,31,4,46,66,"69,7",20,111,80,31,119,210,464,9,
,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
Napoli (2 stagioni),,1 campionato,,16.4,23,11,14,8,1,5,8,"62,5",3,13,10,3,18,41,59,1,
Molde (2 stagioni),,1 campionato,,0.1,,0,,,,,,,,,,,0,0,,,
Coventry City (1 stagione),,1 campionato,,34.7,27,18,16,9,2,17,27,"63,0",10,26,19,7,40,67,166,3,
St. Pauli (1 stagione),,1 campionato,,26.1,21,12,15,6,0,12,16,"75,0",4,43,34,9,33,54,141,3,
Genoa (1 stagione),,1 campionato,,13.0,16,9,8,7,1,9,11,"81,8",2,17,10,7,8,24,55,1,
Stoke City (1 stagione),,1 campionato,,12.2,4,2,3,1,0,3,4,"75,0",1,12,7,5,20,24,43,1,
Brighton (1 stagione),,1 campionato,,11.2,,,,,,,,,,,,,,0,,,
Stoke City (1 stagione),,1 campionato,,1.0,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,
Serie A (3 stagioni),,,,29.4,39,20,22,15,2,14,19,"73,7",5,30,20,10,26,65,114,2,
Championship (2 stagioni),,,,46.9,31,20,19,10,2,20,31,"64,5",11,38,26,12,60,91,209,4,
Eliteserien (2 stagioni),,,,0.1,,0,,,,,,,,,,,0,0,,,
2. Bundesliga (1 stagione),,,,26.1,21,12,15,6,0,12,16,"75,0",4,43,34,9,33,54,141,3,
PL2 — Div. 1 (1 stagione),,,,11.2,,,,,,,,,,,,,,0,,,
PL2 — Div. 2 (1 stagione),,,,1.0,,,,,,,,,,,,,,0,,,
