,SCA,Tipologie di SCA,GCA,Tipologie di GCA,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite,2017,2018-2019,2019-2020,2020-2021,2021-2022,2021-2022,2021-2022,2022-2023,2023-2024,7 stagioni,,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite,Napoli (2 stagioni),Molde (2 stagioni),Coventry City (1 stagione),St. Pauli (1 stagione),Genoa (1 stagione),Stoke City (1 stagione),Brighton (1 stagione),Stoke City (1 stagione),,Serie A (3 stagioni),Championship (2 stagioni),Eliteserien (2 stagioni),2. Bundesliga (1 stagione),PL2 — Div. 1 (1 stagione),PL2 — Div. 2 (1 stagione)
,SCA,Tipologie di SCA,GCA,Tipologie di GCA,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite
2017,17,Molde,no NOR,1. Eliteserien,2°,0.1,,,,,,,,,,,,,,,,,Partite
2018-2019,18,Brighton,eng ENG,Jr. PL2 — Div. 1,3°,11.2,,,,,,,,,,,,,,,,,Partite
2019-2020,19,St. Pauli,de GER,2. 2. Bundesliga,14°,26.1,12,"0,46",7,4,0,0,0,1,0,"0,00",0,0,0,0,0,0,Partite
2020-2021,20,Coventry City,eng ENG,2. Championship,16°,34.7,31,"0,89",25,1,0,3,2,0,4,"0,12",3,0,0,1,0,0,Partite
2021-2022,21,Stoke City,eng ENG,2. Championship,14°,12.2,5,"0,41",4,0,0,1,0,0,1,"0,08",0,0,0,1,0,0,Partite
2021-2022,21,Genoa,it ITA,1. Serie A,19°,13.0,12,"0,92",10,0,0,2,0,0,0,"0,00",0,0,0,0,0,0,Partite
2021-2022,21,Stoke City,eng ENG,Jr. PL2 — Div. 2,3°,1.0,,,,,,,,,,,,,,,,,Partite
2022-2023,22,Napoli,it ITA,1. Serie A,1°,4.7,2,"0,43",2,0,0,0,0,0,0,"0,00",0,0,0,0,0,0,Partite
2023-2024,23,Napoli,it ITA,1. Serie A,9°,11.7,8,"0,68",7,0,0,0,0,1,0,"0,00",0,0,0,0,0,0,Partite
7 stagioni,6 club,,4 campionati,,102.5,70,"0,68",55,5,0,6,2,2,5,"0,05",3,0,0,2,0,0,
,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite
Napoli (2 stagioni),,1 campionato,,16.4,10,"0,61",9,0,0,0,0,1,0,"0,00",0,0,0,0,0,0,
Molde (2 stagioni),,1 campionato,,0.1,,,,,,,,,,,,,,,,,
Coventry City (1 stagione),,1 campionato,,34.7,31,"0,89",25,1,0,3,2,0,4,"0,12",3,0,0,1,0,0,
St. Pauli (1 stagione),,1 campionato,,26.1,12,"0,46",7,4,0,0,0,1,0,"0,00",0,0,0,0,0,0,
Genoa (1 stagione),,1 campionato,,13.0,12,"0,92",10,0,0,2,0,0,0,"0,00",0,0,0,0,0,0,
Stoke City (1 stagione),,1 campionato,,12.2,5,"0,41",4,0,0,1,0,0,1,"0,08",0,0,0,1,0,0,
Brighton (1 stagione),,1 campionato,,11.2,,,,,,,,,,,,,,,,,
Stoke City (1 stagione),,1 campionato,,1.0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Serie A (3 stagioni),,,,29.4,22,"0,75",19,0,0,2,0,1,0,"0,00",0,0,0,0,0,0,
Championship (2 stagioni),,,,46.9,36,"0,77",29,1,0,4,2,0,5,"0,11",3,0,0,2,0,0,
Eliteserien (2 stagioni),,,,0.1,,,,,,,,,,,,,,,,,
2. Bundesliga (1 stagione),,,,26.1,12,"0,46",7,4,0,0,0,1,0,"0,00",0,0,0,0,0,0,
PL2 — Div. 1 (1 stagione),,,,11.2,,,,,,,,,,,,,,,,,
PL2 — Div. 2 (1 stagione),,,,1.0,,,,,,,,,,,,,,,,,
