,Totali,Brevi,Medi,Lunghi,,Prestazione prevista,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite,2017,2018-2019,2019-2020,2020-2021,2021-2022,2021-2022,2021-2022,2022-2023,2023-2024,7 stagioni,,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite,Napoli (2 stagioni),Molde (2 stagioni),Coventry City (1 stagione),St. Pauli (1 stagione),Genoa (1 stagione),Stoke City (1 stagione),Brighton (1 stagione),Stoke City (1 stagione),,Serie A (3 stagioni),Championship (2 stagioni),Eliteserien (2 stagioni),2. Bundesliga (1 stagione),PL2 — Div. 1 (1 stagione),PL2 — Div. 2 (1 stagione)
,Totali,Brevi,Medi,Lunghi,,Prestazione prevista,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite
2017,17,Molde,no NOR,1. Eliteserien,2°,0.1,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2018-2019,18,Brighton,eng ENG,Jr. PL2 — Div. 1,3°,11.2,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2019-2020,19,St. Pauli,de GER,2. 2. Bundesliga,14°,26.1,1082,1426,"75,9",24184,10019,266,327,"81,3",599,715,"83,8",208,353,"58,9",0,0.1,0.3,-0.1,4,61,8,1,75,Partite
2020-2021,20,Coventry City,eng ENG,2. Championship,16°,34.7,1025,1517,"67,6",20687,9326,363,470,"77,2",477,651,"73,3",163,336,"48,5",2,1.7,1.3,+0.3,8,83,9,0,94,Partite
2021-2022,21,Stoke City,eng ENG,2. Championship,14°,12.2,653,843,"77,5",11576,4404,300,322,"93,2",291,366,"79,5",55,133,"41,4",0,0.2,0.2,-0.2,1,48,4,1,49,Partite
2021-2022,21,Genoa,it ITA,1. Serie A,19°,13.0,392,556,"70,5",7513,3419,152,185,"82,2",192,257,"74,7",43,99,"43,4",0,0.2,0.6,-0.2,2,36,1,0,38,Partite
2021-2022,21,Stoke City,eng ENG,Jr. PL2 — Div. 2,3°,1.0,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2022-2023,22,Napoli,it ITA,1. Serie A,1°,4.7,306,357,"85,7",6056,2161,108,118,"91,5",150,173,"86,7",41,55,"74,5",0,0.0,0.1,0.0,0,26,0,0,23,Partite
2023-2024,23,Napoli,it ITA,1. Serie A,9°,11.7,742,847,"87,6",13856,4954,241,263,"91,6",433,464,"93,3",57,100,"57,0",0,0.1,0.2,-0.1,3,36,3,0,42,Partite
7 stagioni,6 club,,4 campionati,,102.5,4200,5546,"75,7",83872,34283,1430,1685,"84,9",2142,2626,"81,6",567,1076,"52,7",2,2.3,2.6,-0.3,18,290,25,2,321,
,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite
Napoli (2 stagioni),,1 campionato,,16.4,1048,1204,"87,0",19912,7115,349,381,"91,6",583,637,"91,5",98,155,"63,2",0,0.1,0.2,-0.1,3,62,3,0,65,
Molde (2 stagioni),,1 campionato,,0.1,,,,,,,,,,,,,,,0,,,,,,,,,
Coventry City (1 stagione),,1 campionato,,34.7,1025,1517,"67,6",20687,9326,363,470,"77,2",477,651,"73,3",163,336,"48,5",2,1.7,1.3,+0.3,8,83,9,0,94,
St. Pauli (1 stagione),,1 campionato,,26.1,1082,1426,"75,9",24184,10019,266,327,"81,3",599,715,"83,8",208,353,"58,9",0,0.1,0.3,-0.1,4,61,8,1,75,
Genoa (1 stagione),,1 campionato,,13.0,392,556,"70,5",7513,3419,152,185,"82,2",192,257,"74,7",43,99,"43,4",0,0.2,0.6,-0.2,2,36,1,0,38,
Stoke City (1 stagione),,1 campionato,,12.2,653,843,"77,5",11576,4404,300,322,"93,2",291,366,"79,5",55,133,"41,4",0,0.2,0.2,-0.2,1,48,4,1,49,
Brighton (1 stagione),,1 campionato,,11.2,,,,,,,,,,,,,,,0,,,,,,,,,
Stoke City (1 stagione),,1 campionato,,1.0,,,,,,,,,,,,,,,0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serie A (3 stagioni),,,,29.4,1440,1760,"81,8",27425,10534,501,566,"88,5",775,894,"86,7",141,254,"55,5",0,0.3,0.8,-0.3,5,98,4,0,103,
Championship (2 stagioni),,,,46.9,1678,2360,"71,1",32263,13730,663,792,"83,7",768,1017,"75,5",218,469,"46,5",2,1.9,1.4,+0.1,9,131,13,1,143,
Eliteserien (2 stagioni),,,,0.1,,,,,,,,,,,,,,,0,,,,,,,,,
2. Bundesliga (1 stagione),,,,26.1,1082,1426,"75,9",24184,10019,266,327,"81,3",599,715,"83,8",208,353,"58,9",0,0.1,0.3,-0.1,4,61,8,1,75,
PL2 — Div. 1 (1 stagione),,,,11.2,,,,,,,,,,,,,,,0,,,,,,,,,
PL2 — Div. 2 (1 stagione),,,,1.0,,,,,,,,,,,,,,,0,,,,,,,,,
