,Totali,Brevi,Medi,Lunghi,,Prestazione prevista,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,10 stagioni,,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite,Roma (8 stagioni),Sassuolo (2 stagioni)
,Totali,Brevi,Medi,Lunghi,,Prestazione prevista,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite
2014-2015,18,Roma,it ITA,1. Serie A,2°,0.3,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2015-2016,19,Sassuolo,it ITA,1. Serie A,6°,12.8,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2016-2017,20,Sassuolo,it ITA,1. Serie A,12°,21.6,,,,,,,,,,,,,,,6,,,,,,,,,Partite
2017-2018,21,Roma,it ITA,1. Serie A,3°,20.0,787,1016,"77,5",12942,4049,382,449,"85,1",289,356,"81,2",79,135,"58,5",2,4.1,3.8,-2.1,45,103,23,7,123,Partite
2018-2019,22,Roma,it ITA,1. Serie A,6°,20.2,727,982,"74,0",11822,3912,371,426,"87,1",224,301,"74,4",88,165,"53,3",3,4.6,4.1,-1.6,59,61,27,6,93,Partite
2019-2020,23,Roma,it ITA,1. Serie A,5°,23.3,913,1210,"75,5",16548,4954,428,490,"87,3",338,423,"79,9",120,215,"55,8",9,8.1,6.4,+0.9,65,96,53,9,165,Partite
2020-2021,24,Roma,it ITA,1. Serie A,7°,28.9,1089,1429,"76,2",19495,5567,520,595,"87,4",403,492,"81,9",144,265,"54,3",6,8.0,6.0,-2.0,61,121,41,8,147,Partite
2021-2022,25,Roma,it ITA,1. Serie A,6°,25.4,776,1106,"70,2",13848,4796,351,417,"84,2",279,368,"75,8",114,230,"49,6",3,7.0,6.9,-4.0,68,84,35,5,136,Partite
2022-2023,26,Roma,it ITA,1. Serie A,6°,28.3,816,1114,"73,2",14299,4489,390,452,"86,3",275,352,"78,1",118,238,"49,6",5,6.9,6.2,-1.9,70,62,23,3,106,Partite
2023-2024,27,Roma,it ITA,1. Serie A,5°,13.5,438,565,"77,5",6570,1881,241,270,"89,3",150,176,"85,2",26,69,"37,7",3,1.7,1.7,+1.3,24,47,8,0,59,Partite
10 stagioni,2 club,,1 campionato,,194.2,5546,7422,"74,7",95524,29648,2683,3099,"86,6",1958,2468,"79,3",689,1317,"52,3",37,40.4,35.0,-3.4,392,574,210,38,829,
,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite
Roma (8 stagioni),,1 campionato,,159.9,5546,7422,"74,7",95524,29648,2683,3099,"86,6",1958,2468,"79,3",689,1317,"52,3",31,40.4,35.0,-9.4,392,574,210,38,829,
Sassuolo (2 stagioni),,1 campionato,,34.3,,,,,,,,,,,,,,,6,,,,,,,,,
