,Tipologie di passaggi,Calci d'angolo,Risultati,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,2012-2013,2012-2013,2013-2014,2014-2015,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,12 stagioni,,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,Roma (5 stagioni),Atalanta (3 stagioni),Perugia (1 stagione),Siena (1 stagione),Vicenza (1 stagione),Juventus (1 stagione),Empoli (1 stagione),Virtus Lanciano (1 stagione),,Serie A (9 stagioni),Serie B (4 stagioni)
,Tipologie di passaggi,Calci d'angolo,Risultati,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
2012-2013,19,Virtus Lanciano,it ITA,2. Serie B,18°,0.3,,,,,,,,,,,,,,,,
2012-2013,19,Empoli,it ITA,2. Serie B,4°,1.8,,,,,,,,,,,,,,,,
2013-2014,20,Siena,it ITA,2. Serie B,9°,16.3,,,,,,,,,,,,,,,,
2014-2015,21,Vicenza,it ITA,2. Serie B,3°,3.7,,,,,,,,,,,,,,,,Partite
2014-2015,21,Atalanta,it ITA,1. Serie A,17°,0.5,,,,,,,,,,,,,,,,Partite
2015-2016,22,Perugia,it ITA,2. Serie B,10°,27.0,,,,,,,,,,,,,,,,Partite
2016-2017,23,Atalanta,it ITA,1. Serie A,4°,27.7,,,,,,,107,,,,,,,,,Partite
2017-2018,24,Atalanta,it ITA,1. Serie A,7°,16.7,980,857,122,14,1,10,65,108,0,0,0,0,741,1,38,Partite
2018-2019,25,Juventus,it ITA,1. Serie A,1°,6.7,371,329,42,0,0,4,29,42,0,0,0,0,296,0,8,Partite
2019-2020,26,Roma,it ITA,1. Serie A,5°,17.2,1007,841,166,20,0,10,71,146,0,0,0,0,797,0,27,Partite
2020-2021,27,Roma,it ITA,1. Serie A,7°,23.6,1227,1079,145,12,2,13,103,133,0,0,0,0,957,3,33,Partite
2021-2022,28,Roma,it ITA,1. Serie A,6°,1.4,74,58,15,0,0,0,4,15,0,0,0,0,63,1,2,Partite
2022-2023,29,Roma,it ITA,1. Serie A,6°,18.4,989,806,179,14,4,14,57,165,0,0,0,0,750,4,21,Partite
2023-2024,30,Roma,it ITA,1. Serie A,5°,12.2,690,587,98,4,3,5,70,94,0,0,0,0,534,5,13,Partite
12 stagioni,8 club,,2 campionati,,173.4,5338,4557,767,64,10,56,506,703,0,0,0,0,4138,14,142,
,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
Roma (5 stagioni),,1 campionato,,72.8,3987,3371,603,50,9,42,305,553,0,0,0,0,3101,13,96,
Atalanta (3 stagioni),,1 campionato,,44.9,980,857,122,14,1,10,172,108,0,0,0,0,741,1,38,
Perugia (1 stagione),,1 campionato,,27.0,,,,,,,,,,,,,,,,
Siena (1 stagione),,1 campionato,,16.3,,,,,,,,,,,,,,,,
Vicenza (1 stagione),,1 campionato,,3.7,,,,,,,,,,,,,,,,
Juventus (1 stagione),,1 campionato,,6.7,371,329,42,0,0,4,29,42,0,0,0,0,296,0,8,
Empoli (1 stagione),,1 campionato,,1.8,,,,,,,,,,,,,,,,
Virtus Lanciano (1 stagione),,1 campionato,,0.3,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Serie A (9 stagioni),,,,124.4,5338,4557,767,64,10,56,506,703,0,0,0,0,4138,14,142,
Serie B (4 stagioni),,,,49.0,,,,,,,,,,,,,,,,
