,SCA,Tipologie di SCA,GCA,Tipologie di GCA,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,13 stagioni,,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite,Empoli (8 stagioni),Sampdoria (4 stagioni),Napoli (3 stagioni),,Serie A (9 stagioni),Serie B (4 stagioni)
,SCA,Tipologie di SCA,GCA,Tipologie di GCA,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite
2010-2011,20,Empoli,it ITA,2. Serie B,9°,13.7,,,,,,,,,,,,,,,,,
2011-2012,21,Empoli,it ITA,2. Serie B,18°,12.2,,,,,,,,,,,,,,,,,
2012-2013,22,Empoli,it ITA,2. Serie B,4°,31.2,,,,,,,,,,,,,,,,,
2013-2014,23,Empoli,it ITA,2. Serie B,2°,36.5,,,,,,,,,,,,,,,,,
2014-2015,24,Empoli,it ITA,1. Serie A,15°,25.5,,,,,,,,,,,,,,,,,Partite
2015-2016,25,Empoli,it ITA,1. Serie A,10°,25.4,,,,,,,,,,,,,,,,,Partite
2016-2017,26,Napoli,it ITA,1. Serie A,3°,3.0,,,,,,,,,,,,,,,,,Partite
2017-2018,27,Napoli,it ITA,1. Serie A,2°,3.9,4,"1,03",2,0,1,1,0,0,0,"0,00",0,0,0,0,0,0,Partite
2018-2019,28,Sampdoria,it ITA,1. Serie A,9°,18.4,13,"0,71",11,0,0,1,1,0,3,"0,16",3,0,0,0,0,0,Partite
2019-2020,29,Sampdoria,it ITA,1. Serie A,15°,7.8,5,"0,64",3,1,0,1,0,0,0,"0,00",0,0,0,0,0,0,Partite
2020-2021,30,Sampdoria,it ITA,1. Serie A,9°,19.8,5,"0,25",2,0,0,3,0,0,3,"0,15",2,0,0,1,0,0,Partite
2021-2022,31,Empoli,it ITA,1. Serie A,14°,9.7,14,"1,45",11,0,0,1,1,1,1,"0,10",1,0,0,0,0,0,Partite
2022-2023,32,Empoli,it ITA,1. Serie A,14°,0.2,0,"0,00",0,0,0,0,0,0,0,"0,00",0,0,0,0,0,0,Partite
13 stagioni,3 club,,2 campionati,,207.4,41,"0,69",29,1,1,7,2,1,7,"0,12",6,0,0,1,0,0,
,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite
Empoli (8 stagioni),,2 campionati,,154.5,14,"1,42",11,0,0,1,1,1,1,"0,10",1,0,0,0,0,0,
Sampdoria (4 stagioni),,1 campionato,,46.0,23,"0,50",16,1,0,5,1,0,6,"0,13",5,0,0,1,0,0,
Napoli (3 stagioni),,1 campionato,,6.9,4,"1,03",2,0,1,1,0,0,0,"0,00",0,0,0,0,0,0,
,,,,,,,,,,,,,,,,,,,,,
Serie A (9 stagioni),,,,113.7,41,"0,69",29,1,1,7,2,1,7,"0,12",6,0,0,1,0,0,
Serie B (4 stagioni),,,,93.7,,,,,,,,,,,,,,,,,
