,Totali,Brevi,Medi,Lunghi,,Prestazione prevista,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,13 stagioni,,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite,Empoli (8 stagioni),Sampdoria (4 stagioni),Napoli (3 stagioni),,Serie A (9 stagioni),Serie B (4 stagioni)
,Totali,Brevi,Medi,Lunghi,,Prestazione prevista,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite
2010-2011,20,Empoli,it ITA,2. Serie B,9°,13.7,,,,,,,,,,,,,,,2,,,,,,,,,
2011-2012,21,Empoli,it ITA,2. Serie B,18°,12.2,,,,,,,,,,,,,,,0,,,,,,,,,
2012-2013,22,Empoli,it ITA,2. Serie B,4°,31.2,,,,,,,,,,,,,,,0,,,,,,,,,
2013-2014,23,Empoli,it ITA,2. Serie B,2°,36.5,,,,,,,,,,,,,,,0,,,,,,,,,
2014-2015,24,Empoli,it ITA,1. Serie A,15°,25.5,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2015-2016,25,Empoli,it ITA,1. Serie A,10°,25.4,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2016-2017,26,Napoli,it ITA,1. Serie A,3°,3.0,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2017-2018,27,Napoli,it ITA,1. Serie A,2°,3.9,218,232,"94,0",3231,1331,109,113,"96,5",83,87,"95,4",13,15,"86,7",0,0.0,0.3,0.0,0,10,0,0,14,Partite
2018-2019,28,Sampdoria,it ITA,1. Serie A,9°,18.4,1054,1192,"88,4",18500,7563,406,435,"93,3",542,594,"91,2",75,113,"66,4",0,0.0,0.3,0.0,1,61,4,0,91,Partite
2019-2020,29,Sampdoria,it ITA,1. Serie A,15°,7.8,305,374,"81,6",6236,2718,104,118,"88,1",156,177,"88,1",43,75,"57,3",0,0.0,0.1,0.0,0,28,2,0,32,Partite
2020-2021,30,Sampdoria,it ITA,1. Serie A,9°,19.8,742,913,"81,3",15266,4824,226,256,"88,3",395,447,"88,4",110,183,"60,1",0,0.0,0.1,0.0,0,22,0,0,42,Partite
2021-2022,31,Empoli,it ITA,1. Serie A,14°,9.7,463,560,"82,7",9035,4197,161,179,"89,9",237,263,"90,1",58,99,"58,6",0,0.3,0.4,-0.3,6,40,5,1,43,Partite
2022-2023,32,Empoli,it ITA,1. Serie A,14°,0.2,5,7,"71,4",81,46,3,3,"100,0",1,2,"50,0",1,2,"50,0",0,0.0,0.0,0.0,0,0,0,0,0,Partite
13 stagioni,3 club,,2 campionati,,207.4,2787,3278,"85,0",52349,20679,1009,1104,"91,4",1414,1570,"90,1",300,487,"61,6",2,0.3,1.3,+1.7,7,161,11,1,222,
,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite
Empoli (8 stagioni),,2 campionati,,154.5,468,567,"82,5",9116,4243,164,182,"90,1",238,265,"89,8",59,101,"58,4",2,0.3,0.4,+1.7,6,40,5,1,43,
Sampdoria (4 stagioni),,1 campionato,,46.0,2101,2479,"84,8",40002,15105,736,809,"91,0",1093,1218,"89,7",228,371,"61,5",0,0.0,0.6,0.0,1,111,6,0,165,
Napoli (3 stagioni),,1 campionato,,6.9,218,232,"94,0",3231,1331,109,113,"96,5",83,87,"95,4",13,15,"86,7",0,0.0,0.3,0.0,0,10,0,0,14,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serie A (9 stagioni),,,,113.7,2787,3278,"85,0",52349,20679,1009,1104,"91,4",1414,1570,"90,1",300,487,"61,6",0,0.3,1.3,-0.3,7,161,11,1,222,
Serie B (4 stagioni),,,,93.7,,,,,,,,,,,,,,,2,,,,,,,,,
