,Tipologie di passaggi,Calci d'angolo,Risultati,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,13 stagioni,,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,Empoli (8 stagioni),Sampdoria (4 stagioni),Napoli (3 stagioni),,Serie A (9 stagioni),Serie B (4 stagioni)
,Tipologie di passaggi,Calci d'angolo,Risultati,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
2010-2011,20,Empoli,it ITA,2. Serie B,9°,13.7,,,,,,,,,,,,,,,,
2011-2012,21,Empoli,it ITA,2. Serie B,18°,12.2,,,,,,,,,,,,,,,,
2012-2013,22,Empoli,it ITA,2. Serie B,4°,31.2,,,,,,,,,,,,,,,,
2013-2014,23,Empoli,it ITA,2. Serie B,2°,36.5,,,,,,,,,,,,,,,,
2014-2015,24,Empoli,it ITA,1. Serie A,15°,25.5,,,,,,,,,,,,,,,,Partite
2015-2016,25,Empoli,it ITA,1. Serie A,10°,25.4,,,,,,,,,,,,,,,,Partite
2016-2017,26,Napoli,it ITA,1. Serie A,3°,3.0,,,,,,,0,,,,,,,,,Partite
2017-2018,27,Napoli,it ITA,1. Serie A,2°,3.9,232,223,9,9,0,0,0,0,0,0,0,0,218,0,3,Partite
2018-2019,28,Sampdoria,it ITA,1. Serie A,9°,18.4,1192,1122,65,64,0,2,0,1,0,0,0,0,1054,5,10,Partite
2019-2020,29,Sampdoria,it ITA,1. Serie A,15°,7.8,374,359,15,14,0,9,1,1,0,0,0,0,305,0,2,Partite
2020-2021,30,Sampdoria,it ITA,1. Serie A,9°,19.8,913,839,72,66,0,16,0,6,0,0,0,0,742,2,4,Partite
2021-2022,31,Empoli,it ITA,1. Serie A,14°,9.7,560,504,55,44,1,2,1,2,0,0,0,0,463,1,7,Partite
2022-2023,32,Empoli,it ITA,1. Serie A,14°,0.2,7,7,0,0,0,0,0,0,0,0,0,0,5,0,0,Partite
13 stagioni,3 club,,2 campionati,,207.4,3278,3054,216,197,1,29,2,10,0,0,0,0,2787,8,26,
,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
Empoli (8 stagioni),,2 campionati,,154.5,567,511,55,44,1,2,1,2,0,0,0,0,468,1,7,
Sampdoria (4 stagioni),,1 campionato,,46.0,2479,2320,152,144,0,27,1,8,0,0,0,0,2101,7,16,
Napoli (3 stagioni),,1 campionato,,6.9,232,223,9,9,0,0,0,0,0,0,0,0,218,0,3,
,,,,,,,,,,,,,,,,,,,,
Serie A (9 stagioni),,,,113.7,3278,3054,216,197,1,29,2,10,0,0,0,0,2787,8,26,
Serie B (4 stagioni),,,,93.7,,,,,,,,,,,,,,,,
