,Totali,Brevi,Medi,Lunghi,,Prestazione prevista,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,12 stagioni,,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite,RB Salzburg (5 stagioni),Hertha BSC (2 stagioni),Torino (2 stagioni),M'Gladbach (1 stagione),Benfica (1 stagione),Newcastle Utd (1 stagione),Inter (1 stagione),,Bundesliga (5 stagioni),Bundesliga (3 stagioni),Serie A (3 stagioni),Primeira Liga (1 stagione),Premier League (1 stagione)
,Totali,Brevi,Medi,Lunghi,,Prestazione prevista,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite
2012-2013,16,RB Salzburg,at AUT,1. Bundesliga,2°,1.7,,,,,,,,,,,,,,,0,,,,,,,,,
2013-2014,17,RB Salzburg,at AUT,1. Bundesliga,1°,4.9,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2014-2015,18,RB Salzburg,at AUT,1. Bundesliga,1°,16.4,,,,,,,,,,,,,,,5,,,,,,,,,Partite
2015-2016,19,RB Salzburg,at AUT,1. Bundesliga,1°,10.4,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2016-2017,20,RB Salzburg,at AUT,1. Bundesliga,1°,24.0,,,,,,,,,,,,,,,6,,,,,,,,,Partite
2017-2018,21,Hertha BSC,de GER,1. Bundesliga,10°,20.7,477,694,"68,7",7422,2238,251,306,"82,0",164,219,"74,9",38,108,"35,2",5,3.9,3.0,+1.1,29,38,22,11,59,Partite
2018-2019,22,Hertha BSC,de GER,1. Bundesliga,11°,30.5,1179,1634,"72,2",19266,8435,600,703,"85,3",441,588,"75,0",105,240,"43,8",6,6.4,5.8,-0.4,55,86,31,12,127,Partite
2019-2020,23,Newcastle Utd,eng ENG,1. Premier League,13°,5.3,157,197,"79,7",2316,877,86,95,"90,5",50,59,"84,7",10,27,"37,0",0,0.2,0.2,-0.2,6,5,3,1,7,Partite
2019-2020,23,Inter,it ITA,1. Serie A,2°,3.6,147,195,"75,4",2392,788,76,82,"92,7",56,79,"70,9",12,21,"57,1",1,1.4,1.0,-0.4,9,8,9,5,14,Partite
2020-2021,24,M'Gladbach,de GER,1. Bundesliga,8°,13.8,431,575,"75,0",6443,1798,255,294,"86,7",132,184,"71,7",30,62,"48,4",0,1.2,1.7,-1.2,17,25,9,3,30,Partite
2021-2022,25,Benfica,pt POR,1. Primeira Liga,3°,11.4,572,705,"81,1",8683,2852,318,348,"91,4",206,256,"80,5",32,66,"48,5",1,1.1,1.5,-0.1,12,45,21,8,66,Partite
2022-2023,26,Torino,it ITA,1. Serie A,10°,15.3,674,902,"74,7",11347,4278,329,374,"88,0",260,336,"77,4",65,139,"46,8",3,2.7,2.5,+0.3,29,48,19,10,74,Partite
2023-2024,27,Torino,it ITA,1. Serie A,10°,19.0,709,938,"75,6",11538,4011,355,391,"90,8",273,361,"75,6",56,125,"44,8",2,2.2,2.4,-0.2,31,56,28,14,84,Partite
12 stagioni,7 club,,5 campionati,,177.0,4346,5840,"74,4",69407,25277,2270,2593,"87,5",1582,2082,"76,0",348,788,"44,2",29,19.1,18.1,+9.9,188,311,142,64,461,
,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite
RB Salzburg (5 stagioni),,1 campionato,,57.4,,,,,,,,,,,,,,,11,,,,,,,,,
Hertha BSC (2 stagioni),,1 campionato,,51.2,1656,2328,"71,1",26688,10673,851,1009,"84,3",605,807,"75,0",143,348,"41,1",11,10.3,8.8,+0.7,84,124,53,23,186,
Torino (2 stagioni),,1 campionato,,34.3,1383,1840,"75,2",22885,8289,684,765,"89,4",533,697,"76,5",121,264,"45,8",5,4.9,4.9,+0.1,60,104,47,24,158,
M'Gladbach (1 stagione),,1 campionato,,13.8,431,575,"75,0",6443,1798,255,294,"86,7",132,184,"71,7",30,62,"48,4",0,1.2,1.7,-1.2,17,25,9,3,30,
Benfica (1 stagione),,1 campionato,,11.4,572,705,"81,1",8683,2852,318,348,"91,4",206,256,"80,5",32,66,"48,5",1,1.1,1.5,-0.1,12,45,21,8,66,
Newcastle Utd (1 stagione),,1 campionato,,5.3,157,197,"79,7",2316,877,86,95,"90,5",50,59,"84,7",10,27,"37,0",0,0.2,0.2,-0.2,6,5,3,1,7,
Inter (1 stagione),,1 campionato,,3.6,147,195,"75,4",2392,788,76,82,"92,7",56,79,"70,9",12,21,"57,1",1,1.4,1.0,-0.4,9,8,9,5,14,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bundesliga (5 stagioni),,,,57.4,,,,,,,,,,,,,,,11,,,,,,,,,
Bundesliga (3 stagioni),,,,64.9,2087,2903,"71,9",33131,12471,1106,1303,"84,9",737,991,"74,4",173,410,"42,2",11,11.5,10.5,-0.5,101,149,62,26,216,
Serie A (3 stagioni),,,,37.8,1530,2035,"75,2",25277,9077,760,847,"89,7",589,776,"75,9",133,285,"46,7",6,6.3,5.8,-0.3,69,112,56,29,172,
Primeira Liga (1 stagione),,,,11.4,572,705,"81,1",8683,2852,318,348,"91,4",206,256,"80,5",32,66,"48,5",1,1.1,1.5,-0.1,12,45,21,8,66,
Premier League (1 stagione),,,,5.3,157,197,"79,7",2316,877,86,95,"90,5",50,59,"84,7",10,27,"37,0",0,0.2,0.2,-0.2,6,5,3,1,7,
