,Contrasti,Sfide,Blocchi,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,7 stagioni,,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,Leverkusen (2 stagioni),Jong Ajax (2 stagioni),Paris S-G (2 stagioni),Ajax (2 stagioni),Atalanta (1 stagione),,Bundesliga (2 stagioni),Eerste Divisie (2 stagioni),Ligue 1 (2 stagioni),Eredivisie (2 stagioni),Serie A (1 stagione)
,Contrasti,Sfide,Blocchi,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
2017-2018,17,Jong Ajax,nl NED,2. Eerste Divisie,1°,13.3,,0,,,,,,,,,,,0,,,,Partite
2018-2019,18,Jong Ajax,nl NED,2. Eerste Divisie,11°,18.6,,,,,,,,,,,,,,,,,Partite
2019-2020,19,Paris S-G,fr FRA,1. Ligue 1,1°,1.0,2,2,1,1,0,1,1,"100,0",0,0,0,0,0,2,2,0,Partite
2020-2021,20,Paris S-G,fr FRA,1. Ligue 1,2°,18.8,38,30,15,14,9,17,26,"65,4",9,22,2,20,22,60,20,0,Partite
2021-2022,21,Leverkusen,de GER,1. Bundesliga,3°,20.2,33,22,16,12,5,20,34,"58,8",14,13,2,11,23,56,42,3,Partite
2022-2023,22,Leverkusen,de GER,1. Bundesliga,6°,18.4,16,8,9,7,0,6,15,"40,0",9,20,2,18,15,31,20,2,Partite
2023-2024,23,Atalanta,it ITA,1. Serie A,6°,3.1,5,2,5,0,0,1,9,"11,1",8,5,0,5,1,6,5,0,Partite
7 stagioni,5 club,,5 campionati,,93.5,94,64,46,34,14,45,85,"52,9",40,60,6,54,61,155,89,5,
,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
Leverkusen (2 stagioni),,1 campionato,,38.7,49,30,25,19,5,26,49,"53,1",23,33,4,29,38,87,62,5,
Jong Ajax (2 stagioni),,1 campionato,,31.9,,0,,,,,,,,,,,0,0,,,
Paris S-G (2 stagioni),,1 campionato,,19.8,40,32,16,15,9,18,27,"66,7",9,22,2,20,22,62,22,0,
Ajax (2 stagioni),,1 campionato,,,,,,,,,,,,,,,,0,,,
Atalanta (1 stagione),,1 campionato,,3.1,5,2,5,0,0,1,9,"11,1",8,5,0,5,1,6,5,0,
,,,,,,,,,,,,,,,,,,,,,
Bundesliga (2 stagioni),,,,38.7,49,30,25,19,5,26,49,"53,1",23,33,4,29,38,87,62,5,
Eerste Divisie (2 stagioni),,,,31.9,,0,,,,,,,,,,,0,0,,,
Ligue 1 (2 stagioni),,,,19.8,40,32,16,15,9,18,27,"66,7",9,22,2,20,22,62,22,0,
Eredivisie (2 stagioni),,,,,,,,,,,,,,,,,,0,,,
Serie A (1 stagione),,,,3.1,5,2,5,0,0,1,9,"11,1",8,5,0,5,1,6,5,0,
