,Totali,Brevi,Medi,Lunghi,,Prestazione prevista,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,7 stagioni,,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite,Leverkusen (2 stagioni),Jong Ajax (2 stagioni),Paris S-G (2 stagioni),Ajax (2 stagioni),Atalanta (1 stagione),,Bundesliga (2 stagioni),Eerste Divisie (2 stagioni),Ligue 1 (2 stagioni),Eredivisie (2 stagioni),Serie A (1 stagione)
,Totali,Brevi,Medi,Lunghi,,Prestazione prevista,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite
2017-2018,17,Jong Ajax,nl NED,2. Eerste Divisie,1°,13.3,,,,,,,,,,,,,,,1,,,,,,,,,Partite
2018-2019,18,Jong Ajax,nl NED,2. Eerste Divisie,11°,18.6,,,,,,,,,,,,,,,3,,,,,,,,,Partite
2019-2020,19,Paris S-G,fr FRA,1. Ligue 1,1°,1.0,92,95,"96,8",1317,416,63,65,"96,9",23,23,"100,0",4,4,"100,0",0,0.0,0.0,0.0,0,8,0,0,5,Partite
2020-2021,20,Paris S-G,fr FRA,1. Ligue 1,2°,18.8,1177,1334,"88,2",15565,4196,750,792,"94,7",340,394,"86,3",31,64,"48,4",2,1.9,2.4,+0.1,16,75,21,9,77,Partite
2021-2022,21,Leverkusen,de GER,1. Bundesliga,3°,20.2,994,1228,"80,9",14581,5275,564,633,"89,1",336,404,"83,2",51,107,"47,7",4,2.0,2.1,+2.0,13,75,21,10,77,Partite
2022-2023,22,Leverkusen,de GER,1. Bundesliga,6°,18.4,764,968,"78,9",11670,3583,443,505,"87,7",258,328,"78,7",47,93,"50,5",2,2.0,1.3,0.0,17,36,14,2,57,Partite
2023-2024,23,Atalanta,it ITA,1. Serie A,6°,3.1,121,154,"78,6",1718,378,79,89,"88,8",37,43,"86,0",4,13,"30,8",0,0.1,0.1,-0.1,2,8,0,0,8,Partite
7 stagioni,5 club,,5 campionati,,93.5,3148,3779,"83,3",44851,13848,1899,2084,"91,1",994,1192,"83,4",137,281,"48,8",12,5.9,6.0,+6.1,48,202,56,21,224,
,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite
Leverkusen (2 stagioni),,1 campionato,,38.7,1758,2196,"80,1",26251,8858,1007,1138,"88,5",594,732,"81,1",98,200,"49,0",6,4.0,3.5,+2.0,30,111,35,12,134,
Jong Ajax (2 stagioni),,1 campionato,,31.9,,,,,,,,,,,,,,,4,,,,,,,,,
Paris S-G (2 stagioni),,1 campionato,,19.8,1269,1429,"88,8",16882,4612,813,857,"94,9",363,417,"87,1",35,68,"51,5",2,1.9,2.4,+0.1,16,83,21,9,82,
Ajax (2 stagioni),,1 campionato,,,,,,,,,,,,,,,,,,,,,,,,,,
Atalanta (1 stagione),,1 campionato,,3.1,121,154,"78,6",1718,378,79,89,"88,8",37,43,"86,0",4,13,"30,8",0,0.1,0.1,-0.1,2,8,0,0,8,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bundesliga (2 stagioni),,,,38.7,1758,2196,"80,1",26251,8858,1007,1138,"88,5",594,732,"81,1",98,200,"49,0",6,4.0,3.5,+2.0,30,111,35,12,134,
Eerste Divisie (2 stagioni),,,,31.9,,,,,,,,,,,,,,,4,,,,,,,,,
Ligue 1 (2 stagioni),,,,19.8,1269,1429,"88,8",16882,4612,813,857,"94,9",363,417,"87,1",35,68,"51,5",2,1.9,2.4,+0.1,16,83,21,9,82,
Eredivisie (2 stagioni),,,,,,,,,,,,,,,,,,,,,,,,,,,,
Serie A (1 stagione),,,,3.1,121,154,"78,6",1718,378,79,89,"88,8",37,43,"86,0",4,13,"30,8",0,0.1,0.1,-0.1,2,8,0,0,8,
