,SCA,Tipologie di SCA,GCA,Tipologie di GCA,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite,2012-2013,2013-2014,2013-2014,2014-2015,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,12 stagioni,,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite,Hellas Verona (6 stagioni),Cremonese (5 stagioni),Spezia (2 stagioni),Empoli (1 stagione),,Serie B (9 stagioni),Serie A (5 stagioni)
,SCA,Tipologie di SCA,GCA,Tipologie di GCA,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite
2012-2013,19,Hellas Verona,it ITA,2. Serie B,2°,2.7,,,,,,,,,,,,,,,,,Partite
2013-2014,20,Hellas Verona,it ITA,1. Serie A,10°,2.3,,,,,,,,,,,,,,,,,Partite
2013-2014,20,Spezia,it ITA,2. Serie B,8°,8.9,,,,,,,,,,,,,,,,,Partite
2014-2015,21,Spezia,it ITA,2. Serie B,5°,11.4,,,,,,,,,,,,,,,,,Partite
2014-2015,21,Empoli,it ITA,1. Serie A,15°,0.1,,,,,,,,,,,,,,,,,Partite
2015-2016,22,Hellas Verona,it ITA,1. Serie A,20°,17.6,,,,,,,,,,,,,,,,,Partite
2016-2017,23,Hellas Verona,it ITA,2. Serie B,2°,33.9,,,,,,,,,,,,,,,,,Partite
2017-2018,24,Hellas Verona,it ITA,1. Serie A,19°,1.4,2,"1,45",2,0,0,0,0,0,0,"0,00",0,0,0,0,0,0,Partite
2018-2019,25,Hellas Verona,it ITA,2. Serie B,5°,16.3,28,"1,71",20,1,4,0,2,1,1,"0,06",1,0,0,0,0,0,Partite
2019-2020,26,Cremonese,it ITA,2. Serie B,12°,33.1,43,"1,30",31,3,3,2,2,2,7,"0,21",4,1,1,0,0,1,Partite
2020-2021,27,Cremonese,it ITA,2. Serie B,13°,35.0,36,"1,03",32,2,0,1,0,1,4,"0,11",4,0,0,0,0,0,Partite
2021-2022,28,Cremonese,it ITA,2. Serie B,2°,26.4,26,"0,98",19,2,1,1,1,2,4,"0,15",2,1,0,1,0,0,Partite
2022-2023,29,Cremonese,it ITA,1. Serie A,19°,23.7,16,"0,68",11,4,0,1,0,0,0,"0,00",0,0,0,0,0,0,Partite
2023-2024,30,Cremonese,it ITA,2. Serie B,3°,22.0,24,"1,09",21,0,0,2,1,0,1,"0,05",0,0,0,1,0,0,Partite
12 stagioni,4 club,,2 campionati,,235.0,175,"1,11",136,12,8,7,6,6,17,"0,11",11,2,1,2,0,1,
,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite
Hellas Verona (6 stagioni),,2 campionati,,74.4,30,"1,69",22,1,4,0,2,1,1,"0,06",1,0,0,0,0,0,
Cremonese (5 stagioni),,2 campionati,,140.3,145,"1,03",114,11,4,7,4,5,16,"0,11",10,2,1,2,0,1,
Spezia (2 stagioni),,1 campionato,,20.3,,,,,,,,,,,,,,,,,
Empoli (1 stagione),,1 campionato,,0.1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Serie B (9 stagioni),,,,189.9,157,"1,18",123,8,8,6,6,6,17,"0,13",11,2,1,2,0,1,
Serie A (5 stagioni),,,,45.1,18,"0,72",13,4,0,1,0,0,0,"0,00",0,0,0,0,0,0,
