,Tipologie di passaggi,Calci d'angolo,Risultati,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,2012-2013,2013-2014,2013-2014,2014-2015,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2021-2022,2022-2023,2023-2024,12 stagioni,,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,Hellas Verona (6 stagioni),Cremonese (5 stagioni),Spezia (2 stagioni),Empoli (1 stagione),,Serie B (9 stagioni),Serie A (5 stagioni)
,Tipologie di passaggi,Calci d'angolo,Risultati,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
2012-2013,19,Hellas Verona,it ITA,2. Serie B,2°,2.7,,,,,,,,,,,,,,,,Partite
2013-2014,20,Hellas Verona,it ITA,1. Serie A,10°,2.3,,,,,,,,,,,,,,,,Partite
2013-2014,20,Spezia,it ITA,2. Serie B,8°,8.9,,,,,,,,,,,,,,,,Partite
2014-2015,21,Spezia,it ITA,2. Serie B,5°,11.4,,,,,,,,,,,,,,,,Partite
2014-2015,21,Empoli,it ITA,1. Serie A,15°,0.1,,,,,,,,,,,,,,,,Partite
2015-2016,22,Hellas Verona,it ITA,1. Serie A,20°,17.6,,,,,,,,,,,,,,,,Partite
2016-2017,23,Hellas Verona,it ITA,2. Serie B,2°,33.9,,,,,,,,,,,,,,,,Partite
2017-2018,24,Hellas Verona,it ITA,1. Serie A,19°,1.4,68,53,15,1,0,0,4,14,0,0,0,0,50,0,3,Partite
2018-2019,25,Hellas Verona,it ITA,2. Serie B,5°,16.3,859,735,123,36,0,9,25,87,0,0,0,0,686,1,16,Partite
2019-2020,26,Cremonese,it ITA,2. Serie B,12°,33.1,1596,1395,196,58,0,16,38,138,0,0,0,0,1233,5,21,Partite
2020-2021,27,Cremonese,it ITA,2. Serie B,13°,35.0,1852,1659,187,92,1,33,31,95,0,0,0,0,1366,6,24,Partite
2021-2022,28,Cremonese,it ITA,2. Serie B,2°,26.4,1124,1036,85,82,1,17,4,3,0,0,0,0,849,3,8,Partite
2022-2023,29,Cremonese,it ITA,1. Serie A,19°,23.7,935,870,61,44,0,2,3,1,0,0,0,0,729,4,8,Partite
2023-2024,30,Cremonese,it ITA,2. Serie B,3°,22.0,1189,1061,123,61,1,6,7,61,0,0,0,0,987,5,9,Partite
12 stagioni,4 club,,2 campionati,,235.0,7623,6809,790,374,3,83,112,399,0,0,0,0,5900,24,89,
,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
Hellas Verona (6 stagioni),,2 campionati,,74.4,927,788,138,37,0,9,29,101,0,0,0,0,736,1,19,
Cremonese (5 stagioni),,2 campionati,,140.3,6696,6021,652,337,3,74,83,298,0,0,0,0,5164,23,70,
Spezia (2 stagioni),,1 campionato,,20.3,,,,,,,,,,,,,,,,
Empoli (1 stagione),,1 campionato,,0.1,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Serie B (9 stagioni),,,,189.9,6620,5886,714,329,3,81,105,384,0,0,0,0,5121,20,78,
Serie A (5 stagioni),,,,45.1,1003,923,76,45,0,2,7,15,0,0,0,0,779,4,11,
