,Tipologie di passaggi,Calci d'angolo,Risultati,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2019-2020,2020-2021,2021-2022,2022-2023,10 stagioni,,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite,Atalanta (5 stagioni),Milan (2 stagioni),Venezia (1 stagione),Cesena (1 stagione),Trapani (1 stagione),Spezia (1 stagione),,Serie A (8 stagioni),Serie B (2 stagioni)
,Tipologie di passaggi,Calci d'angolo,Risultati,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
2013-2014,19,Atalanta,it ITA,1. Serie A,11°,0.5,,,,,,,,,,,,,,,,Partite
2014-2015,20,Trapani,it ITA,2. Serie B,11°,17.3,,,,,,,,,,,,,,,,Partite
2015-2016,21,Cesena,it ITA,2. Serie B,6°,26.0,,,,,,,,,,,,,,,,Partite
2016-2017,22,Atalanta,it ITA,1. Serie A,4°,29.5,,,,,,,2,,,,,,,,,Partite
2017-2018,23,Atalanta,it ITA,1. Serie A,7°,24.0,1026,964,61,58,0,13,0,3,0,0,0,0,862,1,7,Partite
2019-2020,25,Atalanta,it ITA,1. Serie A,3°,10.7,448,430,18,18,0,1,2,0,0,0,0,0,393,0,2,Partite
2020-2021,26,Atalanta,it ITA,1. Serie A,3°,1.2,59,57,2,1,0,2,1,1,0,0,0,0,52,0,2,Partite
2021-2022,27,Venezia,it ITA,1. Serie A,20°,30.0,1167,1110,53,42,0,8,2,8,0,0,0,0,951,4,6,Partite
2022-2023,28,Spezia,it ITA,1. Serie A,17°,13.9,600,540,58,31,0,2,1,9,0,0,0,0,461,2,4,Partite
10 stagioni,6 club,,2 campionati,,153.1,3300,3101,192,150,0,26,8,21,0,0,0,0,2719,7,21,
,Paese,Competizione,Piazzamento,90 min,"Tent,",In gioco,Non in gioco,Pun.,PassFil,Scambi,Cross,Rimesse in gioco,Angoli,Conv.,Div.,Dir.,Compl.,Fuorigioco,Blocchi,Partite
Atalanta (5 stagioni),,1 campionato,,65.9,1533,1451,81,77,0,16,5,4,0,0,0,0,1307,1,11,
Milan (2 stagioni),,1 campionato,,,,,,,,,,,,,,,,,,
Venezia (1 stagione),,1 campionato,,30.0,1167,1110,53,42,0,8,2,8,0,0,0,0,951,4,6,
Cesena (1 stagione),,1 campionato,,26.0,,,,,,,,,,,,,,,,
Trapani (1 stagione),,1 campionato,,17.3,,,,,,,,,,,,,,,,
Spezia (1 stagione),,1 campionato,,13.9,600,540,58,31,0,2,1,9,0,0,0,0,461,2,4,
,,,,,,,,,,,,,,,,,,,,
Serie A (8 stagioni),,,,109.9,3300,3101,192,150,0,26,8,21,0,0,0,0,2719,7,21,
Serie B (2 stagioni),,,,43.3,,,,,,,,,,,,,,,,
