,Contrasti,Sfide,Blocchi,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,2006-2007,,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2020-2021,2021-2022,2022-2023,2023-2024,17 stagioni,,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite,Torino (4 stagioni),Inter (4 stagioni),Manchester Utd (4 stagioni),Parma (2 stagioni),Milan (2 stagioni),Padova (1 stagione),Palermo (1 stagione),,Serie A (11 stagioni),Premier League (4 stagioni),Serie B (2 stagioni)
,Contrasti,Sfide,Blocchi,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
2006-2007,16,Milan,it ITA,1. Serie A,4°,0.3,,,,,,,,,,,,,,,,,Partite
,,,,,,,,,,,,,,,,,,,,,,,
2008-2009,18,Milan,it ITA,1. Serie A,3°,0.5,,,,,,,,,,,,,,,,,Partite
2009-2010,19,Padova,it ITA,2. Serie B,19°,17.3,,,,,,,,,,,,,,,,,
2010-2011,20,Palermo,it ITA,1. Serie A,8°,6.8,,,,,,,,,,,,,,,,,Partite
2011-2012,21,Torino,it ITA,2. Serie B,2°,30.9,,,,,,,,,,,,,,,,,
2012-2013,22,Torino,it ITA,1. Serie A,16°,29.9,,,,,,,,,,,,,,,,,Partite
2013-2014,23,Torino,it ITA,1. Serie A,7°,36.5,,,,,,,,,,,,,,,,,Partite
2014-2015,24,Torino,it ITA,1. Serie A,9°,28.5,,,,,,,,,,,,,,,,,Partite
2015-2016,25,Manchester Utd,eng ENG,1. Premier League,5°,21.4,,,,,,,,,,,,,,,,,Partite
2016-2017,26,Manchester Utd,eng ENG,1. Premier League,6°,14.8,,28,,,,,,,,,,,38,,,,Partite
2017-2018,27,Manchester Utd,eng ENG,1. Premier League,2°,4.9,16,14,7,7,2,6,19,"31,6",13,5,3,2,7,23,23,0,Partite
2018-2019,28,Manchester Utd,eng ENG,1. Premier League,6°,4.9,14,8,10,4,0,4,11,"36,4",7,9,0,9,7,21,20,0,Partite
2019-2020,29,Parma,it ITA,1. Serie A,11°,29.8,81,42,48,30,3,40,83,"48,2",43,38,16,22,25,106,78,1,Partite
2020-2021,30,Parma,it ITA,1. Serie A,20°,2.3,6,5,3,3,0,4,7,"57,1",3,2,0,2,6,12,7,0,Partite
2020-2021,30,Inter,it ITA,1. Serie A,1°,12.9,30,16,12,7,11,16,28,"57,1",12,9,2,7,17,47,35,0,Partite
2021-2022,31,Inter,it ITA,1. Serie A,2°,16.7,32,16,17,9,6,16,41,"39,0",25,16,1,15,19,51,25,0,Partite
2022-2023,32,Inter,it ITA,1. Serie A,3°,22.5,56,30,29,15,12,31,47,"66,0",16,33,5,28,21,77,36,0,Partite
2023-2024,33,Inter,it ITA,1. Serie A,1°,19.1,36,16,17,14,5,14,38,"36,8",24,23,9,14,10,46,42,0,Partite
17 stagioni,7 club,,3 campionati,,300.0,271,175,143,89,39,131,274,"47,8",143,135,36,99,150,383,266,1,
,Paese,Competizione,Piazzamento,90 min,Cntrs,Contr. vinti,Treq. dif.,Treq. cen.,Treq. off.,Cntrs,Att,% cntrs,Persi,Blocchi,Tiri,Passaggio,Int,Tkl+Int,Salvat.,Err.,Partite
Torino (4 stagioni),,2 campionati,,125.8,,,,,,,,,,,,,,0,,,
Inter (4 stagioni),,1 campionato,,71.2,154,78,75,45,34,77,154,"50,0",77,81,17,64,67,221,138,0,
Manchester Utd (4 stagioni),,1 campionato,,46.0,30,50,17,11,2,10,30,"33,3",20,14,3,11,52,44,43,0,
Parma (2 stagioni),,1 campionato,,32.1,87,47,51,33,3,44,90,"48,9",46,40,16,24,31,118,85,1,
Milan (2 stagioni),,1 campionato,,0.7,,,,,,,,,,,,,,0,,,
Padova (1 stagione),,1 campionato,,17.3,,,,,,,,,,,,,,0,,,
Palermo (1 stagione),,1 campionato,,6.8,,,,,,,,,,,,,,0,,,
,,,,,,,,,,,,,,,,,,,,,
Serie A (11 stagioni),,,,205.8,241,125,126,78,37,121,244,"49,6",123,121,33,88,98,339,223,1,
Premier League (4 stagioni),,,,46.0,30,50,17,11,2,10,30,"33,3",20,14,3,11,52,44,43,0,
Serie B (2 stagioni),,,,48.2,,,,,,,,,,,,,,0,,,
