,SCA,Tipologie di SCA,GCA,Tipologie di GCA,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite,2006-2007,,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2020-2021,2021-2022,2022-2023,2023-2024,17 stagioni,,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite,Torino (4 stagioni),Inter (4 stagioni),Manchester Utd (4 stagioni),Parma (2 stagioni),Milan (2 stagioni),Padova (1 stagione),Palermo (1 stagione),,Serie A (11 stagioni),Premier League (4 stagioni),Serie B (2 stagioni)
,SCA,Tipologie di SCA,GCA,Tipologie di GCA,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite
2006-2007,16,Milan,it ITA,1. Serie A,4°,0.3,,,,,,,,,,,,,,,,,Partite
,,,,,,,,,,,,,,,,,,,,,,,
2008-2009,18,Milan,it ITA,1. Serie A,3°,0.5,,,,,,,,,,,,,,,,,Partite
2009-2010,19,Padova,it ITA,2. Serie B,19°,17.3,,,,,,,,,,,,,,,,,
2010-2011,20,Palermo,it ITA,1. Serie A,8°,6.8,,,,,,,,,,,,,,,,,Partite
2011-2012,21,Torino,it ITA,2. Serie B,2°,30.9,,,,,,,,,,,,,,,,,
2012-2013,22,Torino,it ITA,1. Serie A,16°,29.9,,,,,,,,,,,,,,,,,Partite
2013-2014,23,Torino,it ITA,1. Serie A,7°,36.5,,,,,,,,,,,,,,,,,Partite
2014-2015,24,Torino,it ITA,1. Serie A,9°,28.5,,,,,,,,,,,,,,,,,Partite
2015-2016,25,Manchester Utd,eng ENG,1. Premier League,5°,21.4,,,,,,,,,,,,,,,,,Partite
2016-2017,26,Manchester Utd,eng ENG,1. Premier League,6°,14.8,,,,,,,,,,,,,,,,,Partite
2017-2018,27,Manchester Utd,eng ENG,1. Premier League,2°,4.9,4,"0,81",4,0,0,0,0,0,0,"0,00",0,0,0,0,0,0,Partite
2018-2019,28,Manchester Utd,eng ENG,1. Premier League,6°,4.9,2,"0,41",2,0,0,0,0,0,0,"0,00",0,0,0,0,0,0,Partite
2019-2020,29,Parma,it ITA,1. Serie A,11°,29.8,42,"1,41",30,7,1,1,3,0,5,"0,17",5,0,0,0,0,0,Partite
2020-2021,30,Parma,it ITA,1. Serie A,20°,2.3,1,"0,43",0,0,0,0,0,1,0,"0,00",0,0,0,0,0,0,Partite
2020-2021,30,Inter,it ITA,1. Serie A,1°,12.9,30,"2,33",19,5,1,1,2,2,4,"0,31",3,0,0,0,1,0,Partite
2021-2022,31,Inter,it ITA,1. Serie A,2°,16.7,43,"2,57",35,2,1,2,1,2,3,"0,18",3,0,0,0,0,0,Partite
2022-2023,32,Inter,it ITA,1. Serie A,3°,22.5,39,"1,73",33,4,0,0,1,1,4,"0,18",3,0,0,0,1,0,Partite
2023-2024,33,Inter,it ITA,1. Serie A,1°,19.1,37,"1,93",29,5,0,1,2,0,2,"0,10",1,0,0,0,1,0,Partite
17 stagioni,7 club,,3 campionati,,300.0,198,"1,75",152,23,3,5,9,6,18,"0,16",15,0,0,0,3,0,
,Paese,Competizione,Piazzamento,90 min,SCA,SCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,GCA,GCA90,Passaggio Live,Passaggio Dead,A,Tiri,Falli,Def.,Partite
Torino (4 stagioni),,2 campionati,,125.8,,,,,,,,,,,,,,,,,
Inter (4 stagioni),,1 campionato,,71.2,149,"2,09",116,16,2,4,6,5,13,"0,18",10,0,0,0,3,0,
Manchester Utd (4 stagioni),,1 campionato,,46.0,6,"0,61",6,0,0,0,0,0,0,"0,00",0,0,0,0,0,0,
Parma (2 stagioni),,1 campionato,,32.1,43,"1,34",30,7,1,1,3,1,5,"0,16",5,0,0,0,0,0,
Milan (2 stagioni),,1 campionato,,0.7,,,,,,,,,,,,,,,,,
Padova (1 stagione),,1 campionato,,17.3,,,,,,,,,,,,,,,,,
Palermo (1 stagione),,1 campionato,,6.8,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Serie A (11 stagioni),,,,205.8,192,"1,86",146,23,3,5,9,6,18,"0,17",15,0,0,0,3,0,
Premier League (4 stagioni),,,,46.0,6,"0,61",6,0,0,0,0,0,0,"0,00",0,0,0,0,0,0,
Serie B (2 stagioni),,,,48.2,,,,,,,,,,,,,,,,,
