,Totali,Brevi,Medi,Lunghi,,Prestazione prevista,,,Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite,2006-2007,,2008-2009,2009-2010,2010-2011,2011-2012,2012-2013,2013-2014,2014-2015,2015-2016,2016-2017,2017-2018,2018-2019,2019-2020,2020-2021,2020-2021,2021-2022,2022-2023,2023-2024,17 stagioni,,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite,Torino (4 stagioni),Inter (4 stagioni),Manchester Utd (4 stagioni),Parma (2 stagioni),Milan (2 stagioni),Padova (1 stagione),Palermo (1 stagione),,Serie A (11 stagioni),Premier League (4 stagioni),Serie B (2 stagioni)
,Totali,Brevi,Medi,Lunghi,,Prestazione prevista,,
Stagione,Età,Squadra,Paese,Competizione,Piazzamento,90 min,Compl.,"Tent,",% compl.,Dist. Tot.,Dist. Prog.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Compl.,"Tent,",% compl.,Assist,xAG,xA,A-xAG,PF,1/3,PPA,Cross in area,PrgP,Partite
2006-2007,16,Milan,it ITA,1. Serie A,4°,0.3,,,,,,,,,,,,,,,,,,,,,,,,Partite
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008-2009,18,Milan,it ITA,1. Serie A,3°,0.5,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2009-2010,19,Padova,it ITA,2. Serie B,19°,17.3,,,,,,,,,,,,,,,0,,,,,,,,,
2010-2011,20,Palermo,it ITA,1. Serie A,8°,6.8,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2011-2012,21,Torino,it ITA,2. Serie B,2°,30.9,,,,,,,,,,,,,,,2,,,,,,,,,
2012-2013,22,Torino,it ITA,1. Serie A,16°,29.9,,,,,,,,,,,,,,,2,,,,,,,,,Partite
2013-2014,23,Torino,it ITA,1. Serie A,7°,36.5,,,,,,,,,,,,,,,3,,,,,,,,,Partite
2014-2015,24,Torino,it ITA,1. Serie A,9°,28.5,,,,,,,,,,,,,,,1,,,,,,,,,Partite
2015-2016,25,Manchester Utd,eng ENG,1. Premier League,5°,21.4,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2016-2017,26,Manchester Utd,eng ENG,1. Premier League,6°,14.8,,,,,,,,,,,,,,,0,,,,,,,,,Partite
2017-2018,27,Manchester Utd,eng ENG,1. Premier League,2°,4.9,208,255,"81,6",3066,995,107,117,"91,5",68,82,"82,9",15,28,"53,6",0,0.0,0.0,0.0,1,12,0,0,16,Partite
2018-2019,28,Manchester Utd,eng ENG,1. Premier League,6°,4.9,180,212,"84,9",2661,1189,107,110,"97,3",57,68,"83,8",9,20,"45,0",0,0.1,0.3,-0.1,2,15,2,1,20,Partite
2019-2020,29,Parma,it ITA,1. Serie A,11°,29.8,1199,1523,"78,7",20701,8358,580,638,"90,9",475,583,"81,5",122,219,"55,7",1,0.9,1.1,+0.1,12,88,10,4,130,Partite
2020-2021,30,Parma,it ITA,1. Serie A,20°,2.3,77,104,"74,0",1219,368,41,47,"87,2",32,37,"86,5",4,13,"30,8",0,0.0,0.0,0.0,1,2,0,0,6,Partite
